DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4978485;1;1;1;70;1;104;48;1; ;2;52;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1000000;1200000;1;1;59;38;74;1;2;08;7413;05;2509,45507172499;05
4978501;1;3;1;70;1;8;48;1; ;2;16;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;07;07;85;1;1;08;8519;05;1225,45005215312;05
4978525;1;1;1;70;1;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;58;58;63;1;1;08;6331;05;1229,3949260845;05
4978526;1;2;1;70;1;2;48;1; ;2;156;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;07;53;55;1;1;08;5521;05;1170,29726097021;05
4978527;1;4;1;70;1;104;48;4; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;1200000;2; ;03;03;45;1;2;08;4542;05;1222,35266604571;05
4978532;1;1;1;70;1;20;48;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;08;4530;05;997,775267934896;05
4978545;1;1;1;70;1;1;48;1; ;2;4;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;1;150000;828116;2; ;97;95;45;1;1;08;4521;05;1183,81186012517;05
4978548;1;3;1;70;1;28;48;1; ;2;28;8; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;62;01;1;2;08;0111;05;1352,52010279803;05
4978565;1;2;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;1;08; ;05;1087,3214464229;05
4978566;1;6;1;70;1;104;48;1; ;2;104;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;11;39;75;1;2;08;7513;05;2932,52893270351;05
4978568;1;5;1;70;1;2;48;1; ;2;8;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;80;33;52;1;1;08;5221;05;1123,90342699129;05
4978571;1;3;1;70;1;62;48;1; ;2;52;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;02;02;75;1;2;08;7512;05;1772,74718709035;05
4978571;1;4;1;70;1;8;24;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;03; ; ;1;1;08; ;05;1772,74718709035;05
4978572;1;5;1;70;1;32;48;1; ;2;2;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;80000;828116;2; ;53;54;95;1;2;08;9500;05;1293,8021654526;05
4978576;1;2;1;70;1;4;48;1; ;2;78;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;85;95;45;1;1;08;4521;05;1062,40338057684;05
4978580;1;4;1;70;1;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;95;95;45;1;1;08;4521;05;1161,04757137933;05
4978583;1;1;1;70;1;24;48;8; ;2;24;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;62;95;45;1;2;08;4521;05;1089,03814358809;05
4978583;1;3;1;70;1;156;48;1; ;2;156;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;99;85;45;1;2;08;4542;05;1089,03814358809;05
4978584;1;3;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;38;38;74;1;2;08;7499;05;2937,78474997077;05
4978585;1;3;1;70;1;10;48;1; ;2;10;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;83;83;28;1;1;08;2811;05;1154,76000828395;05
4978587;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;55;85;1;2;08;8512;05;2742,45702598891;05
4978588;1;2;1;70;1;259;48;1; ;2;520;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;03;74;1;2;08;7499;05;965,758870973857;05
4978588;1;3;1;70;1;20;24;1; ;2;394;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;30;03;45;1;2;08;4542;05;965,758870973857;05
4978592;1;4;1;70;1;72;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;09; ; ;1;2;08; ;05;1360,86099954479;05
4978593;1;2;1;70;1;16;48;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;52;1;2;08;5233;05;1691,50467056172;05
4978594;1;1;1;70;1;20;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;39;45;1;2;08;4521;05;2755,70542515204;05
4978596;1;2;1;70;1;4;48;1; ;2;3;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;70000;829116;2; ;83;83;28;1;1;08;2811;05;1062,40338057684;05
4978598;1;5;1;70;1;8;48;1; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;58;97;52;1;1;08;5221;05;1128,95963845085;05
4978599;1;2;1;70;1;52;48;1; ;2;52;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;52;1;2;08;5236;05;1062,40338057684;05
