DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4978480;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1160,82193951118
4978480;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1160,82193951118
4978480;1;3;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1160,82193951118
4978480;1;4;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1160,82193951118
4978481;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1183,81186012517
4978482;1;1;1;50;05;1; ; ;2;6;VIAJAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978482;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978483;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1140,00284349721
4978483;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1140,00284349721
4978483;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1140,00284349721
4978485;1;1;1;50;05;1;4; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;05;2509,45507172499
4978486;1;1;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1799,13631413487
4978486;2;1;2;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1799,13631413487
4978487;1;1;1;50;05;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;1365,83422354292
4978487;2;1;2;50;05;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;1365,83422354292
4978487;3;1;3;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1365,83422354292
4978487;4;1;4;50;05;1; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1365,83422354292
4978488;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1031,78892747113
4978488;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1031,78892747113
4978489;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1322,32019362425
4978489;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1322,32019362425
4978490;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1192,57081732916
4978491;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978491;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978491;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978492;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978492;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978493;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;897,185884400536
4978493;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;897,185884400536
4978493;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;897,185884400536
4978493;1;4;1;50;05;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;897,185884400536
4978493;1;5;1;50;05;1; ; ;4;6;LEER;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;897,185884400536
4978494;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1075,37473085527
4978494;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1075,37473085527
4978494;1;3;1;50;05;1; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1075,37473085527
4978494;1;4;1;50;05;1; ; ;4;2; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1075,37473085527
4978495;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;2015,56414618702
4978495;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;2015,56414618702
4978495;1;3;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;2015,56414618702
4978496;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;758,357515268761
4978496;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;758,357515268761
4978496;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;758,357515268761
4978496;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;758,357515268761
4978497;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978497;1;2;1;50;05;1; ; ;2;6;EJERCICIO PINTAR CURSOS;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978498;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1989,62144563016
4978499;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978499;1;2;1;50;05;1; ; ;2;6;REPOSANDO POR ENFERMEDAD;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978500;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;08;1;05;1685,57558032208
4978500;1;2;1;50;05;1; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1685,57558032208
4978501;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1225,45005215312
4978501;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1225,45005215312
4978501;1;3;1;50;05;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;08;1;05;1225,45005215312
4978502;1;1;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1759,53198963419
4978502;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1759,53198963419
4978502;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1759,53198963419
4978503;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1137,03829837739
4978504;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;873,402243266743
4978504;1;2;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;873,402243266743
4978505;1;1;1;50;05;1; ; ;1;6;EN VUELTAS MEDICAS;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978505;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978506;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1799,13631413487
4978506;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1799,13631413487
4978507;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978507;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978508;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;965,758870973857
4978508;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;965,758870973857
4978508;1;3;1;50;05;1; ; ;3;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;965,758870973857
4978509;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;994,810722815079
4978510;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1129,99603833859
4978510;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1129,99603833859
4978510;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1129,99603833859
4978511;1;1;1;50;05;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;1934,32162965839
4978511;2;1;2;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1934,32162965839
4978511;3;1;3;50;05;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;1934,32162965839
4978512;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;870,516305226215
4978512;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;870,516305226215
4978512;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;870,516305226215
4978512;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;870,516305226215
4978513;1;1;1;50;05;1; ; ;1;6;ESTUDIAR IDIOMAS;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978513;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978513;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1154,76000828395
4978514;1;1;1;50;05;1; ; ;1;6;PINTAR LA VIVIENDA;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1208,57583007053
4978515;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1989,62144563016
4978516;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1255,87559319505
4978516;1;2;1;50;05;1; ; ;2;6;HACER DILIGENCIAS PERSONALES;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1255,87559319505
4978516;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1255,87559319505
4978516;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1255,87559319505
4978517;1;1;1;50;05;1; ; ;1;6;VACACIONAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1072,41018573545
4978517;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;08;1;05;1072,41018573545
4978518;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;994,810722815079
4978519;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978519;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;1087,16735052219
4978520;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;1108,14054243688
