DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,CLASE,FT,DPTO,AREA,fex_c_2011
926357,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,720.702.916.689.734
926357,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,48,,,,,,,,,1,1,5,5,720.702.916.689.734
926357,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,720.702.916.689.734
926357,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,720.702.916.689.734
926358,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,683.878.737.140.204
926358,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,56,,,,,,,1,1,5,5,683.878.737.140.204
926359,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,3,1,90,,2,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,2,1,1,5,5,106.249.066.951.918
926359,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,7,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,8,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,106.249.066.951.918
926359,1,9,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,106.249.066.951.918
926360,1,1,1,90,,2,,2,2,2,2,2,1,2,2,2,,,,,,,,5,,,,1,1,5,5,107.377.889.912.747
926360,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,107.377.889.912.747
926361,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,1,1,5,5,769.223.534.261.929
926361,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,769.223.534.261.929
926362,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,1,1,5,5,684.708.636.153.737
926362,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,684.708.636.153.737
926363,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,836.091.389.048.978
926363,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,48,,,,,,,,,1,1,5,5,836.091.389.048.978
926363,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,836.091.389.048.978
926364,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,653.835.061.902.686
926364,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,653.835.061.902.686
926364,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,653.835.061.902.686
926365,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,45,,,,,,,,,1,1,5,5,699.498.963.984.711
926365,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,699.498.963.984.711
926365,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,699.498.963.984.711
926365,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,699.498.963.984.711
926366,1,1,1,90,,2,,1,2,2,2,2,1,2,2,2,,,8,,,,,1,,,,1,1,5,5,888.168.916.005.052
926366,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,1,1,5,5,888.168.916.005.052
926367,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.079.064.019.732
926367,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.079.064.019.732
926368,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,856.962.289.245.631
926368,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,856.962.289.245.631
926368,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,1,1,5,5,856.962.289.245.631
926369,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,909.039.816.201.706
926369,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,909.039.816.201.706
926370,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,999.229.032.992.527
926370,1,2,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,42,,,,,,,1,1,5,5,999.229.032.992.527
926370,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,999.229.032.992.527
926370,1,6,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,999.229.032.992.527
926372,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,839.285.690.779.153
926373,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,888.168.916.005.052
926373,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,888.168.916.005.052
926374,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,614.154.166.862.986
