DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
926408;1;2;1;80;5;1;4;2;;3;;2;;;;;9;2;1;5;671.486.638.955.465
926408;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;671.486.638.955.465
926411;1;2;1;80;5;1;1;7;;2;;2;;;1;;2;1;1;5;684.708.636.153.737
926413;1;1;1;80;5;1;2;4;;3;;2;;;;;8;2;1;5;808.441.671.673.436
926413;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;808.441.671.673.436
926415;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;880.692.183.723.681
926416;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;702.718.287.128.585
926416;1;3;1;80;5;2;;;;1;1;2;;2;;.;;;1;5;702.718.287.128.585
926417;1;3;1;80;5;1;2;1;;2;;2;;;1;;1;1;1;5;681.851.920.663.567
926417;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;681.851.920.663.567
926417;1;5;1;80;5;2;;;;9;;2;;2;;.;;;1;5;681.851.920.663.567
926419;1;1;1;80;5;1;4;4;;3;;2;;;;;11;2;1;5;808.079.064.019.732
926421;1;1;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;635.825.410.927.838
926422;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;148.819.951.731.883
926423;1;4;1;80;5;1;2;1;;2;;1;80000;;2;;2;1;1;5;839.315.245.924.488
926424;1;1;1;80;5;1;3;4;;3;;2;;;;;4;2;1;5;791.995.817.599.654
926424;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;791.995.817.599.654
926424;1;5;1;80;5;1;4;0;;2;;2;;;;;11;2;1;5;791.995.817.599.654
926426;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;72.034.030.903.603
926427;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;103.210.449.176.426
926429;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;854.076.018.610.127
926430;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;87.494.691.880.678
926430;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;87.494.691.880.678
926433;1;2;1;80;5;1;4;2;;1;2;2;;;;;9;2;1;5;942.633.452.769.552
926433;1;5;1;80;5;2;;;;2;;1;90000;2;;.;;;1;5;942.633.452.769.552
926434;1;2;1;80;5;1;4;2;;2;;2;;;4;;5;1;1;5;978.963.158.863.941
926435;1;2;1;80;5;1;3;6;;2;;2;;;;;8;2;1;5;961.642.789.129.231
926435;2;3;2;80;5;2;;;;2;;2;;2;;.;;;1;5;961.642.789.129.231
926436;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;197.472.990.829.092
926437;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;940.628.148.193.527
926440;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;905.870.041.647.667
926440;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;905.870.041.647.667
926441;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;810.382.847.665.534
926443;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;751.576.490.940.786
926444;1;1;1;80;5;1;4;3;;2;;2;;;;;8;2;1;5;844.073.344.555.729
926444;1;2;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;844.073.344.555.729
926444;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;844.073.344.555.729
926445;1;2;1;80;5;1;4;5;;2;;2;;;;;9;2;1;5;909.039.816.201.706
926446;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;709.340.098.982.725
926448;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;151.266.917.914.405
926448;1;3;1;80;5;1;3;1;;2;;2;;;;;2;2;1;5;151.266.917.914.405
926449;1;2;1;80;5;1;3;7;;2;;2;;;;;5;2;1;5;17.763.378.320.101
926450;1;3;1;80;5;1;2;7;;2;;2;;;;;2;2;1;5;130.767.012.380.537
926452;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;831.833.979.911.481
926453;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;968.527.859.321.428
926453;1;5;1;80;5;1;3;0;;2;;2;;;;;8;2;1;5;968.527.859.321.428
926454;1;1;1;80;5;1;3;4;;3;;2;;;;;10;2;1;5;926.936.869.364.927
926454;1;3;1;80;5;1;1;5;;2;;2;;;;QUIERE ESPERA  EL PROXIMO AÑO;12;2;1;5;926.936.869.364.927
926456;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;857.295.341.754.001
926456;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;857.295.341.754.001
926457;1;1;1;80;5;1;4;5;;2;;2;;;;;8;2;1;5;941.814.773.593.829
926457;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;941.814.773.593.829
926457;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;941.814.773.593.829
926458;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;808.079.064.019.732
926458;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;808.079.064.019.732
926459;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;879.862.284.710.149
926460;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;677.231.903.872.366
926461;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;614.984.065.876.518
926462;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;72.034.030.903.603
926463;1;4;1;80;5;1;1;7;;2;;1;200000;;;;2;2;1;5;57.410.781.757.107
926464;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;880.692.183.723.681
926466;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;699.498.963.984.711
926466;1;3;1;80;5;1;1;0;;1;1;2;;;1;ESPERA RESPUESTA DE UN TRABAJO;12;1;1;5;699.498.963.984.711
926466;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;699.498.963.984.711
926468;1;2;1;80;5;1;4;2;;2;;1;200000;;;;9;2;1;5;839.815.935.418.232
926468;1;4;1;80;5;1;2;1;;2;;2;;;;;2;2;1;5;839.815.935.418.232
926469;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;831.833.979.911.481
