DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
926359,1,3,1,70,5,24,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,1,2,55,55,74,7493,5,106.249.066.951.918
926359,1,4,1,70,5,24,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,1,2,79,39,75,7530,5,106.249.066.951.918
926368,1,3,1,70,5,6,48,1,,2,6,1,,9,1,,,,,,,,,,1,,2,,2,1,1,19,19,74,7492,5,856.962.289.245.631
926369,1,2,1,70,5,70,48,1,,2,2,1,,7,1,,,,,,,,,,1,,2,,2,1,2,11,21,50,5052,5,909.039.816.201.706
926378,1,1,1,70,5,30,48,1,,2,30,1,,5,1,,,,,,,,,,1,,2,,2,1,2,95,21,28,2899,5,958.489.302.329.764
926378,1,4,1,70,5,5,48,1,,2,6,1,,5,1,,,,,,,,,,1,,2,,2,1,1,45,98,15,1530,5,958.489.302.329.764
926403,1,3,1,70,5,56,48,1,,2,72,1,,9,6,,,,,,,,,,1,,2,,2,1,2,33,33,52,5239,5,104.993.630.256.814
926435,2,1,2,70,5,8,48,1,,2,8,1,,5,2,,,,,,,,,,1,,2,,2,1,1,95,95,45,4559,5,961.642.789.129.231
926437,1,3,1,70,5,16,48,1,,2,12,4,,2,1,,,1,,,,,,,,,2,,2,1,2,21,21,92,9241,5,940.628.148.193.527
926449,1,1,1,70,5,230,48,1,,2,420,1,,2,1,,,,,,,,,,1,,1,80000,2,1,2,37,37,51,5137,5,17.763.378.320.101
