DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,FT,DPTO,fex_c_2011
926343,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,860.156.590.975.807
926344,1,1,1,50,5,1,4,,2,2,2,2,,,1,9,,,,,,,1,5,72.034.030.903.603
926347,1,1,1,50,5,1,6,VUELTAS DEL HOGAR,2,2,2,2,,,2,,,,,,,,1,5,180.312.616.784.067
926347,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,180.312.616.784.067
926348,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,124.592.297.530.327
926348,1,2,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,124.592.297.530.327
926348,1,3,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,124.592.297.530.327
926348,1,4,1,50,5,4,6,PASEANDO,2,2,2,2,,,2,,,,,,,,1,5,124.592.297.530.327
926349,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,632.631.109.197.662
926349,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,632.631.109.197.662
926349,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,632.631.109.197.662
926350,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,660.481.895.170.524
926350,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,660.481.895.170.524
926350,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,660.481.895.170.524
926352,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,632.163.817.837.834
926352,1,2,1,50,5,2,4,,1,,,,,,,,,,,,,,1,5,632.163.817.837.834
926352,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,632.163.817.837.834
926352,1,4,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,632.163.817.837.834
926352,1,7,1,50,5,7,1,,,,,,,,,,,,,,,,1,5,632.163.817.837.834
926352,1,8,1,50,5,8,3,,2,2,2,2,,,2,,,,,,,,1,5,632.163.817.837.834
926353,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,805.217.814.797.926
926353,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,805.217.814.797.926
926353,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,805.217.814.797.926
926353,1,4,1,50,5,4,6,REZANDO,2,2,2,2,,,2,,,,,,,,1,5,805.217.814.797.926
926354,1,1,1,50,5,1,6,PINTAR LA CASA,2,2,2,2,,,2,,,,,,,,1,5,821.330.616.363.338
926354,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,821.330.616.363.338
926354,1,3,1,50,5,3,4,,2,2,2,2,,,2,,,,,,,,1,5,821.330.616.363.338
926354,1,4,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,821.330.616.363.338
926355,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,699.498.963.984.711
926355,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,699.498.963.984.711
926355,1,3,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,699.498.963.984.711
926355,1,4,1,50,5,4,4,,2,2,2,2,,,2,,,,,,,,1,5,699.498.963.984.711
926356,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,876.831.119.711.741
926356,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,876.831.119.711.741
926357,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,720.702.916.689.734
926357,1,2,1,50,5,2,4,,1,,,,,,,,,,,,,,1,5,720.702.916.689.734
926357,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,720.702.916.689.734
926357,1,4,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,720.702.916.689.734
926358,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,683.878.737.140.204
926358,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,683.878.737.140.204
926359,1,1,1,50,5,1,6,EN CAMA POR OPERACION,2,2,2,2,,,2,,,,,,,,1,5,106.249.066.951.918
926359,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,106.249.066.951.918
926359,1,3,1,50,5,3,6,VUELTAS DE LA CIRUGIA DEL PADRE,2,2,2,1,2,,,,,,,,,1,1,5,106.249.066.951.918
926359,1,4,1,50,5,4,4,,2,2,2,1,2,,,,,,,,,1,1,5,106.249.066.951.918
926359,1,5,1,50,5,5,3,,2,2,2,2,,,2,,,,,,,,1,5,106.249.066.951.918
926359,1,7,1,50,5,7,1,,,,,,,,,,,,,,,,1,5,106.249.066.951.918
926359,1,8,1,50,5,7,1,,,,,,,,,,,,,,,,1,5,106.249.066.951.918
926359,1,9,1,50,5,7,3,,2,2,2,2,,,2,,,,,,,,1,5,106.249.066.951.918
926360,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,107.377.889.912.747
926360,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,107.377.889.912.747
926361,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,769.223.534.261.929
926361,1,2,1,50,5,1,6,ESCUCHAR RADIO,2,2,2,2,,,2,,,,,,,,1,5,769.223.534.261.929
926362,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,684.708.636.153.737
926362,1,2,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,684.708.636.153.737
926363,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,836.091.389.048.978
926363,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,836.091.389.048.978
926363,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,836.091.389.048.978
926364,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,653.835.061.902.686
926364,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,653.835.061.902.686
926364,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,653.835.061.902.686
926365,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,699.498.963.984.711
926365,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,699.498.963.984.711
926365,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,699.498.963.984.711
926365,1,4,1,50,5,4,6,ENTRENANDO,2,2,2,2,,,2,,,,,,,,1,5,699.498.963.984.711
926366,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926366,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926367,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,808.079.064.019.732
926367,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,808.079.064.019.732
926368,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,856.962.289.245.631
926368,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,856.962.289.245.631
926368,1,3,1,50,5,3,2,,2,2,2,1,2,,,,,,,,,1,1,5,856.962.289.245.631
926369,1,1,1,50,5,1,6,LEER,2,2,2,2,,,2,,,,,,,,1,5,909.039.816.201.706
926369,1,2,1,50,5,2,2,,2,2,2,1,2,,,,,,,,,1,1,5,909.039.816.201.706
926370,1,1,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,999.229.032.992.527
926370,1,2,1,50,5,2,4,,1,,,,,,,,,,,,,,1,5,999.229.032.992.527
926370,1,5,1,50,5,5,1,,,,,,,,,,,,,,,,1,5,999.229.032.992.527
926370,1,6,1,50,5,6,1,,,,,,,,,,,,,,,,1,5,999.229.032.992.527
926372,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,839.285.690.779.153
926373,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926373,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926374,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,614.154.166.862.986
926374,1,2,1,50,5,2,4,,1,,,,,,,,,,,,,,1,5,614.154.166.862.986
926374,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,614.154.166.862.986
926374,1,6,1,50,5,6,1,,,,,,,,,,,,,,,,1,5,614.154.166.862.986
926375,1,1,1,50,5,1,6,LEER,2,2,2,2,,,2,,,,,,,,1,5,808.079.064.019.732
926375,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,808.079.064.019.732
