Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;Oficio;Rama2d;Oci;P6430;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3450658;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;138; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;250000;1;3000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;13;40; ;.;40; ; ;1;4; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;4; ;2; ; ; ; ;24;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;98;60;1;4;6022; ; ;250000;04;13;2118,66736152774
3450658;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;340; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;100000;1;1500000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;13;40; ;.;25;6; ;1;1; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;1;24;3; ;2; ; ; ; ;3;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;79;18;1;4;1810; ; ;100000;04;13;2118,66736152774
3450659;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;486; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;600000;1;8000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;13;60; ;.;60; ; ;1;4; ;2; ; ; ;1; ; ;1;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;2;1;98;60;1;4;6031; ; ;600000;04;13;1984,52700926738
3450659;1;3;1;60;2;1;1; ; ;1;1; ;2;2;2;2;ES UNA DOCENTE CONTRATADA POR UNA DOCENTE PARA HACER LO MISM; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;200000;1;400000;3; ;2; ; ; ; ; ; ; ; ; ; ; ;3; ;13;20;2; ;20; ; ;9;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;1; ;2; ; ; ; ;86;2; ;2; ; ; ; ;2; ; ; ;1;1;1;1;2;1;2;2;2;2;2; ;1;1; ;1;1;1;2;3; ;2;1;13;80;1;9;8041; ; ;200000;04;13;1984,52700926738
3450661;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;425; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;1400000;1;15000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;13;25;2; ;25; ; ;2;8; ;2; ; ; ;1; ; ;1;1; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;1;61;01;1;5;0121; ; ;1400000;04;13;2557,39736165746
3450662;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;2500000;1;30000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;1;2;13;45; ;.;45; ; ;4;7; ;1;1;2;9;1;1; ; ; ; ; ; ; ; ;1;1;86;2; ;2; ; ; ; ;0;2; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;02;45;1;5;4521; ; ;2500000;04;13;2298,96527925858
3450662;1;2;1;60;2;1;2;1; ;1;1; ;1;1;1;172; ;5; ;1460000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;1600000; ;2;1;2;2; ;.; ; ; ; ; ;.;12; ; ;1;2; ; ; ;2; ; ; ; ; ;13;25;2; ;25; ; ;9;7; ;1;3;1;8;1;1; ;1;1; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;1;1;13;80;1;2;8043; ; ;1460000;04;13;2298,96527925858
3450663;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;65; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;150000;1;2000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;13;60; ;.;40;2; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;145;4; ;1;25;4; ;100000;0;2; ;2; ;2;1;13;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;1;1; ;1;2;1;2;3; ;2;1;61;02;1;4;0201; ; ;250000;04;13;2969,19324794065
3450663;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;13;25;2; ;20;6; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;79;18;1;6;1810; ; ; ;04;13;2969,19324794065
3450663;1;5;1;60;2;2; ; ; ; ; ; ; ; ; ;320; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;4000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;13;50; ;.;30;2; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;1;15;4; ;50000; ;2; ;2; ;1;8;13;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;1;1; ;1;1;1;2;3; ;2;1;79;18;1;4;1810; ; ;350000;04;13;2969,19324794065
