directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P3148;P6500;P6750;P6760;P6870;P6880;P6920;P6930;Oci;mes;area;dpto;fex_c_2011
141363;1;3;08;62;6201;1;40;30;7; ;2500000; ; ;9;7;1;1;1;07;47;47;122,29412124324
141364;1;1;03;95;9522;4;40;12;7; ; ;450000;1;1;2;2; ;1;07;47;47;136,375785406595
141366;1;1;97;47;4761;1;48;30;7; ;1300000; ; ;7;7;1;2;1;07;47;47;149,044939551281
141367;1;2;42;22;2229;1;48;40;7; ;2100000; ; ;9;7;1;1;1;07;47;47;102,145969391662
141368;1;1;98;49;4921;4;72;72; ; ; ;900000;1;1;4;2; ;1;07;47;47;231,70530905538
141369;1;1;44;61;6120;4;48;48; ; ; ;200000;1;1;5;2; ;1;07;47;47;174,298536835238
141369;1;2;53;56;5619;4;10;10; ; ; ;200000;1;1;1;2; ;1;07;47;47;174,298536835238
141370;1;1;33;47;4723;1;48;48; ; ;890000; ; ;4;7;1;1;1;07;73;73;332,932539317657
141371;2;1;59;85;8559;4;14;14; ; ; ;300000;1;1;1;2; ;1;07;47;47;202,413541128903
141372;1;1;13;85;8530;1;48;48; ; ;900000; ; ;4;1;1;1;1;07;73;73;289,380856543582
141374;1;1;53;56;5611;4;50;20;7; ; ;200000;1;1;7;2; ;1;07;47;47;103,540060525671
141375;1;3;11;69;6920;4;40;0;6;1; ;0;1;1;1;2; ;1;07;68;68;601,845409924226
141376;1;2;54;97;9700;3;40;40; ; ;400000; ; ;1;2;2; ;1;07;47;47;102,618953175552
141377;1;2;62;01;0161;4;60;20;7; ; ;250000;1;1;6;2; ;1;07;27;27;55,2566054338162
141379;1;1;53;56;5619;4;65;0;7; ; ;0;1;1;1;2; ;1;07;47;47;146,429237511341
141379;1;3;97;47;4711;1;48;0;7; ;0; ; ;9;7;2; ;1;07;47;47;146,429237511341
141380;1;1;95;16;1630;4;60;60; ; ; ;1100000;1;2;9;2; ;1;07;27;27;134,686350559223
141381;1;1;41;47;4724;4;40;30;7; ; ;100000;1;1;1;2; ;1;07;47;47;226,845366271646
141382;1;1;39;86;8621;1;48;48; ; ;1200000; ; ;9;7;1;1;1;07;68;68;492,535429144224
141382;1;2;44;64;6412;1;48;48; ; ;1300000; ; ;9;7;1;1;1;07;68;68;492,535429144224
141385;1;1;39;86;8621;1;40;40; ; ;1000000; ; ;7;7;1;2;1;07;27;27;55,2566054338162
141387;1;3;79;95;9529;4;30;12;6;1; ;120000;1;1;1;2; ;1;07;68;68;530,369874118291
141387;1;4;06;75;7500;4;40;0;6;1; ;0;1;1;8;2; ;1;07;68;68;530,369874118291
141389;1;3;39;84;8412;4;42;42; ; ; ;1800000;1;9;5;1;1;1;07;47;47;122,480524196177
