directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;clase;DPTO;Fex_c_2011
141363;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;122,29412124324
141363;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;122,29412124324
141363;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;122,29412124324
141364;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;136,375785406595
141364;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;136,375785406595
141364;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;136,375785406595
141365;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;118,480991573231
141365;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;118,480991573231
141365;1;3;3;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;118,480991573231
141365;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;118,480991573231
141366;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;149,044939551281
141366;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;149,044939551281
141366;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;149,044939551281
141366;1;4;3;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;149,044939551281
141367;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;102,145969391662
141367;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;102,145969391662
141368;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;231,70530905538
141368;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;07;47;1;47;231,70530905538
141369;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;174,298536835238
141369;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;174,298536835238
141369;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;174,298536835238
141370;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;73;1;73;332,932539317657
141370;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;07;73;1;73;332,932539317657
141370;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;73;1;73;332,932539317657
141370;1;6;4;2;2;2;2; ;2; ; ; ; ; ; ;1;07;73;1;73;332,932539317657
141371;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;202,413541128903
141372;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;73;1;73;289,380856543582
141374;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;103,540060525671
141374;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;103,540060525671
141374;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;103,540060525671
141374;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;103,540060525671
141374;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;103,540060525671
141375;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;601,845409924226
141375;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;601,845409924226
141375;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;07;68;1;68;601,845409924226
141375;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;601,845409924226
141375;1;5;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;601,845409924226
141376;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;102,618953175552
141376;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;102,618953175552
141377;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;07;27;1;27;55,2566054338162
141377;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;27;1;27;55,2566054338162
141378;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;70,2028877574453
141378;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;07;47;1;47;70,2028877574453
141378;1;3;6;2;2;2;2; ;1;13; ; ; ; ; ;1;07;47;1;47;70,2028877574453
141379;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;146,429237511341
141379;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;146,429237511341
141379;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;146,429237511341
141379;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;146,429237511341
141380;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;27;1;27;134,686350559223
141380;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;07;27;1;27;134,686350559223
141381;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;07;47;1;47;226,845366271646
141381;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;07;47;1;47;226,845366271646
141381;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;226,845366271646
141381;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;226,845366271646
141382;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;68;1;68;492,535429144224
141382;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;68;1;68;492,535429144224
141385;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;07;27;1;27;55,2566054338162
141385;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;27;1;27;55,2566054338162
141386;1;1;4;2;2;2;1;6; ; ; ; ; ; ;1;1;07;47;1;47;213,709393878155
141386;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;07;47;1;47;213,709393878155
141387;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;530,369874118291
141387;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;07;68;1;68;530,369874118291
141387;1;3;4;1; ; ; ; ; ; ; ; ; ; ; ;1;07;68;1;68;530,369874118291
141387;1;4;6;2;1; ; ; ; ; ; ; ; ; ; ;1;07;68;1;68;530,369874118291
