directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
141370;1;2;1;3;3;1;07;73;73;332,932539317657
141370;1;3;2; ; ;1;07;73;73;332,932539317657
141370;1;6;1;4;4;1;07;73;73;332,932539317657
141375;1;1;1;2;5;1;07;68;68;601,845409924226
141375;1;2;1;4;5;1;07;68;68;601,845409924226
141375;1;4;2; ; ;1;07;68;68;601,845409924226
141375;1;5;1;4;5;1;07;68;68;601,845409924226
141387;1;1;1;4;9;1;07;68;68;530,369874118291
141387;1;2;1;4;3;1;07;68;68;530,369874118291
141391;1;1;1;4;5;1;07;50;50;114,991254537087
141394;1;2;2; ; ;1;07;52;52;213,294885458361
141396;1;3;2; ; ;1;07;68;68;335,385739048807
141397;1;1;2; ; ;1;07;50;50;114,991254537087
141402;1;1;1;4;7;1;07;23;23;112,073120455491
141406;1;3;2; ; ;1;07;52;52;156,670923226425
141407;1;1;1;1,3;9;1;07;23;23;112,073120455491
141408;1;1;1;4;3;1;07;50;50;114,991254537087
141412;1;1;1;1,3;7;1;07;54;54;203,166054547745
141412;1;2;2; ; ;1;07;54;54;203,166054547745
141412;1;3;1;1,3;7;1;07;54;54;203,166054547745
141417;1;1;1;4;5;1;07;23;23;119,795171073949
141417;1;2;1;4;3;1;07;23;23;119,795171073949
141417;1;4;2; ; ;1;07;23;23;119,795171073949
141419;1;2;1;3;3;1;07;54;54;238,754242986026
141419;1;5;1;4;4;1;07;54;54;238,754242986026
141431;1;3;2; ; ;1;07;52;52;284,990397565309
141434;1;2;2; ; ;1;07;23;23;268,297309627194
141434;1;3;2; ; ;1;07;23;23;268,297309627194
141436;1;1;1;3;6;1;07;54;54;307,410751062968
141436;1;4;2; ; ;1;07;54;54;307,410751062968
141436;1;5;1;3;3;1;07;54;54;307,410751062968
141442;1;1;1;4;5;1;07;11;11;4026,22826662073
141446;1;3;1;4;6;1;07;23;23;85,4559931979374
141446;1;6;1;1,3;9;1;07;23;23;85,4559931979374
141447;1;1;1;4;5;1;07;11;11;1522,44563968487
141448;1;2;1;4;3;1;07;23;23;295,189246678643
141454;1;1;1;4;3;1;07;23;23;154,017679847793
141454;1;2;1;3;4;1;07;23;23;154,017679847793
141454;2;2;2; ; ;1;07;23;23;154,017679847793
141458;1;3;2; ; ;1;07;11;11;6079,68537074886
141460;1;1;1;1,3;9;1;07;54;54;199,02378774455
141460;1;2;1;2;4;1;07;54;54;199,02378774455
141461;1;1;1;4;6;1;07;13;13;240,765155676087
141462;1;2;1;3;2;1;07;68;68;368,820264362427
141466;1;5;2; ; ;1;07;13;13;462,233587344441
141472;1;1;1;1,2;9;1;07;13;13;344,359913752522
141472;1;3;2; ; ;1;07;13;13;344,359913752522
141472;1;4;2; ; ;1;07;13;13;344,359913752522
141472;1;5;1;4;5;1;07;13;13;344,359913752522
141472;1;6;1;4;5;1;07;13;13;344,359913752522
141473;1;2;1;4;3;1;07;17;17;94,4780167961736
141473;1;3;2; ; ;1;07;17;17;94,4780167961736
141476;1;2;2; ; ;1;07;11;11;4200,4361706036
141480;1;3;2; ; ;1;07;66;66;254,578801096456
141480;1;4;2; ; ;1;07;66;66;254,578801096456
141483;1;3;2; ; ;1;07;68;68;438,036120726668
141485;1;4;1;1,3;7;1;07;13;13;396,061200103553
141490;1;4;2; ; ;1;07;17;17;348,238767834975
141493;1;1;1;1,3;4;1;07;23;23;125,143322313925
141493;1;3;2; ; ;1;07;23;23;125,143322313925
141493;1;5;1;4;3;1;07;23;23;125,143322313925
141497;1;2;2; ; ;1;07;66;66;291,01732862874
141503;1;2;2; ; ;1;07;13;13;456,753116446445
141504;1;3;2; ; ;1;07;68;68;516,427950491849
141505;1;1;1;2;3;1;07;66;66;354,134272957055
141505;1;2;2; ; ;1;07;66;66;354,134272957055
141505;1;3;2; ; ;1;07;66;66;354,134272957055
141506;1;2;1;3;3;1;07;11;11;4497,39201234387
141507;1;1;1;4;4;1;07;13;13;399,957317268057
141514;1;2;1;9;3;1;07;13;13;329,450790936366
141514;1;3;2; ; ;1;07;13;13;329,450790936366
141514;1;4;2; ; ;1;07;13;13;329,450790936366
141514;1;5;2; ; ;1;07;13;13;329,450790936366
141515;1;1;1;4;4;1;07;68;68;364,355946233269
141515;1;2;1;3;3;1;07;68;68;364,355946233269
