directorio;secuencia_p;orden;P7250;P7310;P7320;OFICIO2;RAMA2D_D_r4;RAMA4D_D_r4;P7350;P7360;dsi;mes;area;dpto;fex_c_2011
141396;1;2;72;2;72;53;56;5629;1;6;1;07;68;68;335,385739048807
141413;1;2;24;2;24;95;41;4111;1;2;1;07;52;52;277,215946638649
141419;1;1;1;2;1;89;23;2392;4;1;1;07;54;54;238,754242986026
141436;1;2;6;2;8;80;15;1522;4;1;1;07;54;54;307,410751062968
141436;1;3;8;2;12;80;15;1522;4;1;1;07;54;54;307,410751062968
141448;1;1;16;2;20;98;49;4921;1;7;1;07;23;23;295,189246678643
141454;1;3;2;2;12;54;97;9700;3;1;1;07;23;23;154,017679847793
141454;1;4;1;2;10;54;97;9700;3;1;1;07;23;23;154,017679847793
141454;2;1;2;2;10;54;97;9700;3;1;1;07;23;23;154,017679847793
141458;1;2;8;2;16;38;82;8220;1;9;1;07;11;11;6079,68537074886
141470;1;2;8;2;16;84;45;4520;1;4;1;07;23;23;169,240456316206
141483;1;2;12;2;14;95;41;4111;1;3;1;07;68;68;438,036120726668
141485;1;2;20;1; ; ; ; ; ; ;1;07;13;13;396,061200103553
141490;1;2;50;2;50;02;42;4210;1;5;1;07;17;17;348,238767834975
141493;1;2;40;2;40;97;49;4921;1;2;1;07;23;23;125,143322313925
141506;1;4;24;1; ; ; ; ; ; ;1;07;11;11;4497,39201234387
141512;1;2;15;2;60;53;56;5611;1;3;1;07;17;17;261,746966214322
141515;1;3;27;2;27;45;10;1082;1;9;1;07;68;68;364,355946233269
141516;1;2;14;2;14;58;52;5221;1;3;1;07;66;66;192,91770390395
141518;1;4;26;2;26;39;10;1020;1;7;1;07;68;68;365,883348010786
141521;1;2;3;1; ; ; ; ; ; ;1;07;68;68;442,002748035306
141522;1;3;39;2;39;97;56;5621;1;2;1;07;68;68;270,163329282905
141524;1;2;10;2;15;39;55;5511;1;4;1;07;13;13;334,844326335303
141528;1;1;2;2;2;37;49;4921;1;9;1;07;68;68;398,546536506828
141532;1;1;14;2;14;81;95;9524;4;1;1;07;66;66;208,68871455898
141555;1;3;52;2;52;21;94;9499;1;7;1;07;13;13;331,189247488208
141581;1;2;21;2;21;57;96;9602;4;3;1;07;52;52;323,745290312669
141590;1;5;78;2;78;55;81;8121;4;1;1;07;50;50;146,079705319012
141593;1;1;12;2;12;58;84;8422;2;9;1;07;50;50;115,199179606366
141597;1;1;5;2;13;12;69;6910;1;3;1;07;23;23;286,553068369712
141605;1;3;32;2;32;03;11;1104;4;9;1;07;13;13;467,330989725264
141605;1;4;24;1; ; ; ; ; ; ;1;07;13;13;467,330989725264
141611;1;3;8;2;24;95;41;4111;1;4;1;07;23;23;184,619417663936
141611;1;4;12;2;20;33;47;4711;1;7;1;07;23;23;184,619417663936
141614;1;2;4;2;4;44;64;6424;1;6;1;07;50;50;98,9584669460276
141614;1;4;16;2;16;45;47;4772;1;7;1;07;50;50;98,9584669460276
141615;1;2;25;2;26;53;56;5611;1;4;1;07;17;17;94,4780167961736
141625;1;3;21;1; ; ; ; ; ; ;1;07;52;52;119,839527360636
141633;1;3;8;2;8;39;52;5229;1;6;1;07;13;13;231,403128435572
141639;1;1;15;2;15;53;56;5611;1;5;1;07;76;76;2085,61699155817
141639;1;2;15;2;15;39;55;5511;1;6;1;07;76;76;2085,61699155817
141644;1;2;14;2;14;45;47;4789;4;1;1;07;76;76;1919,18563527803
141650;1;3;3;1; ; ; ; ; ; ;1;07;52;52;293,036656341864
141658;1;1;12;2;12;54;97;9700;3;1;1;07;68;68;389,669307155185
141661;1;3;3;2;12;95;41;4111;1;3;1;07;23;23;131,47285165291
141662;1;2;20;2;52;39;84;8412;4;9;1;07;23;23;175,470708435277
141662;1;3;20;2;22;53;56;5619;1;4;1;07;23;23;175,470708435277
