Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
3011121;1;1;1;10;1;1;1;11;1975;36;1;3;1; ; ;2;1;98;2;1;2; ;6;8;5;54;19;08;54;361,754597140832
3011121;1;2;1;10;2;2;1;1;1979;33;2;3;1; ; ;2;5; ;2;1;2; ;5;11;2;54;11;08;54;361,754597140832
3011121;1;3;1;10;2;2;1;6;2007;5;3; ;1; ; ;2;5; ;2;2;1;2;2;0; ;54;0;08;54;361,754597140832
3011121;1;4;1;10;2;1;1;10;2009;2;3; ;1; ; ;2;5; ;2; ; ; ; ; ; ;54; ;08;54;361,754597140832
3011122;1;1;1;10;1;1;1;5;1960;52;1;2;2;2; ; ; ; ;1;1;2; ;6;5;4;54;16;08;54;447,810168386653
3011122;1;2;1;10;2;2;1;10;1987;24;2;2;1; ; ;3; ; ;2;1;2; ;6;2;2;54;13;08;54;447,810168386653
3011122;1;3;1;10;2;1;1;4;2009;3;3; ;2;2; ; ; ; ;1;2;2; ;1;0; ;54;0;08;54;447,810168386653
3011123;1;1;1;10;1;1;1;7;1960;52;1;3;2;1;6; ; ; ;1;1;2; ;3;5; ;54;5;08;54;255,678130717179
3011123;1;2;1;10;2;2;1;7;1963;49;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;54;4;08;54;255,678130717179
3011124;1;1;1;10;1;1;1;8;1939;72;1;4;1; ; ;2;2;57000;2;1;2; ;4;6; ;54;6;08;54;528,643020796772
3011124;1;2;1;10;1;1;1;2;1998;14;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;54;5;08;54;528,643020796772
3011125;1;1;1;10;1;2;1;10;1941;70;1;5;1; ; ;1;2;98;2;1;2; ;3;5; ;54;5;08;54;340,962299547234
3011270;1;1;1;10;1;1;1;6;1932;80;1;3;1; ; ;2;2;46000;2;1;2; ;3;3; ;17;3;08;17;117,98393400874
3011270;1;2;1;10;2;2;1;7;1966;46;2;3;1; ; ;2;5; ;2;1;2; ;4;6; ;17;6;08;17;117,98393400874
3011270;1;3;1;10;3;2;1;10;1986;25;3;6;1; ; ;1;6; ;2;1;2; ;6;5;4;17;16;08;17;117,98393400874
3011270;1;4;1;10;3;2;1;3;2012;0;4; ;1; ; ;1;5; ;2; ; ; ; ; ; ;17; ;08;17;117,98393400874
3011270;1;5;1;10;5;2;1;2;1993;19;3;6;2;1;48; ; ; ;2;1;2; ;5;11;2;17;11;08;17;117,98393400874
3011271;1;1;1;10;1;1;1;3;1968;44;1;3;1; ; ;1;1;40000;2;1;1;1;6;3;3;17;14;08;17;166,490878680514
3011271;1;2;1;10;2;2;1;2;1969;43;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;08;17;166,490878680514
3011271;1;3;1;10;3;1;1;6;1993;19;3;6;1; ; ;1;5; ;2;1;1;1;6;2;2;17;13;08;17;166,490878680514
3011271;1;4;1;10;2;2;1;3;1999;13;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;17;7;08;17;166,490878680514
3011272;1;1;1;10;1;1;1;11;1971;40;1;2;1; ; ;1;3;70838;2;1;2; ;4;9; ;17;9;08;17;234,673850934939
3011272;1;2;1;10;2;2;1;10;1979;32;2;2;1; ; ;1;5; ;2;1;2; ;5;10;1;17;10;08;17;234,673850934939
3011272;1;3;1;10;1;1;1;3;2002;10;3;6;1; ; ;1;5; ;2;1;1;1;3;3; ;17;3;08;17;234,673850934939
3011273;1;1;1;10;1;1;1;11;1966;45;1;3;1; ; ;1;2;132000;2;1;2; ;6;3;3;17;14;08;17;150,47207179258
3011273;1;2;1;10;2;2;1;2;1968;44;2;3;1; ; ;1;1;48000;2;1;2; ;6;3;2;17;14;08;17;150,47207179258
3011273;1;3;1;10;1;2;1;4;1997;15;3;6;1; ; ;1;5; ;2;1;1;2;4;9; ;17;9;08;17;150,47207179258
3011274;1;1;1;10;1;1;1;11;1942;69;1;3;1; ; ;2;2;188400;2;1;2; ;6;4;4;17;15;08;17;146,526674618929
3011274;1;2;1;10;2;2;1;4;1947;65;2;3;1; ; ;2;5; ;2;1;2; ;3;5; ;17;5;08;17;146,526674618929
3011274;1;3;1;10;3;2;1;5;1970;42;3;4;2;1;3; ; ; ;1;1;2; ;6;3;3;17;14;08;17;146,526674618929
3011274;1;4;1;10;4;1;1;4;1991;21;4;6;1; ; ;1;3;70838;2;1;1;2;6;3;2;17;14;08;17;146,526674618929
3011274;1;5;1;10;3;2;1;2;2000;12;4;6;1; ; ;1;5; ;1;1;1;2;4;6; ;17;6;08;17;146,526674618929
3011274;1;6;1;10;6;1;1;2;1976;36;3;4;1; ; ;1;3;71000;2;1;2; ;6;10;5;17;21;08;17;146,526674618929
3011275;1;1;1;10;1;1;1;5;1929;83;1;3;1; ; ;1;2;68004;2;2;2; ;3;1; ;17;1;08;17;136,232716942043
3011275;1;2;1;10;2;2;1;3;1946;66;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;17;3;08;17;136,232716942043
3011275;1;3;1;10;3;2;1;5;1965;47;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;17;11;08;17;136,232716942043
3011276;1;1;1;10;1;1;1;4;1954;58;1;4;1; ; ;1;1;22668;2;1;2; ;3;4; ;17;4;08;17;222,499329290805
3011276;1;2;1;10;2;1;1;11;1982;29;3;6;2;1;24; ; ; ;2;1;2; ;6;2;3;17;13;08;17;222,499329290805
3011276;1;3;1;10;3;1;1;7;1989;23;3;6;1; ; ;1;1;38400;2;1;1;1;6;3;2;17;14;08;17;222,499329290805
3011277;1;1;1;10;1;2;1;10;1963;48;1;5;1; ; ;3; ; ;2;1;2; ;4;6; ;17;6;08;17;198,666057531254
3011277;1;2;1;10;1;1;1;10;1975;36;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;17;11;08;17;198,666057531254
3011277;1;3;1;10;3;1;1;8;1992;19;3;6;1; ; ;3; ; ;2;1;1;1;6;1;2;17;12;08;17;198,666057531254
3011278;1;1;1;10;1;2;1;8;1945;66;1;4;1; ; ;1;2;68004;2;1;2; ;5;11;2;17;11;08;17;140,717478435263
3011278;1;2;1;10;2;2;1;11;1919;92;5;5;1; ; ;1;5; ;2;1;2; ;3;5; ;17;5;08;17;140,717478435263
3011279;1;1;1;10;1;2;1;2;1959;53;1;3;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;08;17;198,666057531254
3011279;1;2;1;10;2;1;1;5;1966;46;2;3;1; ; ;1;1;60000;2;1;2; ;6;2;3;17;13;08;17;198,666057531254
3011279;1;3;1;10;3;1;1;5;1993;19;3;6;1; ; ;1;5; ;2;1;1;2;6;0;2;17;11;08;17;198,666057531254
