Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3022469;1;7;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;61;61;01;1;1;0140;08;19;1891,22948012389
3022472;1;2;1;70;2;3;48;4; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;61;61;01;1;1;0140;08;19;1096,82267691078
3022473;1;1;1;70;2;8;48;4; ;2;8;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;08;19;969,060830406556
3022486;1;1;1;70;2;8;48;1; ;2;8;1; ;9;5; ; ; ; ; ; ; ;1; ; ; ;2; ;2;70;70;45;1;1;4530;08;19;1200,58500770339
3022493;1;1;1;70;2;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;96000;2;61;61;01;1;1;0140;08;19;1374,61762511482
3022494;1;2;1;70;2;20;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;08;19;999,299153950702
3022538;1;5;1;70;2;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;19;995,284580517419
3023055;1;3;1;70;2;32;48;1; ;2;32;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;36;60;1;2;6021;08;50;712,390139262609
3023095;1;2;1;70;2;5;22;1; ;2;40;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;08;50;792,816478304294
3023105;1;1;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0140;08;50;663,825606566914
3023107;1;3;1;70;2;16;48;2; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;36;60;1;2;6021;08;50;1132,92337557778
3023107;1;4;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;08;50;1132,92337557778
3023137;1;2;1;70;2;4;48;8; ;2;156;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;54;95;1;1;9500;08;50;1213,18025081502
3023155;1;4;1;70;2;32;48;1; ;2;32;1; ;9;9;LA ATIENDEN CON EL S; ; ; ; ; ; ; ; ;1; ;2; ;2;59;03;11;1;2;1110;08;50;884,687026490187
3023157;1;1;1;70;2;104;36;3; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;2;5521;08;50;717,788286003048
3023164;1;1;1;70;2;28;48;8; ;2;28;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;11;1;2;1120;08;50;772,585635308088
3023165;2;3;2;70;2;12;48;1; ;2;12;8; ;5;9;LA ATIENDEN CON EL S; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0121;08;50;1713,15797401782
3023173;1;3;1;70;2;3;48;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;1300000;2;03;39;00;1;1;0000;08;50;446,521343323603
3023187;1;2;1;70;2;4;48;8; ;2;4;8; ;9;6; ; ; ; ; ; ; ; ; ;1; ;1;566700;2;62;62;01;1;1;0140;08;50;1076,0945132854
3023238;1;3;1;70;2;12;40;1; ;2;12;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;30;54;95;1;1;9500;08;50;446,521343323603
3023269;1;3;1;70;2;2;48;1; ;2;1;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;77;77;52;1;1;5223;08;50;637,812737218811
3023271;1;3;1;70;2;52;48;4; ;2;25;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;08;50;622,351877875455
3023272;1;3;1;70;2;52;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;11;1;2;1110;08;50;604,694668684371
3023309;1;3;1;70;2;2;48;1; ;2;2;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;08;50;1001,73163891432
3024101;1;2;1;70;2;8;40;4; ;2;3;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;41;71;13;1;1;1320;08;52;699,041871264232
3024113;1;2;1;70;2;208;40;8; ;2;98;7; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;62;01;1;2;0118;08;52;1231,31090142551
3024113;1;4;1;70;2;6;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;08;52;1231,31090142551
3024114;1;3;1;70;2;2;28;4; ;2;2;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;61;62;01;1;1;0111;08;52;1464,30746845999
3024122;1;3;1;70;2;8;40;4; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0118;08;52;1616,51653783506
3024125;1;5;1;70;2;21;24;3; ;2;21;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;52;1315,67677051341
3024136;1;5;1;70;2;26;40;3; ;2;26;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;52;1157,32449805578
3024148;1;3;1;70;2;2;45;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0118;08;52;654,831010101883
3024151;1;1;1;70;2;3;45;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;56;71;13;1;1;1320;08;52;1160,44215949414
3024158;1;2;1;70;2;30;45;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;08;52;1719,13682031024
3024163;1;2;1;70;2;16;45;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;53;61;01;1;2;0140;08;52;1102,50192106106
3024164;1;2;1;70;2;52;45;3; ;2;104;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;52;1132,0826926195
3024172;1;1;1;70;2;3;45;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0118;08;52;1388,4793486646
3024176;1;2;1;70;2;16;45;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0115;08;52;1102,50192106106
3024206;1;2;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;08;52;1028,51551769133
3024207;1;2;1;70;2;52;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;08;52;2180,17057651518
3024213;1;2;1;70;2;12;40;3; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;91;1;1;9199;08;52;1531,14054754254
3024219;1;2;1;70;2;3;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;61;61;01;1;1;0116;08;52;1760,45364711823
3024221;1;5;1;70;2;4;40;1; ;2;26;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;08;52;1328,46234728831
3024231;1;1;1;70;2;26;40;1; ;2;26;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;08;52;1391,16320938195
3024231;1;3;1;70;2;4;14;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;61;61;01;1;1;0114;08;52;1391,16320938195
3024239;1;2;1;70;2;8;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;08;52;796,062737426465
3024241;1;2;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;61;61;01;1;1;0117;08;52;752,902561316273
3024245;1;3;1;70;2;52;24;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;33;15;1;2;1551;08;52;1180,36213556827
3024246;1;2;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0118;08;52;1760,45364711823
3024254;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;61;61;01;1;1;0116;08;52;1423,901212478
3024259;1;3;1;70;2;13;40;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;51;1;1;5127;08;52;1183,23609993461
3024270;1;1;1;70;2;4;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;61;61;01;1;1;0116;08;52;1943,27815855956
3024301;1;1;1;70;2;30;48;2; ;2;30;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;39;75;1;2;7512;08;52;1273,32156794103
