DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2509031;1;1;1;70;1;17;48;1; ;2;998;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;37;75;1;2;7512;09;52;52;108,239258754026
2509032;1;1;1;70;1;17;48;3; ;2;26;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;09;52;52;144,21735558069
2509034;1;1;1;70;1;8;50;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;09;52;52;121,464516084053
2509034;1;4;1;70;1;32;48;1; ;2;32;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;09;52;52;121,464516084053
2509036;1;2;1;70;1;156;40;1; ;2;322;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5244;09;52;52;77,7256292906184
2509037;1;5;1;70;1;28;20;4; ;2;28;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;85;1;2;8532;09;52;52;77,7256292906184
2509040;1;2;1;70;1;12;48;4; ;2;12;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;12;75;1;1;7512;09;52;52;170,585005423999
2509040;1;3;1;70;1;12;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;1; ;09;52;52;170,585005423999
2509047;1;1;1;70;1;4;40;1; ;2;2;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;45;45;15;1;1;1530;09;52;52;95,0968662407438
2509052;1;1;1;70;1;84;48;4; ;2;336;1; ;4;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;45;52;1;2;5239;09;54;54;350,295076473644
2509059;1;1;1;70;1;2;12;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;09;54;54;350,295076473644
2509061;1;1;1;70;1;48;44;1; ;2;48;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;2;8511;09;63;63;75,7753213549427
2509071;1;2;1;70;1;24;48;4; ;2;12;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5522;09;63;63;148,690563215139
2509073;1;2;1;70;1;52;30;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;09;63;63;224,376088173986
2509076;1;3;1;70;1;24;40;2; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8050;09;63;63;98,6071893636129
2509077;1;1;1;70;1;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;55;55;74;1;1;7493;09;66;66;184,361937603328
2509078;1;2;1;70;1;20;50;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;50;55;1;2;5522;09;66;66;277,460686607458
2509081;1;1;1;70;1;28;48;1; ;2;36;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;45;52;1;2;5262;09;66;66;246,823777362259
2509083;1;2;1;70;1;12;72;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;1;5020;09;66;66;217,318043259373
2509084;1;2;1;70;1;16;72;1; ;2;16;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;09;66;66;253,137803907261
2509092;1;2;1;70;1;1;48;1; ;2;2;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;590000;2;32;32;74;1;1;7491;09;66;66;232,241464054048
2509093;1;2;1;70;1;3;48;1; ;2;3;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;93;1;1;9303;09;66;66;218,791055951964
2509100;1;1;1;70;1;2;72;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;85;85;52;1;1;5272;09;66;66;226,797513838346
2509101;1;2;1;70;1;8;60;1; ;2;32;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3611;09;66;66;217,318043259373
2509102;1;4;1;70;1;204;48;1; ;2;204;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;09;66;66;214,657739362065
2509105;1;2;1;70;1;8;24;1; ;2;8;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;52;1;1;5211;09;66;66;237,344306783287
