DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2615534;1;2;1;80;1;2;;;;1;2;2;;2;;.;;;1;2;73;73;221.061.495.150.989
2615534;1;3;1;80;1;1;1;2;;2;;2;;;;;2;2;1;2;73;73;221.061.495.150.989
2615543;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;73;73;462.371.303.091.715
2615543;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;2;73;73;462.371.303.091.715
2615544;1;3;1;80;1;1;1;2;;2;;2;;;;;2;2;1;2;73;73;481.754.328.234.413
2615545;1;1;1;80;1;1;4;4;;2;;2;;;;;4;2;1;2;73;73;338.254.042.536.298
2615546;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;2;73;73;347.962.698.949.235
2615546;1;2;1;80;1;1;3;4;;2;;2;;;;;4;2;1;2;73;73;347.962.698.949.235
2615546;1;6;1;80;1;2;;;;2;;2;;2;;.;;;1;2;73;73;347.962.698.949.235
2615547;1;2;1;80;1;1;1;8;;2;;2;;;;;8;2;1;2;73;73;331.349.315.727.403
2615548;1;1;1;80;1;1;4;3;;2;;2;;;;;8;2;1;2;73;73;249.988.982.793.552
2615549;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;786.499.443.193.213
2615550;1;1;1;80;1;1;3;5;;3;;2;;;;;8;2;1;2;15;15;809.570.020.227.203
2615550;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;809.570.020.227.203
2615551;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;836.082.706.929.527
2615551;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;836.082.706.929.527
2615551;1;5;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;836.082.706.929.527
2615552;1;2;1;80;1;1;4;8;;2;;2;;;;;8;2;1;2;15;15;963.054.836.176.495
2615553;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;836.082.706.929.527
2615553;1;5;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;836.082.706.929.527
2615554;1;2;1;80;1;2;;;;2;;2;;1;2;;2;;1;2;15;15;729.882.856.902.609
2615555;1;2;1;80;1;1;1;2;;2;;2;;;;;2;2;1;2;15;15;621.367.039.506.941
2615555;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;621.367.039.506.941
2615555;1;4;1;80;1;1;4;5;;3;;2;;;;;10;2;1;2;15;15;621.367.039.506.941
2615556;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;969.277.717.390.957
2615556;1;6;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;969.277.717.390.957
2615558;1;1;1;80;1;1;4;8;;2;;2;;;4;;8;1;1;2;15;15;800.760.600.286.143
2615559;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;2;15;15;673.052.803.435.594
2615559;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;673.052.803.435.594
2615559;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;673.052.803.435.594
2615560;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;2;15;15;861.255.784.155.856
2615560;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;861.255.784.155.856
2615561;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;2;15;15;618.044.833.176.763
2615561;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;618.044.833.176.763
2615562;1;1;1;80;1;1;1;8;;2;;2;;;1;ESTA ESPERANDO QUE LA LLAMEN A TRABAJAR;12;1;1;2;15;15;70.562.643.540.129
2615563;1;2;1;80;1;1;1;8;;2;;2;;;;;2;2;1;2;15;15;890.038.644.691.154
2615564;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;984.841.525.300.398
2615565;1;2;1;80;1;1;1;3;;2;;2;;;;;9;2;1;2;15;15;929.833.555.041.567
2615566;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;2;15;15;891.817.020.602.519
2615567;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;2;47;47;808.386.115.123.921
2615567;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;2;47;47;808.386.115.123.921
2615567;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;2;47;47;808.386.115.123.921
2615569;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;2;47;47;118.377.542.643.264
