DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2615533;1;3;2;1;1;1;1;1;4;3;;;;;400000;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;2;1;2;2;2;;2;1;2;1;4;1;2;1;1;1;4;7;1;1;1;2;73;1;73;215.192.137.044.821
2615534;1;4;3;1;1;1;1;1;3;1;;;180000000;650000;;1;2;1;2;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;2;1;1;4;2;2;;5;1;2;1;4;1;1;1;1;1;4;7;1;1;1;2;73;1;73;221.061.495.150.989
2615535;1;3;2;1;1;1;1;1;3;1;;;30000000;300000;;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;;3;1;1;1;4;1;1;1;1;1;2;3;2;1;1;2;73;1;73;171.672.624.922.913
2615536;1;4;1;1;1;1;1;1;3;3;;;;;250000;2;2;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;73;1;73;170.218.100.228.364
2615537;1;2;1;1;1;1;1;1;3;1;;;50000000;300000;;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;;2;2;;2;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;73;1;73;206.958.500.691.242
2615539;1;2;1;1;1;1;1;1;4;3;;;;;300000;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2;;1;1;2;1;4;1;2;1;1;1;4;7;1;1;1;2;73;1;73;219.152.491.139.823
2615542;1;3;2;1;1;1;1;1;3;3;;;;;300000;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;2;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;73;1;73;170.218.100.228.364
2615543;1;3;2;1;1;1;1;1;3;4;;;;250000;;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2;;4;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;73;1;73;462.371.303.091.715
2615544;1;6;3;1;1;1;1;1;3;1;;;80000000;350000;;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;7;2;2;;7;1;1;1;4;1;1;1;1;1;2;3;1;1;1;2;73;1;73;481.754.328.234.413
2615545;1;5;1;1;1;1;1;1;3;4;;;;200000;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2;;1;1;1;1;2;1;1;1;1;1;1;3;2;1;1;2;73;1;73;338.254.042.536.298
2615546;1;5;3;1;1;1;1;1;3;1;;;19000000;350000;;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;;6;1;1;1;2;1;1;1;1;1;1;3;1;1;1;2;73;1;73;347.962.698.949.235
2615547;1;5;2;1;1;1;1;1;3;1;;;30000000;250000;;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;2;2;2;;2;1;1;1;2;1;1;1;1;1;1;3;1;1;1;2;73;1;73;331.349.315.727.403
2615548;1;3;2;1;2;1;1;1;3;1;;;60000000;300000;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;;3;1;4;1;2;1;1;1;1;1;1;3;1;1;1;2;73;1;73;249.988.982.793.552
2615549;1;5;3;1;1;1;1;1;3;1;;;200000000;450000;;1;1;1;2;1;1;2;2;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;2;2;;5;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;786.499.443.193.213
2615550;1;4;2;1;1;1;1;1;3;3;;;;;370000;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;3;2;2;;3;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;809.570.020.227.203
2615551;1;5;4;1;1;1;1;1;3;1;;;70000000;500000;;2;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;5;2;2;;5;1;1;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;836.082.706.929.527
2615552;1;3;2;1;1;1;1;1;3;1;;;30000000;200000;;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;1;2;2;;2;1;1;1;2;1;1;1;1;1;2;3;1;1;1;2;15;1;15;963.054.836.176.495
2615553;1;5;4;1;1;1;1;1;3;3;;;;;300000;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;3;2;2;;5;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;15;1;15;836.082.706.929.527
2615554;1;4;2;1;1;1;1;1;3;3;;;;;300000;1;1;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;;2;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;729.882.856.902.609
2615555;1;4;3;1;1;1;1;1;3;3;;;;;380000;2;1;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2;;4;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;621.367.039.506.941
2615556;1;4;3;1;1;1;1;1;3;1;;;60000000;400000;;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;5;2;2;;6;1;1;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;969.277.717.390.957
2615557;1;2;1;1;1;1;1;1;3;3;;;;;150000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;;2;1;2;1;4;1;1;1;1;1;2;3;1;1;1;2;15;1;15;890.038.644.691.154
2615558;1;3;1;1;1;1;1;1;3;4;;;;100000;;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2;;1;1;1;1;2;1;1;1;1;1;2;3;1;1;1;2;15;1;15;800.760.600.286.143
2615559;1;4;3;1;1;1;1;1;3;4;;;;400000;;2;1;1;1;1;2;2;2;2;1;1;2;1;2;2;1;1;1;1;2;2;1;3;2;2;;6;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;673.052.803.435.594
2615560;1;4;3;1;1;1;1;1;3;4;;;;400000;;2;1;1;1;1;2;2;2;2;1;1;2;1;2;2;1;1;1;1;1;1;1;2;2;2;;5;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;861.255.784.155.856
2615561;1;4;3;1;1;1;1;1;3;4;;;;300000;;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;2;2;2;;8;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;618.044.833.176.763
2615562;1;4;3;1;1;1;1;1;3;4;;;;350000;;2;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;1;1;4;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;70.562.643.540.129
2615563;1;4;2;1;1;1;1;1;3;4;;;;350000;;2;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;2;2;2;;2;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;890.038.644.691.154
2615564;1;4;2;1;1;1;1;1;3;4;;;;400000;;2;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;;3;1;2;1;4;1;1;1;1;1;3;3;1;1;1;2;15;1;15;984.841.525.300.398
2615565;1;2;1;1;1;1;1;1;4;3;;;;;200000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;;5;1;2;1;2;1;2;1;1;1;2;3;1;1;1;2;15;1;15;929.833.555.041.567
2615566;1;2;1;1;2;1;1;1;4;3;;;;;100000;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;;3;1;1;1;2;1;2;1;1;1;2;3;1;1;1;2;15;1;15;891.817.020.602.519
