DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
718447,1,1,5,95,1,,1,1,,461500,210000,2,2,,,,,,,,,,,,,,,5,750.330.453.474.274
718447,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,750.330.453.474.274
718449,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,845.315.981.724.259
718449,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,845.315.981.724.259
718450,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,106.641.759.653.296
718450,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,106.641.759.653.296
718454,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,553.306.947.674.638
718454,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,553.306.947.674.638
718454,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,553.306.947.674.638
718454,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,553.306.947.674.638
718458,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,953.943.417.262.504
718458,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,953.943.417.262.504
718458,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,953.943.417.262.504
718460,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,13.356.143.363.063
718460,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,13.356.143.363.063
718460,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,13.356.143.363.063
718460,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,13.356.143.363.063
718460,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,13.356.143.363.063
718460,1,6,5,95,2,,,,,,,,1,2,,1,,,70000,200000,,70000,1,1,2,98,1,5,13.356.143.363.063
718462,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,117.467.241.337.041
