DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
718460,1,2,5,70,104,48,1,,2,208,1,,4,2,,,,,,,,,,1,,2,,2,1,19,45,5521,55,5,13.356.143.363.063
718468,1,2,5,70,2,48,1,,2,2,4,,9,1,,,,,,,,,,1,,1,900000,2,1,95,3,7421,74,5,996.277.095.050.822
718481,1,2,5,70,12,48,1,,2,12,1,,2,4,,,,,,,,,,1,,2,,2,1,21,21,9241,92,5,174.386.974.835.456
718484,1,2,5,70,22,48,1,,2,52,1,,6,1,,,,,,,,,,1,,2,,2,1,45,87,2923,29,5,607.876.648.984.122
718500,1,2,5,70,4,48,4,,2,24,4,,4,6,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,872.509.427.482.956
718511,1,3,5,70,22,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,84,,,,5,890.105.869.567.301
718523,1,2,5,70,24,24,4,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,787.561.928.771.885
718530,1,2,5,70,75,48,1,,2,75,4,,9,7,,,,,,,,,,1,,2,,2,1,45,45,6421,64,5,746.232.399.174.211
718535,1,4,5,70,1,48,1,,2,2,4,,9,1,,,,,,,,,,1,,1,650000,2,1,45,44,6421,64,5,885.866.582.123.259
718546,1,2,5,70,150,48,1,,2,150,1,,2,2,,,,,,,,,,1,,2,,2,1,45,45,5232,52,5,869.087.783.906.747
718548,1,1,5,70,6,48,1,,2,6,4,,1,2,,,,,,,,,,1,,2,,2,1,85,85,4521,45,5,710.150.212.854.901
718557,1,2,5,70,4,48,1,,2,4,1,,5,3,,,,,,,,,,1,,1,1500000,2,1,33,33,6421,64,5,854.340.205.837.693
718566,1,2,5,70,12,60,4,,2,12,4,,3,2,,,,,,,,,,1,,2,,2,1,21,21,1810,18,5,90.899.072.682.079
718571,5,2,5,70,3,50,4,,2,3,4,,1,8,,,,,,,,,,1,,1,50000,2,1,54,54,7493,74,5,83.341.139.326.407
718577,1,4,5,70,6,48,1,,2,6,1,,7,1,,,,,,,,,,1,,1,120000,2,1,39,39,6041,60,5,611.677.225.594.244
718577,1,5,5,70,12,48,1,,2,14,1,,5,8,,,,,,,,,,1,,2,,2,1,8,85,4521,45,5,611.677.225.594.244
718601,1,5,5,70,50,48,1,,2,150,1,,3,4,,,,,,,,,,1,,2,,2,1,55,55,7493,74,5,982.595.129.927.935
