DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
718460,1,2,70,104,48,1,,2,208,1,,4,2,,,,,,,,,,1,,2,,2,1,1,19,45,5521,55,5,5,13.356.143.363.063
718468,1,2,70,2,48,1,,2,2,4,,9,1,,,,,,,,,,1,,1,900000,2,1,1,95,3,7421,74,5,5,996.277.095.050.822
718481,1,2,70,12,48,1,,2,12,1,,2,4,,,,,,,,,,1,,2,,2,1,1,21,21,9241,92,5,5,174.386.974.835.456
718484,1,2,70,22,48,1,,2,52,1,,6,1,,,,,,,,,,1,,2,,2,1,1,45,87,2923,29,5,5,607.876.648.984.122
718500,1,2,70,4,48,4,,2,24,4,,4,6,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,872.509.427.482.956
718511,1,3,70,22,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,84,,,,5,5,890.105.869.567.301
718523,1,2,70,24,24,4,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,787.561.928.771.885
718530,1,2,70,75,48,1,,2,75,4,,9,7,,,,,,,,,,1,,2,,2,1,1,45,45,6421,64,5,5,746.232.399.174.211
718535,1,4,70,1,48,1,,2,2,4,,9,1,,,,,,,,,,1,,1,650000,2,1,1,45,44,6421,64,5,5,885.866.582.123.259
718546,1,2,70,150,48,1,,2,150,1,,2,2,,,,,,,,,,1,,2,,2,1,1,45,45,5232,52,5,5,869.087.783.906.747
718548,1,1,70,6,48,1,,2,6,4,,1,2,,,,,,,,,,1,,2,,2,1,1,85,85,4521,45,5,5,710.150.212.854.901
718557,1,2,70,4,48,1,,2,4,1,,5,3,,,,,,,,,,1,,1,1500000,2,1,1,33,33,6421,64,5,5,854.340.205.837.693
718566,1,2,70,12,60,4,,2,12,4,,3,2,,,,,,,,,,1,,2,,2,1,1,21,21,1810,18,5,5,90.899.072.682.079
718571,5,2,70,3,50,4,,2,3,4,,1,8,,,,,,,,,,1,,1,50000,2,1,1,54,54,7493,74,5,5,83.341.139.326.407
718577,1,4,70,6,48,1,,2,6,1,,7,1,,,,,,,,,,1,,1,120000,2,1,1,39,39,6041,60,5,5,611.677.225.594.244
718577,1,5,70,12,48,1,,2,14,1,,5,8,,,,,,,,,,1,,2,,2,1,1,8,85,4521,45,5,5,611.677.225.594.244
718601,1,5,70,50,48,1,,2,150,1,,3,4,,,,,,,,,,1,,2,,2,1,1,55,55,7493,74,5,5,982.595.129.927.935
718603,1,3,70,28,48,1,,2,30,4,,2,4,,,,,,,,,,1,,2,,2,1,1,32,13,8532,85,5,5,929.304.744.530.606
718603,1,7,70,24,48,1,,2,24,4,,2,2,,,,,,,,,,1,,2,,2,1,1,34,94,3699,36,5,5,929.304.744.530.606
718605,1,4,70,50,48,1,,2,120,1,,2,1,,,,,,,,,,1,,2,,2,1,1,58,58,7020,70,5,5,103.021.152.335.129
718607,1,3,70,20,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,34,,,,5,5,953.943.417.262.504
718611,1,1,70,16,48,4,,2,16,4,,1,2,,,,,,,,,,1,,2,,2,1,1,45,45,5040,50,5,5,995.321.763.001.746
718611,1,2,70,50,48,1,,2,200,1,,5,4,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,5,5,995.321.763.001.746
718617,1,5,70,24,48,1,,2,24,1,,4,1,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,5,5,138.176.411.170.357
718632,1,1,70,2,48,1,,2,2,4,,1,4,,,,,,,,,,1,,2,,2,1,1,45,45,5529,55,5,5,826.766.405.309.353
718640,1,3,70,96,48,1,,2,132,1,,4,1,,,,,,,,,,1,,2,,2,1,1,55,55,1810,18,5,5,100.106.541.189.293
718654,1,2,70,8,48,1,,2,8,1,,4,2,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,984.286.613.676.417
718675,1,4,70,24,48,1,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,5,5,659.115.619.254.526
718681,1,2,70,48,48,3,,2,96,4,,3,2,,,,,,,,,,1,,2,,2,1,1,54,57,9302,93,5,5,746.401.987.484.558
718681,1,3,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,5,746.401.987.484.558
718698,1,2,70,96,48,1,,2,96,1,,3,1,,,,,,,,,,1,,2,,2,1,1,45,16,9214,92,5,5,707.920.995.248.457
718701,1,1,70,96,48,1,,2,336,1,,2,1,,,,,,,,,1,,LA  PENSION,2,,2,1,1,98,40,5211,52,5,5,117.444.754.764.801
718701,1,3,70,60,48,1,,2,24,1,,3,1,,,,,,,,,,1,,2,,2,1,1,53,45,5239,52,5,5,117.444.754.764.801
718707,1,3,70,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,5,872.679.015.793.303
718709,1,4,70,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,5,698.902.426.005.479
718710,1,3,70,2,48,1,,2,24,1,,2,2,,,,,,,,,,1,,2,,2,1,1,85,85,0,0,5,5,953.943.417.262.504
718719,1,3,70,2,48,1,,2,4,1,,8,4,,,,,,,,,,1,,1,650000,2,1,1,32,32,5235,52,5,5,950.352.185.375.948
718723,1,1,70,12,48,1,,2,12,1,,9,3,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,712.250.750.134.806
718723,1,3,70,20,48,1,,2,20,1,,9,2,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,5,5,712.250.750.134.806
718727,1,1,70,5,48,1,,2,6,1,,4,2,,,,,,,,,,1,,2,,2,1,1,98,84,5170,51,5,5,114.039.882.485.919
718757,1,2,70,8,48,4,,2,160,4,,1,2,,,,,,,,,,1,,2,,2,1,1,54,54,7493,74,5,5,915.237.559.304.012
718759,1,1,70,8,48,1,,2,8,4,,4,1,,,,,,,,,,1,,2,,2,1,1,79,79,1750,17,5,5,665.362.451.737.748
718768,1,3,70,20,24,4,,2,106,4,,2,2,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,115.626.368.593.765
718772,1,4,70,16,24,1,,2,32,4,,4,1,,,,,,,,,,1,,2,,2,1,1,32,57,9302,93,5,5,588.886.367.110.654
718777,1,1,70,2,48,1,,2,2,1,,6,1,,,,,,,,,,1,,1,680000,2,1,1,55,95,4530,45,5,5,906.218.990.061.034
718781,1,1,70,1,48,4,,2,32,4,,1,2,,,,,,,,,,1,,2,,2,1,1,98,98,6031,60,5,5,941.728.070.165.708
718783,1,3,70,1,48,1,,2,18,1,,4,1,,,,,,,,,,1,,2,,2,1,1,39,58,7020,70,5,5,71.366.464.413.964
718785,1,1,70,4,48,1,,2,4,1,,7,7,,,,,,,,,,1,,2,,2,1,1,97,97,7495,74,5,5,776.745.183.898.472
718785,1,2,70,48,48,4,,2,480,4,,1,4,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,5,5,776.745.183.898.472
718792,1,1,70,5,48,4,,2,5,4,,2,1,,,,,,,,,,1,,2,,2,1,1,95,95,4521,45,5,5,953.943.417.262.504
718793,1,2,70,48,48,1,,2,96,3,,1,2,,,,,,,,,,1,,2,,2,1,1,55,54,9500,95,5,5,945.149.713.741.917
718793,1,3,70,4,48,4,,2,32,4,,2,2,,,,,,,,,,1,,2,,2,1,1,95,77,1551,15,5,5,945.149.713.741.917
718801,1,2,70,2,48,1,,2,2,5,,2,2,,,,,,,,,,1,,1,200000,2,1,1,32,51,5521,55,5,5,106.437.081.737.415
718803,1,2,70,24,48,1,,2,24,1,,8,2,,,,,,,,,,1,,1,350000,2,1,1,21,0,0,0,5,5,661.771.219.851.192
