DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;P5070;DPTO;ORDEN;fex_c_2011
676573;5;1;4;2;3;1;1;1;3;1;;;80000000;250000;;1;2;2;1;1;1;2;2;2;2;1;2;2;1;2;2;2;1;1;1;2;1;2;1;2;1;1;2;1;1;3;2;1;1;1;5;1;671.457.280.561.973
676574;5;1;3;1;3;1;1;1;3;6;VIVIENDA  FAMILIAR;;;160000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;1;2;1;1;3;2;1;1;1;5;1;824.543.668.681.635
676576;5;1;1;1;3;1;1;1;3;3;;;;;140000;1;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;2;1;1;3;2;1;1;1;5;1;720.567.282.963.594
676578;5;1;4;3;3;1;1;1;4;1;;;8000000;120000;;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;1;1;5;1;719.976.970.360.051
676579;5;1;4;3;3;1;1;1;1;3;;;;;240000;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;1;2;1;1;3;2;1;1;3;5;1;881.664.307.373.023
676580;5;1;3;2;1;1;1;1;4;1;;;22000000;100000;;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;9.111.918.760.982
676581;5;1;3;2;1;1;1;1;1;1;;;30000000;100000;;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;713.751.364.220.745
676583;5;1;4;3;1;1;1;1;3;1;;;200000000;260000;;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;1;5;1;203.215.155.334.485
676584;5;1;4;3;1;1;1;1;3;1;;;25000000;170000;;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;1;5;1;144.852.716.720.163
676585;5;1;3;2;1;1;1;1;4;1;;;2500000;140000;;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;17.460.376.358.523
676586;5;1;3;2;1;1;1;1;4;3;;;;;200000;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;145.392.071.055.334
676587;5;1;4;3;1;1;1;1;4;3;;;;;150000;1;1;2;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;863.568.269.624.437
676588;5;1;4;2;1;1;1;1;4;1;;;40000000;100000;;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;61.300.665.165.564
676589;5;1;3;2;3;1;1;1;4;2;;100000;10000000;120000;;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;1;1;5;1;781.924.271.171.488
676590;5;1;2;1;3;1;1;1;1;3;;;;;120000;1;2;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;1;1;5;1;994.133.238.661.891
676591;5;1;1;1;3;1;1;1;4;3;;;;;100000;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;1;2;5;1;817.863.741.771.452
676593;5;1;5;2;1;1;1;1;3;1;;;40000000;300000;;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;1;1;5;1;713.751.364.220.745
676594;5;1;2;1;1;1;1;1;4;1;;;6000000;120000;;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;1;5;1;766.115.006.940.239
676595;5;1;3;1;1;1;1;1;4;1;;;2500000;200000;;1;1;2;1;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;774.066.896.046.623
676596;5;1;2;1;1;1;1;1;1;4;;;;150000;;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;76.553.588.774.281
676599;5;1;2;1;1;1;1;1;3;3;;;;;200000;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;1;1;5;1;951.830.695.128.945
676600;5;1;2;1;1;1;1;1;1;3;;;;;180000;1;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;685.647.357.670.258
676601;5;1;2;1;1;1;1;1;1;3;;;;;120000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;1;1;5;1;830.332.403.518.547
676603;5;1;3;1;1;1;1;1;3;1;;;15000000;250000;;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;1;1;5;1;643.019.675.974.978
676604;5;1;3;2;1;1;1;1;1;4;;;;150000;;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;1;1;5;1;69.548.914.831.648
676605;5;1;2;2;1;1;1;1;1;3;;;;;1250000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;653.328.804.019.573
676606;5;1;6;4;1;1;1;1;1;3;;;;;180000;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;1;1;5;1;611.274.289.344.673
676607;5;1;4;3;1;1;1;1;3;3;;;;;250000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;1;2;1;1;1;5;1;147.075.102.263.345
676608;5;1;3;2;1;1;1;1;4;3;;;;;160000;1;2;2;2;1;1;2;2;1;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;159.271.270.021.876
676609;5;1;2;1;1;1;1;1;1;3;;;;;150000;1;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;142.905.097.439.676
676610;5;1;3;3;1;1;1;1;4;3;;;;;280000;1;1;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;5;1;227.154.618.434.397
676611;5;1;1;1;1;1;1;1;4;4;;;;120000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;3;5;1;858.305.783.409.063
676612;5;1;3;2;3;1;1;1;4;1;;;6000000;150000;;1;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;3;1;2;2;1;1;1;2;1;1;1;5;1;804.103.948.756.595
676613;5;1;4;2;1;1;1;1;3;1;;;25000000;200000;;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;1;1;1;5;1;816.145.439.112.156
676614;5;1;4;3;1;1;1;1;3;3;;;;;250000;1;1;2;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;1;1;5;1;383.444.564.958.938
676617;5;1;4;2;1;1;1;1;4;3;;;;;130000;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;1;5;1;79.023.015.853.266
