DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
682256,1,2,70,8,48,3,,2,8,3,,2,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,25,284.912.550.619.857
682258,1,3,70,12,16,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,25,552.087.705.540.958
692947,1,4,70,3,49,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,18,929.045.249.320.908
697626,1,5,70,2,50,1,,2,18,2,,9,5,,,,,,,,,,1,,2,,2,2,1,58,58,7522,75,63,16.275.079.164.628
697671,1,3,70,4,48,1,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,2,1,45,53,5529,55,63,169.455.355.692.073
697673,1,1,70,4,48,1,,2,4,4,,1,4,,,,,,,,,,1,,1,30000,2,2,1,84,84,5020,50,63,156.673.264.843.415
697678,1,2,70,4,40,1,,2,4,4,,1,1,,,,,,,,,,1,,1,30000,2,2,1,55,77,1551,15,63,107.453.106.947.587
697680,1,2,70,58,48,1,,2,58,1,,5,6,,,,,,,,,,1,,2,,1,2,1,45,55,8532,85,63,177.932.793.555.208
697696,1,1,70,6,85,4,,2,6,4,,1,1,,,,,,,,,,1,,2,,2,2,1,41,41,5211,52,63,103.998.944.787.995
697697,1,2,70,24,40,1,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,2,1,45,53,5529,55,63,956.613.065.656
697709,1,6,70,24,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,5,,,,63,131.348.121.975.966
697925,1,5,70,1,48,1,,2,12,1,,8,7,,,,,,,,,,1,,2,,2,2,1,58,77,1530,15,66,497.410.791.255.895
697953,1,1,70,28,48,1,,2,28,1,,3,1,,,,1,,,,,1,,Y,2,,2,2,1,58,43,3611,36,66,843.609.233.300.208
697953,1,2,70,24,48,1,,2,432,1,,4,1,,,,,,,,,,1,,2,,2,2,1,45,37,5030,50,66,843.609.233.300.208
697953,2,1,70,48,48,4,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,2,1,41,41,5219,52,66,843.609.233.300.208
698653,1,6,70,80,48,3,,2,100,3,,2,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,15,146.788.835.373.968
698709,1,2,70,16,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,15,149.823.887.942.076
698735,1,4,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,59,,,,15,120.568.322.097.862
698810,1,4,70,4,48,1,,2,4,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5231,52,15,140.717.481.363.017
698830,1,2,70,12,48,1,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5235,52,15,120.568.322.097.862
698830,1,5,70,20,48,1,,2,20,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5233,52,15,120.568.322.097.862
698860,1,9,70,24,50,3,,2,24,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,15,120.568.322.097.862
698876,1,3,70,2,48,1,,2,2,1,,3,1,,,,,,,,,,1,,1,400000,2,2,1,95,95,4521,45,15,190.777.883.085.597
698876,1,4,70,4,48,3,,2,4,3,,1,1,,,,,,,,,,1,,1,300000,2,2,1,54,54,9500,95,15,190.777.883.085.597
698921,1,3,70,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,84,,,,15,140.398.412.996.141
698953,1,6,70,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,15,222.683.053.897.354
699013,1,3,70,32,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,98,,,,15,283.425.527.753.904
701103,1,1,70,8,48,4,,2,16,4,,1,1,,,,,,,,,,1,,2,,2,2,1,62,62,121,1,63,127.243.883.919.067
701127,2,2,70,20,70,3,,2,28,4,,1,1,,,,,,,,,,1,,2,,2,2,1,54,53,5521,55,63,992.784.952.226.347
701127,2,3,70,104,60,1,,2,52,4,,1,1,,,,,,,,,,1,,2,,2,2,1,53,53,5521,55,63,992.784.952.226.347
701147,1,4,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,60,,,,63,990.361.557.839.391
701157,1,1,70,36,60,4,,2,36,4,,1,1,,,1,,,,,,,,,2,,2,2,1,83,83,2893,28,63,154.461.295.237.295
701176,1,3,70,48,24,4,,2,48,4,,1,1,,,,,,,,,,1,,2,,2,2,1,39,45,5233,52,63,109.687.594.658.493
701176,1,4,70,2,48,1,,2,16,4,,1,1,,,,,,,,,,1,,2,,2,2,1,45,45,5233,52,63,109.687.594.658.493
701208,1,3,70,3,56,1,,2,6,1,,4,8,,,,,,,,,,1,,2,,2,2,1,77,77,1551,15,63,117.464.742.165.092
703747,1,3,70,48,56,2,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,13,,,,13,27.724.390.640.043
703765,1,3,70,4,56,3,,2,8,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,13,391.006.892.997.497
703945,1,3,70,12,50,2,,2,6,4,,1,1,,,,,,,,,,1,,2,,2,2,1,55,95,4521,45,13,107.825.005.798.715
704733,1,2,70,2,48,4,,2,2,4,,1,1,,,,,,,,,,1,,1,25000,2,2,1,62,62,140,1,19,151.697.944.662.794
704746,2,1,70,4,48,4,,2,4,4,,2,6,,,,,,,,,,1,,2,,2,2,1,95,95,4521,45,19,135.990.017.121.092
704758,1,1,70,3,48,8,,2,3,4,,1,1,,,,,,,,,,1,,1,180000,2,2,1,62,62,140,1,19,186.810.097.474.506
704775,1,1,70,40,48,8,,2,45,4,,1,1,,,,,,,,,,1,,2,,2,2,1,62,62,140,1,19,842.268.255.691.382
704831,1,2,70,3,40,1,,2,4,1,,2,1,,,,,,,,,,1,,1,40000,2,2,1,62,62,140,1,19,157.643.088.092.911
704881,1,3,70,78,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,33,,,,19,14.301.693.498.291
704910,1,2,70,3,20,4,,2,260,4,,1,1,,,,,,1,,,,,,2,,2,2,1,41,53,5521,55,19,352.323.437.341.585
