DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6910,P6910S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P6420S1,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,CLASE,OCI,RAMA4D,OFICIO,RAMA2D,RAMA4DP8,RAMA2DP8,DPTO,fex_c_2011
677496,1,1,60,2,,,,,,,,,,4,1,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,6,51,,.,51,,,1,7,17,1,7,12,2,,,3,9,,,,2,,,,1,,,,,,,,1,,2,1,2,1,,2,,,,,,4,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,2,3,3,,2,1,4521,95,45,,,25,512.585.621.753.567
677496,1,2,60,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,32000,1,128000,1,,4,50,,.,50,,,1,7,17,2,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,,2,2,2,2,3,2,2,2,3,3,,2,1,8532,54,85,,,25,512.585.621.753.567
682255,1,1,60,2,,,,,,,,,,520,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,250000,1,3000000,3,,12,20,2,,20,,,2,,,,,,,,,1,2,,,,1,2,2,10,1,1,,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,9301,56,93,,,25,632.253.727.061.094
682255,1,2,60,1,2,2,6,1,1,,2,2,2,0,1,,6,,346125,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,0,54,,.,45,2,,1,7,17,2,,,,,,7,7,,,,2,,,,1,,,,,,,,1,,1,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,8,,2,1,5020,84,50,,,25,632.253.727.061.094
682255,1,3,60,2,,,,,,,,,,72,1,,2,,461500,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,1,,216000,216000,216000,2,1,1,2,,,,,,,,,,,12,48,,.,40,2,,1,8,17,2,,,,,,5,7,,,,1,2,1,6,1,1,,,,,,,,,1,1,360,4,,2,,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,9191,95,91,,,25,632.253.727.061.094
682256,1,1,60,2,,,,,,,,,,1,1,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,11,54,,.,54,,,1,7,17,2,,,,,,2,2,,,,2,,,,1,,,,,,,,1,,2,1,4,1,,2,,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,1,1,2,1,2,2,2,2,1,2,2,,1,1,,3,3,2,3,3,3,2,1,3,8,,2,1,4521,95,45,,,25,284.912.550.619.857
682258,1,1,60,2,,,,,,,,,,300,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,800000,1,6000000,1,,12,60,,.,30,6,,1,7,17,2,,,,,,1,9,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,1,2,2,2,1,1,2,,2,1,,2,2,2,2,3,2,2,3,3,9,,2,1,4521,95,45,,,25,552.087.705.540.958
682258,1,2,60,2,,,,,,,,,,60,3,,1,,80000,2,,,1,32000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,8,2,,8,,,1,8,16,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,,99,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,10,2,1,1,1,1,1,2,1,2,2,2,2,1,NO TIENE PRESTACIONES,2,1,,2,2,2,3,3,2,2,2,3,3,,2,1,9500,54,95,,,25,552.087.705.540.958
682258,1,6,60,2,,,,,,,,,,72,1,,1,,800000,2,,,2,,2,,2,,2,,,55000,,,,1,,1,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,7,17,1,7,12,2,,,4,9,,,,1,1,1,3,1,1,,,,,,,,,1,1,36,1,,2,,,,,,2,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,1,12,2,1,1,1,2,1,2,2,2,2,1,2,2,,2,1,,2,2,2,3,3,2,2,3,3,3,,2,1,4521,95,45,,,25,552.087.705.540.958
682271,1,1,60,2,,,,,,,,,,3,1,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,45,,.,45,,,1,7,16,1,7,12,2,,,5,9,,,,2,,,,1,,,,,,,,1,,2,1,12,1,,2,,,,,,2,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,3,2,3,3,2,2,2,3,8,,2,1,4521,95,45,,,25,570.744.859.048.533
