DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4755779;1;3;1;70;1;32;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;55;74;1;2;11;7493;05;1149,84267247721;05
4755789;1;3;1;70;1;4;24;1; ;2;32;4; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;781242;2; ;37;03;75;1;1;11;7512;05;984,243316397459;05
4755790;1;1;1;70;1;20;48;4; ;2;16;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;25000;781242;2; ;79;77;55;1;2;11;5529;05;914,491882653892;05
4755790;1;3;1;70;1;40;48;1; ;2;4;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;22500;781242;2; ;45;58;75;1;2;11;7512;05;914,491882653892;05
4755791;1;2;1;70;1;4;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;1;11;4521;05;1142,49719662895;05
4755798;1;1;1;70;1;36;48;1; ;2;104;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;2;11;8043;05;839,602136950498;05
4755799;1;3;1;70;1;16;48;1; ;2;16;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;03;59;01;1;2;11;0140;05;758,843530310314;05
4755838;1;3;1;70;1;4;60;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;95;45;1;1;11;4552;05;1030,698898719;05
4755845;1;1;1;70;1;8;48;1; ;2;12;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;02;24;1;1;11;2411;05;1126,88492383468;05
4755855;1;3;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;03; ; ;1;1;11; ;08;571,454024747676;08
4755858;1;1;1;70;1;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;45;40;52;1;2;11;5236;08;511,497971798822;08
