DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,fex_c_2011
617189,1,1,1,3,2,4,2,1,1,,,2000000,20000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,4,1,2,2,2,1,1,,2,1,2,1,25,1,760.143.787.732.586
617189,2,1,1,3,2,4,2,1,4,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,2,,25,1,760.143.787.732.586
617189,3,1,1,3,2,4,2,4,4,,,,30000,,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,3,,,,,,,,,,,2,1,2,,25,1,760.143.787.732.586
617190,1,2,2,3,1,4,6,5,3,,,,,50000,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,,,1,2,1,25,1,910.530.077.891.024
617194,1,2,2,2,1,4,6,5,1,,,4000000,50000,,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,3,3,1,2,2,2,2,2,,,1,2,1,25,1,67.814.498.075.783
617195,1,3,1,2,1,4,1,5,2,,200000,10000000,200000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,609.112.804.673.875
617196,1,3,2,2,1,4,6,4,1,,,5000000,80000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,25,1,755.133.992.412.878
617230,1,3,2,6,,4,2,5,6,LA ESTAN PAGANDO SIN ESCRITURA,,,50000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,2,1,2,1,2,2,0,,,1,2,4,25,1,60.286.463.615.243
617231,1,1,1,6,,4,2,5,5,,,,80000,,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,5,1,1,2,2,2,2,0,,,1,2,1,25,1,634.917.851.964.556
617232,1,2,2,4,1,4,2,5,5,,,,150000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,1,2,2,2,2,2,,,,1,2,3,25,1,683.454.219.333.321
