DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5135945;1;1;1;70; ;2;2;60;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;900000;2; ;10;97;97;1;1;02;1051;68;2850,06084288171
5135946;1;3;1;70; ;2;2;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ; ;45; ;1;1;02;.;68;1565,0781976311
5135947;1;2;1;70; ;2;4;60;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;480000;500000;2; ;56;45;45;1;1;02;5611;68;1303,56503507788
5137241;1;1;1;70; ;2;6;60;4; ;2;6;4; ;2;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;900000;2; ;55;55;55;1;1;02;5511;44;1487,37001728184
5137244;1;1;1;70; ;2;28;48;3; ;2;29;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;01;54;62;1;2;02;0126;44;1154,80170248505
5140337;1;3;1;70; ;2;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;96;57;57;1;1;02;9602;23;1387,58584679606
5140345;1;1;1;70; ;2;24;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;43;95;95;1;2;02;4330;23;2050,62446250489
5140348;1;1;1;70; ;2;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;01;95;61;1;1;02;0161;23;1981,81902709606
5140358;1;2;1;70; ;2;26;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;2;02;5611;23;1659,78940989617
5140375;1;3;1;70; ;2;6;60;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;58; ;1;1;02;.;23;2504,55921639465
