DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4229054;1;2;1;70;05;40;48;1; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;71;13;1;2;1320;01;05;1157,42467409427
4229071;1;2;1;70;05;4;48;3; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;95000;55;55;74;1;1;7493;01;05;1077,04030241637
4229071;1;3;1;70;05;3;50;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;95;95;45;1;1;4522;01;05;1077,04030241637
4229077;1;1;1;70;08;16;60;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;55;1;2;5519;01;08;481,661269104179
4229081;1;4;1;70;08;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;72;1;1;7250;01;08;550,455767780905
4229085;1;3;1;70;08;44;48;1; ;2;44;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8512;01;08;576,519359288894
4229087;1;3;1;70;08;4;48;4; ;2;4;4; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;1;1200000;19;19;75;1;1;7512;01;08;604,286474052201
4229095;1;2;1;70;08;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;53;77;55;1;1;5529;01;08;577,145008152694
4229098;1;1;1;70;11;4;48;1; ;2;4;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8042;01;11;3368,1716883833
4229098;1;2;1;70;11;4;48;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;39;39;80;1;1;8050;01;11;3368,1716883833
4229107;1;1;1;70;13;4;48;1; ;2;4;1; ;7;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;13;13;80;1;1;8042;01;13;363,598676122009
4229112;1;2;1;70;13;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8011;01;13;317,44072204303
4229241;1;1;1;70;17;4;48;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;83;83;45;1;1;4559;01;17;211,504270089565
4229252;1;1;1;70;17;36;48;1; ;2;36;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;38;45;52;1;2;5244;01;17;246,659514458472
4229262;1;1;1;70;17;4;72;4; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;95;95;45;1;1;4521;01;17;159,439834524082
4229267;1;1;1;70;17;2;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;45;38;64;1;1;6421;01;17;169,440519228162
4229267;1;2;1;70;17;1;48;1; ;2;1;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1100000;38;38;64;1;1;6421;01;17;169,440519228162
4229268;1;3;1;70;17;6;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;01; ; ;1;1; ;01;17;218,903557117022
4229304;1;2;1;70;17;48;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5233;01;17;191,447473406592
4229310;1;1;1;70;17;12;48;1; ;2;12;1; ;7;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;17;181,524677063937
4229311;1;2;1;70;17;8;20;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;59;85;1;1;8520;01;17;217,434132707396
4229498;1;2;1;70;23;10;48;2; ;2;96;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8041;01;23;154,933687942303
4229507;1;2;1;70;23;7;48;1; ;2;15;1; ;4;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;32;45;52;1;1;5232;01;23;188,130729044034
4229508;1;1;1;70;23;2;48;3; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;54;54;95;1;1;9500;01;23;232,723341815669
4229508;1;2;1;70;23;8;48;1; ;2;9;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;23;232,723341815669
4229517;1;1;1;70;23;26;48;1; ;2;340;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;45;52;1;2;5235;01;23;202,368303370398
4229517;1;2;1;70;23;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;23;202,368303370398
4229522;1;2;1;70;23;18;24;1; ;2;52;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;2;9500;01;23;191,412460983374
4229525;1;3;1;70;23;8;48;3; ;2;10;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;01;23;79,101043142691
4229529;1;3;1;70;23;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;01;23;211,813770694322
4229537;1;1;1;70;23;3;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;95;95;45;1;1;4521;01;23;189,764928215573
4229539;1;4;1;70;23;25;40;1; ;2;12;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;11;11;74;1;2;7412;01;23;111,027977128324
4229539;1;5;1;70;23;50;40;1; ;2;52;1; ;9;2;4; ; ; ; ; ; ; ; ;1;ESTUDIANDO; ;2; ;39;39;15;1;2;1594;01;23;111,027977128324
4229541;1;1;1;70;23;6;40;1; ;2;7;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8043;01;23;150,26807395634
4229541;1;2;1;70;23;4;40;2; ;2;5;4; ;9;2;1; ; ;1; ;1; ; ; ; ; ; ;1;1500000;19;19;75;1;1;7513;01;23;150,26807395634
4229543;1;1;1;70;23;4;40;1; ;2;2;1; ;9;2;6; ; ;1; ; ; ; ; ; ; ; ;1;689454;55;55;85;1;1;8532;01;23;167,742752929347
4229543;1;2;1;70;23;2;40;1; ;2;2;1; ;9;2;4; ; ;1; ; ; ; ; ; ; ; ;1;689454;13;13;85;1;1;8532;01;23;167,742752929347
4229558;1;1;1;70;23;2;40;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;32;45;64;1;1;6421;01;23;167,742752929347
4229691;1;3;1;70;50;12;48;1; ;2;12;2; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;05;05;01;1;1;0115;01;50;183,69383565287
4229695;1;1;1;70;50;52;48;4; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;84;50;1;2;5020;01;50;241,924733368782
4229702;1;2;1;70;50;2;48;1; ;2;5;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;59;59;85;1;1;8511;01;50;441,400455073977
4229703;1;3;1;70;50;12;40;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;93;50;1;1;5020;01;50;315,084538641425
