Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3507809;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;1;07;47;113,277908746178;47
3507809;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;113,277908746178;47
3507810;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;103,536736570525;47
3507810;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;07;47;103,536736570525;47
3507811;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;07;47;112,021895721288;47
3507812;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;07;47;143,95644769147;47
3507812;1;2;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;14; ; ; ; ; ; ;1;07;47;143,95644769147;47
3507813;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;07;47;108,831140898554;47
3507813;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;108,831140898554;47
3507814;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;07;47;237,740216561229;47
3507814;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;07;47;237,740216561229;47
3507814;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;48; ; ; ; ; ; ;1;07;47;237,740216561229;47
3507815;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;07;47;132,85337881339;47
3507816;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;171,758271836435;47
3507816;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;07;47;171,758271836435;47
3507816;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;171,758271836435;47
3507816;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;171,758271836435;47
3507817;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;169,246245786657;47
3507817;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;169,246245786657;47
3507818;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;07;47;240,640220267621;47
3507818;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;240,640220267621;47
3507818;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;240,640220267621;47
3507818;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;240,640220267621;47
