DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927780;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;147,550564102269
3927781;1;1;1;95;1;2;1; ;689455; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;167,441524809728
3927781;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;167,441524809728
3927782;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;6000000;2;1;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;166,204067047745
3927783;1;1;1;95;2; ; ; ; ; ; ;1;2;1; ;187000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;200,020392236648
3927784;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;243,178977016181
3927785;1;1;1;95;2; ; ; ; ; ; ;1;1;2; ; ; ;900000;6000000;2;1;2; ;2; ; ;1;900000; ; ; ;17;02; ; ; ; ;1;900000; ; ; ;17;166,204067047745
3927786;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;132,501736325336
3927786;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;132,501736325336
3927787;1;1;1;95;2; ; ; ; ; ; ;1;2;2;7200000; ; ; ; ;2;2;1; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;157,907574512064
