DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
3203013;1;3;1;70;1;4;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;33;90;1;1;9000;05;47;163,793700648191;47
3203015;1;1;1;70;1;25;48;1; ;2;60;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7524;05;47;183,008820200782;47
3203016;1;3;1;70;1;25;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;00; ; ;1;2; ;05;47;116,531869435075;47
3203016;1;4;1;70;1;102;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;05;47;116,531869435075;47
3203020;1;2;1;70;1;12;48;1; ;2;192;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;52;1;1;5261;05;47;211,086769135418;47
3203021;1;2;1;70;1;40;30;1; ;2;40;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;83;28;1;2;2893;05;47;165,372178912336;47
3203024;1;3;1;70;1;20;40;1; ;2;20;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;97;10;1;2;1010;05;47;189,117728546987;47
3203025;1;3;1;70;1;36;40;1; ;2;36;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;05;47;117,02925240175;47
3203030;1;1;1;70;1;70;48;4; ;2;70;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;55;1;2;5511;05;47;185,585666420851;47
3203034;1;1;1;70;1;4;24;4; ;2;4;4; ;1;2; ; ; ;1; ; ; ; ; ; ; ;1;300000;2;79;79;52;1;1;5271;05;63;128,122500279855;63
3203049;1;2;1;70;1;1;48;1; ;2;1;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;37;37;67;1;1;6715;05;18;41,400097395661;18
3203051;1;1;1;70;1;8;28;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;1; ;05;18;93,1444837525418;18
3203058;1;2;1;70;1;4;48;3; ;2;5;3; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;05;63;102,868197216442;63
3203065;1;3;1;70;1;6;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5239;05;63;139,048492351192;63
3203067;1;2;1;70;1;4;24;1; ;2;384;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5244;05;63;162,250070655791;63
3203069;1;3;1;70;1;3;48;1; ;2;20;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;80;1;1;8050;05;63;73,0590377022201;63
3203102;1;3;1;70;1;48;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;05;63;142,653153054845;63
3203107;1;1;1;70;1;2;50;1; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4530;05;63;110,333734923301;63
3203112;1;2;1;70;1;6;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;05;63;140,199471064655;63
3203127;1;2;1;70;1;12;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;11; ; ;1;1; ;05;15;45,147132735756;15
3203129;1;5;1;70;1;4;48;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;06;40;52;1;1;5231;05;15;121,361219714753;15
3203136;1;2;1;70;1;9;40;1; ;2;9;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;30;75;1;1;7513;05;15;54,0505107283419;15
3203137;1;2;1;70;1;4;40;1; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;36;92;21;1;1;2109;05;15;67,4842856768125;15
3203142;1;2;1;70;1;4;16;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;05;15;41,1701520912552;15
