DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;DPTO;fex_c_2011
2533014;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1319,87512286031
2533014;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1319,87512286031
2533015;1;1;1;50;2; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1401,8052479217
2533016;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1275,29928448174
2533016;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1275,29928448174
2533017;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1163,18774212038
2533017;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1163,18774212038
2533017;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1163,18774212038
2533017;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1163,18774212038
2533018;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1330,87512205158
2533018;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;10;17;1330,87512205158
2533018;1;3;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1330,87512205158
2533018;1;4;1;50;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1330,87512205158
2533018;1;5;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1330,87512205158
2533019;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1144,60523260136
2533019;1;2;1;50;2;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;2;10;17;1144,60523260136
2533020;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1118,90255930901
2533020;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;10;17;1118,90255930901
2533021;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1237,82601242122
2533021;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1237,82601242122
2533022;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1539,4491072053
2533022;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1539,4491072053
2533022;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;17;1539,4491072053
2533023;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1497,18556501098
2533023;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1497,18556501098
2533023;1;3;1;50;2; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;17;1497,18556501098
