DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2533014;1;2;1;2;1;4;1;1;4;1; ; ;15000000;100000; ;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;1;01;2;10;17;1;1319,87512286031
2533015;1;3;1;2;1;5;1;1;4;1; ; ;12000000;100000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;1;1;1;1;4;1;2;2;2;1;1; ;1;01;2;10;17;1;1401,8052479217
2533016;1;3;2;2;1;5;1;1;4;4; ; ; ;120000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;1;01;2;10;17;1;1275,29928448174
2533017;1;2;2;2;1;4;1;1;5;1; ; ;13000000;100000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;4;2;2; ;4;1;1;4;3;1;2;2;2;1;1; ;1;01;2;10;17;1;1163,18774212038
2533018;1;2;2;2;1;4;1;1;5;4; ; ; ;25000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;3;2;2; ;5;1;1;1;3;1;2;2;2;1;1; ;1;01;2;10;17;1;1330,87512205158
2533019;1;4;2;2;1;4;1;1;5;1; ; ;40000000;300000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;4;3;1;2;2;2;1;1; ;1;01;2;10;17;1;1144,60523260136
2533020;1;4;1;2;1;3;1;1;4;1; ; ;10000000;60000; ;1;2;1;2;1;1;2;2;2;1;1;2;2;2;1;2;1;1;1;1;2;1;2;2;2; ;2;1;1;4;3;1;2;2;2;1;1; ;1;01;2;10;17;1;1118,90255930901
2533021;1;2;2;2;1;4;1;6; ;4; ; ; ;60000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;10;17;1;1237,82601242122
2533022;1;2;2;2;1;4;1;2;5;4; ; ; ;30000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;3;1;1;4;3;1;2;2;2;1;1; ;1;01;2;10;17;1;1539,4491072053
2533023;1;4;2;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;1; ;1;01;2;10;17;1;1497,18556501098
