DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2531350;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;73;73;186,571619171641
2531351;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;496,638043851202
2531353;1;2;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;10;73;73;357,148598273643
2531353;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;357,148598273643
2531353;1;4;1;80;1;1;4;7; ;2; ;2; ; ;2; ;9;1;1;10;73;73;357,148598273643
2531354;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;10;73;73;198,684779559524
2531355;1;1;1;80;1;1;2;9;EL ESPOSO NO LA DEJA TRABAJAR;2; ;2; ; ; ;EL ESPOSO NO LA DEJA TRABAJAR;12;2;1;10;73;73;311,613848552205
2531367;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;10;73;73;290,863133622164
2531370;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;8;2;1;10;73;73;446,739049402909
2531370;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;8;2;1;10;73;73;446,739049402909
2531372;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;10;73;73;229,750827195236
2531372;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;10;73;73;229,750827195236
2531372;1;3;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;10;73;73;229,750827195236
2531378;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;496,638043851202
2531380;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;204,079849041256
2531381;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;10;73;73;254,997228436128
2531381;1;4;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;10;73;73;254,997228436128
2531381;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;254,997228436128
2531382;1;3;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;10;73;73;248,587216669576
2531382;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;73;73;248,587216669576
2531385;1;1;1;80;1;1;3;4; ;3; ;2; ; ; ; ;4;2;1;10;73;73;146,032863958617
2531385;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;73;73;146,032863958617
2531385;1;5;1;80;1;1;2;8; ;2; ;2; ; ; ; ;2;2;1;10;73;73;146,032863958617
2531388;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;18;18;55,5961063717838
2531388;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;18;18;55,5961063717838
2531389;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;10;68;68;888,519640620463
2531392;2;1;2;80;1;1;3;6; ;3; ;2; ; ; ; ;11;2;1;10;68;68;396,731625971301
2531393;1;1;1;80;1;1;4;3; ;3; ;2; ; ; ; ;8;2;1;10;68;68;967,93233906759
2531394;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;68;68;967,93233906759
2531397;1;1;1;80;1;1;4;5; ;3; ;2; ; ;4; ;8;1;1;10;68;68;465,671357776784
2531398;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;10;68;68;425,965008553221
2531399;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;10;68;68;484,546100530385
2531401;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;10;68;68;531,235272623235
2531401;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;9;2;1;10;68;68;531,235272623235
2531401;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;68;68;531,235272623235
2531401;1;4;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;10;68;68;531,235272623235
2531404;1;1;1;80;1;1;4;3; ;3; ;2; ; ; ; ;9;2;1;10;68;68;463,20786403371
2531405;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;68;68;513,224301253146
2531405;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;68;68;513,224301253146
2531406;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;68;68;567,939296070566
2531408;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;47;47;122,409875809674
2531408;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;122,409875809674
2531408;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;122,409875809674
2531408;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;122,409875809674
2531408;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;122,409875809674
2531409;1;4;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;47;47;96,9876989987242
2531410;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;10;47;47;172,796537406316
2531412;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;216,455156998159
2531414;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;152,859660656551
2531414;4;1;4;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;152,859660656551
2531415;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;127,532992795809
2531417;1;2;1;80;1;1;1;7; ;2; ;2; ; ;1;NO  TIENE  DINERO  PARA INICIAR  UN  NEGOCIO;12;1;1;10;47;47;214,604266654884
2531417;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;214,604266654884
2531418;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;115,618529792111
2531418;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;115,618529792111
2531420;1;1;1;80;1;1;2;7; ;2; ;2; ; ; ; ;9;2;1;10;47;47;137,748604689328
2531420;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;137,748604689328
2531422;1;3;1;80;1;1;1;7; ;2; ;2; ; ; ; ;11;2;1;10;47;47;133,31271473785
2531422;1;9;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;133,31271473785
2531423;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;115,147953802114
2531425;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;10;47;47;184,498567726705
2531427;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;159,132633427647
2531429;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;156,561246087272
2531430;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;47;47;113,706036248994
2531432;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;47;47;90,5095290501128
2531432;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;90,5095290501128
2531432;1;3;1;80;1;1;4;6; ;2; ;2; ; ; ; ;5;2;1;10;47;47;90,5095290501128
2531436;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;214,968738571288
2531436;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;47;47;214,968738571288
2531437;1;1;1;80;1;1;2;7; ;2; ;2; ; ; ; ;8;2;1;10;47;47;122,052927170059
2531439;1;1;1;80;1;1;1;4; ;2; ;2; ; ; ; ;9;2;1;10;47;47;91,9514466032324
2531441;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;68,6656155059009
2531442;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;15;15;91,2005618156987
2531442;1;2;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;10;15;15;91,2005618156987
2531443;1;2;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;10;15;15;80,074120756594
2531445;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;69,5920276860805
2531445;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;69,5920276860805
2531447;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;15;15;106,239705310264
2531448;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;10;15;15;83,8653043378677
2531449;1;2;1;80;1;1;3;8; ;2; ;2; ; ; ; ;5;2;1;10;15;15;70,4395232098195
2531449;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;70,4395232098195
2531449;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;70,4395232098195
2531449;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;70,4395232098195
2531450;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;10;15;15;65,8008441048068
2531450;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;15;15;65,8008441048068
2531452;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;10;15;15;88,4873182156132
2531452;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;10;15;15;88,4873182156132
