DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4139177;1;2;1;70;1;1;60;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;55;1;1;5511;09;05;1130,93667857563;05
4139179;1;1;1;70;1;2;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;58;59;55;1;1;5529;09;05;1231,53759535466;05
4139189;1;3;1;70;1;16;48;1; ;2;17;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;63;1;2;6320;09;05;2033,70636083572;05
4139190;1;6;1;70;1;8;48;1; ;2;10;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;37;97;55;1;1;5529;09;05;1251,62930506565;05
4139200;1;1;1;70;1;168;168;1; ;2;168;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;42;15;1;2;1589;09;05;1140,38696240018;05
4139207;1;1;1;70;1;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;11;11;74;1;1;7421;09;05;1301,77954711318;05
4139207;1;2;1;70;1;52;24;1; ;2;78;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;15;1;2;1551;09;05;1301,77954711318;05
4139210;1;2;1;70;1;32;60;1; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;58;97;18;1;2;1810;09;05;1042,52702476934;05
4139211;1;1;1;70;1;60;48;4; ;2;60;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;56;33;19;1;2;1910;09;05;1078,64366576372;05
4139218;1;4;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;05;1215,51266407126;05
4139223;1;1;1;70;1;20;50;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;53;53;55;1;2;5529;09;05;954,080992867812;05
4139225;1;1;1;70;1;20;48;4; ;2;20;5; ;5;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;41;41;24;1;2;2422;09;05;1065,06839926245;05
4139227;1;1;1;70;1;3;48;1; ;2;6;4; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;50;51;55;1;1;5521;09;05;1288,89466845003;05
4139232;1;1;1;70;1;4;48;1; ;2;6;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;85;1;1;8512;09;05;2059,28429221237;05
4139234;1;1;1;70;1;16;48;1; ;2;16;1; ;6;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;02;95;45;1;2;4521;09;05;1076,70864256078;05
4139251;2;2;2;70;1;53;48;1; ;2;53;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;33;32;92;1;2;9241;09;05;1153,27184106333;05
