DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4148497;1;1;1;10;1;1;12;1948;67;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;1675,10198778638
4148497;1;2;1;10;2;2;11;1942;73;2;2;2;1;3; ; ; ;1;1;2; ;3;2; ; ;2;2;09;63;1675,10198778638
4148499;1;1;1;10;1;1;9;1990;26;1;2;1; ; ;1;1;27600;2;1;2; ;5;11;2; ;2;11;09;63;2088,30592310762
4148499;1;2;1;10;2;2;12;1992;23;2;2;1; ; ;1;4; ;2;1;2; ;5;11;2; ;2;11;09;63;2088,30592310762
4148499;1;3;1;10;1;1;4;2006;10;5;6;1; ; ;1;5; ;2;1;1;1;3;4; ; ;2;4;09;63;2088,30592310762
4148500;1;1;1;10;1;1;10;1957;58;1;2;2;1;6; ; ; ;1;1;2; ;3;5; ; ;2;5;09;63;1303,34073956641
4148500;1;2;1;10;2;2;6;1971;45;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;09;63;1303,34073956641
4148500;1;3;1;10;3;1;3;1992;24;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;1303,34073956641
4148500;1;4;1;10;4;1;4;1994;22;3;6;2;1;1; ; ; ;1;1;2; ;4;7; ; ;2;7;09;63;1303,34073956641
4148500;1;5;1;10;5;2;6;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;09;63;1303,34073956641
4148500;1;6;1;10;6;1;1;2006;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;09;63;1303,34073956641
4148501;1;1;1;10;1;2;3;1941;75;1;4;1; ; ;1;2;82700;2;1;2; ;3;5; ; ;2;5;09;63;1857,21542540606
4148502;1;1;1;10;1;1;2;1967;49;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;63;1788,94583168016
4148502;1;2;1;10;2;2;12;1968;47;2;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;63;1788,94583168016
4148502;1;3;1;10;3;2;3;1998;18;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;1788,94583168016
4148502;1;4;1;10;4;1;6;1986;30;3;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;09;63;1788,94583168016
4148502;1;5;1;10;5;2;7;1991;25;5;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;09;63;1788,94583168016
4148502;1;6;1;10;5;2;12;2011;4;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;1788,94583168016
4148503;1;1;1;10;1;2;4;1987;29;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;1621,13433141127
4148503;1;2;1;10;2;2;1;2003;13;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ; ;2;5;09;63;1621,13433141127
4148503;1;3;1;10;1;1;10;2006;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ; ;2;3;09;63;1621,13433141127
4148504;1;1;1;10;1;2;9;1960;55;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1729,35045407704
4148504;1;2;1;10;2;1;3;1961;55;2;2;2;1;96; ; ; ;1;1;2; ;4;6; ; ;2;6;09;63;1729,35045407704
4148504;1;3;1;10;3;1;10;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ; ;2;5;09;63;1729,35045407704
4148504;1;4;1;10;1;1;5;2007;9;4; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;09;63;1729,35045407704
4148504;2;1;2;10;1;2;3;1979;37;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;63;1729,35045407704
4148504;2;2;2;10;2;1;9;1995;21;2;2;2;1;12; ; ; ;1;1;2; ;4;7; ; ;2;7;09;63;1729,35045407704
4148504;2;3;2;10;3;1;12;1999;16;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1729,35045407704
4148504;2;4;2;10;4;1;9;2001;15;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;63;1729,35045407704
4148505;1;1;1;10;1;1;10;1940;75;1;3;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;09;63;1732,71081931274
4148507;1;1;1;10;1;2;9;1992;23;1;2;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;09;63;2375,06760619075
4148507;1;2;1;10;2;1;10;1990;25;2;2;1; ; ;1;1;31000;2;1;2; ;5;11;2; ;2;11;09;63;2375,06760619075
4148507;1;3;1;10;1;1;4;2014;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;09;63;2375,06760619075
4148507;1;4;1;10;4;2;9;1993;22;5;6;2;1;2; ; ; ;1;1;1;1;5;10;1; ;2;10;09;63;2375,06760619075
4148508;1;1;1;10;1;2;12;1937;78;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;957,412128466214
4148508;1;2;1;10;2;2;8;1978;38;3;4;1; ; ;1;1;27600;2;1;2; ;5;11;2; ;2;11;09;63;957,412128466214
4148508;1;3;1;10;3;1;11;1997;18;4;6;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;09;63;957,412128466214
4148508;2;1;2;10;1;1;10;1968;47;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;09;63;957,412128466214
4148508;2;2;2;10;2;2;9;1977;39;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;63;957,412128466214
4148508;2;3;2;10;3;1;11;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;09;63;957,412128466214
4148508;3;1;3;10;1;1;8;1933;83;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;957,412128466214
4148508;4;1;4;10;1;1;5;1928;88;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;63;957,412128466214
4148509;1;1;1;10;1;1;7;1938;78;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;1732,71081931274
4148510;1;1;1;10;1;2;5;1971;45;1;1;1; ; ;2;5; ;2;1;2; ;3;5; ; ;2;5;09;63;1356,77278564536
4148510;1;2;1;10;2;1;5;1976;40;2;1;2;1;2; ; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1356,77278564536
4148512;1;1;1;10;1;1;10;1957;58;1;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;1732,71081931274
