DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6006;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;MES;DPTO;fex_c_2011
4139177;1;5;4;1;1;1;1;1;3;1; ; ;98;250000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;09;05;1130,93667857563
4139178;1;4;3;1;1;1;1;1;4;2; ;300000;17000000;350000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;2;2;2;1;2; ;4;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;09;05;931,8448956517
4139179;1;3;2;1;1;1;1;1;3;1; ; ;98;250000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;1;1;2;2;2;1;4; ;5;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;09;05;1231,53759535466
4139180;1;8;4;1;1;1;1;1;3;4; ; ; ;800000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;1;2;2;1;2; ;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;794,187979790464
4139181;1;3;2;1;1;1;1;1;3;1; ; ;98;500000; ;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;954,080992867812
4139182;1;5;3;1;1;1;1;1;3;1; ; ;100000000;500000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;1;2;2;1;3; ;3;1;1;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1027,70712290324
4139183;1;4;1;1;1;1;1;1;3;1; ; ;150000000;800000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;2157,28733152745
4139184;1;5;1;1;1;1;1;1;3;1; ; ;130000000;600000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;2157,28733152745
4139185;1;3;2;1;1;1;1;1;4;3; ; ; ; ;3500000;2;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;3; ;5;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;05;09;05;896,723919772437
4139186;1;4;3;1;1;1;1;1;3;1; ; ;180000000;1200000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;2;1;1;1;1;4; ;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;2112,20458254122
4139187;1;3;2;1;1;1;1;1;3;4; ; ; ;850000; ;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;09;05;1014,82224424009
4139188;1;4;2;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;2;2;1;1;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;09;05;1014,82224424009
4139189;1;4;2;1;1;1;1;1;3;1; ; ;160000000;800000; ;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;2;2;1;2;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;2033,70636083572
4139190;1;5;3;1;1;1;1;1;3;1; ; ;98;400000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;2;2;2;1;5; ;6;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;09;05;1251,62930506565
4139191;1;4;1;1;1;1;1;3;3;3; ; ; ; ;620000;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1065,06839926245
4139192;1;7;1;1;1;1;1;1;3;1; ; ;200000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1016,75726744303
4139193;1;1;1;1;1;1;1;1;3;3; ; ; ; ;180000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;3;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;09;05;1154,81860140839
4139194;1;4;3;1;1;1;1;1;3;1; ; ;120000000;600000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;1;2;1;5; ;5;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;1663,290338249
4139195;1;1;1;1;1;1;1;2;4;3; ; ; ; ;180000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;09;05;1041,49175370669
4139196;1;4;2;1;1;1;1;1;3;1; ; ;120000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;2206,14574950075
4139197;1;4;3;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;4; ;5;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;1618,01576331312
4139198;1;2;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;05;09;05;1016,75726744303
4139199;1;3;1;1;2;1;1;1;3;3; ; ; ; ;400000;2;2;2;1;1;2;1;1;2;1;1;2;1;2;2;2;2;1;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;09;05;1077,9532779256
4139199;2;1;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;2;2;1;1;2;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;2;2;1;4;1;3;1;1;1;3;1;1;01;05;09;05;1077,9532779256
4139200;1;6;3;1;1;1;1;1;3;1; ; ;40000000;600000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;4; ;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1140,38696240018
