DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4139177;1;2;1;70;05;1;60;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;55;1;1;5511;09;05;1130,93667857563
4139179;1;1;1;70;05;2;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;58;59;55;1;1;5529;09;05;1231,53759535466
4139189;1;3;1;70;05;16;48;1; ;2;17;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;63;1;2;6320;09;05;2033,70636083572
4139190;1;6;1;70;05;8;48;1; ;2;10;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;37;97;55;1;1;5529;09;05;1251,62930506565
4139200;1;1;1;70;05;168;168;1; ;2;168;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;42;15;1;2;1589;09;05;1140,38696240018
4139207;1;1;1;70;05;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;11;11;74;1;1;7421;09;05;1301,77954711318
4139207;1;2;1;70;05;52;24;1; ;2;78;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;15;1;2;1551;09;05;1301,77954711318
4139210;1;2;1;70;05;32;60;1; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;58;97;18;1;2;1810;09;05;1042,52702476934
4139211;1;1;1;70;05;60;48;4; ;2;60;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;56;33;19;1;2;1910;09;05;1078,64366576372
4139218;1;4;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;05;1215,51266407126
4139223;1;1;1;70;05;20;50;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;53;53;55;1;2;5529;09;05;954,080992867812
4139225;1;1;1;70;05;20;48;4; ;2;20;5; ;5;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;41;41;24;1;2;2422;09;05;1065,06839926245
4139227;1;1;1;70;05;3;48;1; ;2;6;4; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;50;51;55;1;1;5521;09;05;1288,89466845003
4139232;1;1;1;70;05;4;48;1; ;2;6;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;85;1;1;8512;09;05;2059,28429221237
4139234;1;1;1;70;05;16;48;1; ;2;16;1; ;6;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;02;95;45;1;2;4521;09;05;1076,70864256078
4139251;2;2;2;70;05;53;48;1; ;2;53;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;33;32;92;1;2;9241;09;05;1153,27184106333
4139252;1;2;1;70;05;18;48;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5530;09;05;789,973255085595
4139271;1;2;1;70;05;7;48;1; ;2;7;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;44;70;1;1;7020;09;05;857,169531642687
4139274;1;4;1;70;05;2;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;53;55;1;1;5523;09;05;1105,71759333444
4139275;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;09;05;1115,95775341353
4139276;1;2;1;70;05;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;79;79;18;1;1;1810;09;05;1101,0419385726
4139280;1;4;1;70;05;4;48;1; ;2;4;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;689454;75;89;26;1;1;2693;09;05;946,468126975103
4139284;1;2;1;70;05;32;48;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;25;1;2;2529;09;05;1045,02226152012
4139285;1;1;1;70;05;20;48;4; ;2;20;4; ;2;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;95;41;51;1;2;5127;09;05;1114,06991891999
4139289;1;1;1;70;05;2;72;1; ;2;98;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;74;1;1;7492;09;05;1054,37663236984
4139290;1;6;1;70;05;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;09;05;1082,03107189292
4139291;1;4;1;70;05;8;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;09;05;1102,47839988708
4139309;1;5;1;70;05;17;48;1; ;2;17;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;12;12;74;1;2;7411;09;05;1128,84263207668
4139324;1;1;1;70;05;16;48;1; ;2;16;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;55;1;2;5530;09;05;1151,38400656979
4139325;1;2;1;70;05;40;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;85;45;1;2;4542;09;05;1029,64214610618
4139332;1;1;1;70;05;98;48;1; ;2;288;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;32;74;1;2;7499;09;05;1016,75726744303
4139334;1;4;1;70;05;4;48;1; ;2;8;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;59;44;62;1;1;6213;09;05;980,541138032238
4139343;1;2;1;70;05;4;48;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5529;09;05;1029,64214610618
4139351;1;3;1;70;05;4;48;1; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;74;1;1;7495;09;05;966,965871530962
4139354;1;2;1;70;05;259;48;1; ;2;432;1; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;85;1;2;8532;09;05;1076,56554087654
4139354;1;5;1;70;05;5;48;1; ;2;24;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;34;39;74;1;1;7412;09;05;1076,56554087654
4139356;1;2;1;70;05;24;48;1; ;2;76;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;05;05;85;1;2;8512;09;05;1054,37663236984
4139358;1;3;1;70;05;32;48;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;33;79;17;1;2;1749;09;05;916,719716508602
4139360;1;1;1;70;05;3;24;1; ;2;6;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;13;39;18;1;1;1810;09;05;918,960016988549
4139363;1;2;1;70;05;12;48;1; ;2;25;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;56;56;85;1;1;8511;09;05;968,853706024503
4139363;1;4;1;70;05;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;85;1;1;8511;09;05;968,853706024503
4139364;1;1;1;70;05;3;48;1; ;2;28;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;1;20000;53;99;45;1;1;4530;09;05;830,500022176087
4139371;1;1;1;70;05;8;24;1; ;2;36;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;94;94;36;1;1;3699;09;05;1227,10418310417
4139375;1;1;1;70;05;54;48;1; ;2;54;8; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;95;62;01;1;2;0111;09;05;1114,06991891999
4139385;1;2;1;70;05;40;48;1; ;2;84;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;85;1;2;8532;09;05;944,275015204562
4139423;1;2;1;70;08;20;48;1; ;2;144;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;26;1;2;2610;09;08;517,941246058146
4139423;1;4;1;70;08;9;48;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;43;53;55;1;1;5530;09;08;517,941246058146
4139433;1;3;1;70;08;8;48;1; ;2;8;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;30;21;50;1;1;5030;09;08;556,694662337982
4139434;1;1;1;70;08;2;48;1; ;2;4;5; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;800000;30;41;52;1;1;5231;09;08;572,749150436822
4139438;1;2;1;70;08;12;48;1; ;2;12;1; ;8;2;4; ; ;1; ; ; ; ; ; ; ; ;2; ;07;07;85;1;1;8511;09;08;558,865144474149
4139441;1;5;1;70;08;6;48;1; ;2;24;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;09;08;487,210424766069
4139443;1;3;1;70;08;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;12;12;60;1;1;6031;09;08;551,988400659296
4139449;1;1;1;70;08;12;48;1; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;126000;58;95;45;1;1;4521;09;08;526,577090905658
4139449;1;5;1;70;08;4;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;98;60;1;1;6031;09;08;526,577090905658
4139465;1;3;1;70;08;8;48;1; ;2;60;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;1;1530;09;08;435,650571228579
4139466;1;1;1;70;08;12;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5241;09;08;572,414826652946
4139469;1;1;1;70;08;102;48;1; ;2;102;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;65;1;2;6596;09;08;601,176207298948
4139472;1;6;1;70;08;2;7;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;77; ; ;1;1; ;09;08;511,878793593139
4139478;1;3;1;70;08;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;1; ;09;08;504,187235156861
4139482;1;7;1;70;08;8;48;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;51;1;1;5133;09;08;281,352176020168
4139483;1;1;1;70;08;26;60;3; ;2;54;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;09;08;473,697727100674
4139488;1;2;1;70;08;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;09;08;557,444878833062
4139489;1;3;1;70;08;12;48;1; ;2;12;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;1;6042;09;08;642,930770163395
4139491;1;1;1;70;08;6;48;1; ;2;6;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;81;81;36;1;1;3611;09;08;693,846704213232
4139494;1;5;1;70;08;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;09;08;642,883946713902
4139498;1;2;1;70;08;26;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;09;08;460,232481211358
4139500;1;3;1;70;08;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;52;1;1;5243;09;08;731,321510297956
4139504;1;3;1;70;08;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;09;08;591,763683941577
4139504;1;4;1;70;08;4;25;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;08;591,763683941577
4139522;1;2;1;70;08;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;09;08;541,52038579561
4139527;1;4;1;70;08;4;40;1; ;2;26;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;13;80;1;1;8060;09;08;499,61425577196
4139527;1;5;1;70;08;32;40;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;32;63;1;2;6390;09;08;499,61425577196
4139528;1;4;1;70;08;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;09;08;573,641022377879
