DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4148502;1;2;1;70;2;6;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0116;09;63;1788,94583168016
4148502;1;3;1;70;2;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;63;1788,94583168016
4148507;1;4;1;70;2;3;48;1; ;2;6;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;09;63;2375,06760619075
4148513;1;2;1;70;2;5;48;1; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;09;63;1675,10198778638
4148536;1;2;1;70;2;32;40;4; ;2;48;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;05;05;65;1;2;6599;09;63;1815,88080609104
4148561;1;2;1;70;2;8;40;4; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;59;95;1;1;9500;09;63;1093,0939909075
4148563;1;3;1;70;2;1;40;1; ;2;416;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;77;55;1;1;5529;09;63;1071,74240415351
4148566;1;2;1;70;2;52;40;1; ;2;40;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;09;63;1131,47173403658
4150638;1;1;1;70;2;16;48;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6022;09;66;1270,96972620731
4150658;1;2;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;09;66;1771,66730256616
4150672;1;2;1;70;2;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;09;66;1520,14343953308
4150673;1;1;1;70;2;4;50;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;74;1;1;7493;09;66;1452,20764057775
4152752;1;3;1;70;2;12;40;1; ;2;28;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5239;09;05;1921,00390349675
4152781;1;2;1;70;2;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;09;05;2394,89174879994
4152811;1;2;1;70;2;4;48;8; ;2;2;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;100000;62;99;14;1;1;1411;09;73;2560,37254981196
4152834;1;3;1;70;2;4;56;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;62;62;01;1;1;0115;09;73;1532,29969256813
4152834;1;5;1;70;2;38;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;09;73;1532,29969256813
4152871;1;3;1;70;2;4;48;1; ;2;8;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;95;45;1;1;4530;09;73;2163,23584272294
4152884;1;2;1;70;2;104;50;4; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;2;9500;09;73;1905,31652258191
4152907;1;2;1;70;2;108;48;1; ;2;108;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8511;09;05;4835,99090183161
4152910;1;1;1;70;2;28;42;1; ;2;28;1; ;6;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;55;53;13;1;2;1320;09;05;3555,87054330508
4152910;1;2;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;77; ; ;1;2; ;09;05;3555,87054330508
4152913;1;4;1;70;2;20;48;8; ;2;25;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;62;61;01;1;2;0121;09;05;5073,51234270992
4152917;1;3;1;70;2;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;09;05;3433,9386034866
4152924;1;2;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;55;1;1;5511;09;05;4023,21408535004
4152936;1;5;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;09;05;3070,38597891994
4152942;1;1;1;70;2;2;40;8; ;2;2;8; ;2;2;4; ; ; ; ; ; ; ; ;1;ESPERANDO AYU; ;2; ;62;62;01;1;1;0118;09;05;3476,60547486817
4154877;1;2;1;70;2;4;42;2; ;2;250;1; ;5;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;13;21;51;1;1;5170;09;41;1228,01864152848
4154878;1;3;1;70;2;50;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;09;41;1093,0939909075
4154886;1;1;1;70;2;12;40;4; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;87;93;45;1;1;4552;09;41;1077,95072561401
4154945;1;2;1;70;2;5;40;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;33;52;1;1;5211;09;41;766,416290842403
4154949;1;1;1;70;2;2;48;3; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;59;95;1;1;9500;09;41;1724,34515275973
4154952;1;3;1;70;2;9;45;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;41;673,541517762918
4154959;1;4;1;70;2;58;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;09;41;1048,34067914312
4154997;1;1;1;70;2;16;45;1; ;2;60;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;45;77;15;1;2;1581;09;41;805,7361865111
4155026;1;2;1;70;2;1;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;09;41;666,327852390862
4155030;1;1;1;70;2;2;45;4; ;2;3;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;160000;61;61;01;1;1;0140;09;41;1412,72656724415
