DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011
4148497;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148497;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148499;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2088,30592310762
4148499;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2088,30592310762
4148499;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2088,30592310762
4148500;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148500;1;2;1;90;2; ;1;37;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148500;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148500;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148500;1;5;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148500;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1303,34073956641
4148501;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1857,21542540606
4148502;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1788,94583168016
4148502;1;2;1;90;2; ;1;35;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1788,94583168016
4148502;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1788,94583168016
4148502;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1788,94583168016
4148502;1;5;1;90;2; ;1;24;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1788,94583168016
4148503;1;1;1;90;2; ;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1621,13433141127
4148503;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1621,13433141127
4148504;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;2;1;2;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;2;2;2;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;2;3;2;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148504;2;4;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1729,35045407704
4148505;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1732,71081931274
4148507;1;1;1;90;2; ;1;5;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2375,06760619075
4148507;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2375,06760619075
4148507;1;4;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2375,06760619075
4148508;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;2;1;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;2;2;2;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;2;3;2;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;3;1;3;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148508;4;1;4;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148509;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1732,71081931274
4148510;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1356,77278564536
4148510;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1356,77278564536
4148512;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1732,71081931274
4148513;1;1;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148513;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148526;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148526;1;2;1;90;2; ;1;36;2; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148526;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;2;09;63;957,412128466214
4148526;1;4;1;90;2; ;1;8;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;2;09;63;957,412128466214
4148526;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148526;1;6;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;957,412128466214
4148527;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1319,1142036295
4148527;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1319,1142036295
4148527;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1319,1142036295
4148528;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1326,25589624809
4148528;1;2;1;90;2; ;1;27;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1326,25589624809
4148528;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1326,25589624809
4148528;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1326,25589624809
4148529;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1356,77278564536
4148529;1;2;1;90;1;3;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1356,77278564536
4148530;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148530;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148531;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2180,14231004617
4148531;1;2;1;90;2; ;1;25;2; ;1;50;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2180,14231004617
4148531;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2180,14231004617
4148532;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1069,08922393015
4148532;1;2;1;90;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1069,08922393015
4148533;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2;09;63;1356,77278564536
4148533;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1356,77278564536
4148534;1;1;1;90;2; ;2; ;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1741,96290020543
4148534;1;2;1;90;2; ;1;21;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1741,96290020543
4148535;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1235,42919748675
4148535;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1235,42919748675
4148535;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1235,42919748675
4148535;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1235,42919748675
4148536;1;1;1;90;1;30;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1815,88080609104
4148536;1;2;1;90;1;30;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;6;2;09;63;1815,88080609104
4148537;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148537;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1675,10198778638
4148538;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2020,39438102795
4148539;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1962,78554950159
4148539;1;2;1;90;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1962,78554950159
4148540;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1069,08922393015
4148540;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1069,08922393015
4148541;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1863,8420986602
4148541;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1863,8420986602
4148541;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1863,8420986602
4148541;1;4;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1863,8420986602
4148542;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;1;3;1;8;1;8;2;09;63;1732,71081931274
4148543;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2020,39438102795
4148544;1;1;1;90;1;7;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2045,0336576478
4148544;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2045,0336576478
4148544;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;2045,0336576478
4148545;1;1;1;90;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1251,20266154984
4148546;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2;09;63;616,107619784777
4148546;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;616,107619784777
4148546;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;616,107619784777
4148546;1;4;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;616,107619784777
4148546;1;5;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2;09;63;616,107619784777
4148547;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1228,01864152848
4148547;1;2;1;90;1;5;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1228,01864152848
4148547;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1228,01864152848
4148547;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1228,01864152848
4148557;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1077,95072561401
4148557;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1077,95072561401
4148558;1;1;1;90;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;747,448184480328
4148558;1;2;1;90;2; ;1;3;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;747,448184480328
4148558;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;747,448184480328
4148558;1;5;1;90;2; ;1;5;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;747,448184480328
4148559;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;926,622598321871
4148559;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;926,622598321871
4148559;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;926,622598321871
4148560;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1115,02278582193
4148561;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1093,0939909075
4148561;1;2;1;90;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1093,0939909075
4148561;1;3;1;90;2; ;2; ;2; ;1;70;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1093,0939909075
4148562;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;687,973337196348
4148562;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;687,973337196348
4148563;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1071,74240415351
4148563;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1071,74240415351
4148563;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1071,74240415351
4148563;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1071,74240415351
4148563;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1071,74240415351
4148564;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1077,95072561401
4148564;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;5;2;09;63;1077,95072561401
4148565;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1077,95072561401
4148565;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1077,95072561401
4148566;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1131,47173403658
4148566;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1131,47173403658
4148566;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1131,47173403658
4148571;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1068,13171061997
4148571;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;63;1068,13171061997
4148571;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;10;2; ;2; ;2; ;2;09;63;1068,13171061997
4150621;1;1;1;90;2; ;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;2312,56000421204
4150621;1;2;1;90;1;14;1;40;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;2312,56000421204
4150622;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1220,0292589214
4150623;1;1;1;90;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;819,296723322622
4150623;1;2;1;90;1;4;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;819,296723322622
4150624;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;610,789499884699
4150624;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;610,789499884699
4150624;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;610,789499884699
4150625;1;1;1;90;1;8;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150625;1;2;1;90;1;5;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150626;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;755,547466507241
4150627;1;1;1;90;1;4;1;20;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;805,770243944388
4150627;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;805,770243944388
4150628;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150628;1;2;1;90;2; ;1;50;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150629;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;819,296723322622
4150629;1;2;1;90;1;21;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;819,296723322622
4150630;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;919,742278196916
4150630;1;2;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;919,742278196916
4150630;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;919,742278196916
4150630;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;919,742278196916
4150631;1;1;1;90;1;21;1;30;2; ;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2;09;66;724,761534137228
4150631;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;724,761534137228
4150631;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;724,761534137228
4150631;1;4;1;90;1;30;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;724,761534137228
4150631;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;724,761534137228
4150632;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150632;1;2;1;90;1;8;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150632;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150632;1;4;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150632;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150632;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;774,984311574375
4150633;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150633;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150634;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150634;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1011,52203548348
4150635;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;661,012277321846
4150635;1;2;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;661,012277321846
4150635;1;3;1;90;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;661,012277321846
4150635;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;661,012277321846
4150636;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;645,576995184838
4150636;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;645,576995184838
4150637;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;910,528359789314
4150637;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;910,528359789314
4150637;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;910,528359789314
4150637;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;910,528359789314
4150637;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;910,528359789314
4150638;1;1;1;90;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1270,96972620731
4150638;1;2;1;90;2; ;1;30;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1270,96972620731
4150639;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;09;66;1102,11924189123
