Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Dpto;Fex_c_2011
3125653;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1187,17313038797
3125653;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1187,17313038797
3125653;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1187,17313038797
3125653;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1187,17313038797
3125654;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1046,07727418795
3125654;1;2;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1046,07727418795
3125655;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;993,867822748734
3125655;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;993,867822748734
3125655;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;993,867822748734
3125656;1;1;1;50;2; ; ;1;6;MANTENIMIENTO DE LA FINCA;2;2;2;2;2; ; ; ; ; ; ; ;01;63;663,974200687867
3125656;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;663,974200687867
3125656;1;3;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;663,974200687867
3125657;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1243,65157671305
3125657;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;1243,65157671305
3125657;1;3;1;50;2; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;1243,65157671305
3125657;1;4;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1243,65157671305
3125658;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;740,05231554607
3125658;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;12; ; ; ; ; ; ;01;63;740,05231554607
3125658;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;740,05231554607
3125659;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1130,59407348544
3125659;1;2;1;50;2;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;1130,59407348544
3125664;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;589,372695692852
3125664;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;589,372695692852
3125664;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;589,372695692852
3125664;1;4;1;50;2; ; ;2;2; ;2;2;1; ; ; ; ; ; ; ; ; ;01;63;589,372695692852
3125665;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;988,359459647192
3125665;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;988,359459647192
3125665;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;988,359459647192
3125666;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;633,919561156941
3125666;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;01;63;633,919561156941
3125667;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;798,238679569437
3125667;1;2;1;50;2;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;798,238679569437
3125667;1;3;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;798,238679569437
3125668;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;633,919561156941
3125668;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;633,919561156941
3128614;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;926,234713905503
3128614;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;13;ESPERANDO RENOVAR EL PASE DE CONDUCCION; ; ; ; ; ;01;63;926,234713905503
3128614;1;3;1;50;2;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;926,234713905503
3128615;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1470,49727885054
3128615;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1470,49727885054
3128615;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1470,49727885054
3128615;1;4;1;50;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1470,49727885054
3128615;1;5;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1470,49727885054
3128616;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;926,234713905503
3128616;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;11; ; ; ; ; ; ;01;63;926,234713905503
3128616;1;3;1;50;2; ; ;3;6;VER  TV;1; ; ; ; ; ; ; ; ; ; ; ;01;63;926,234713905503
3128617;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;742,607458921233
3128618;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;989,836069510381
3128618;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;989,836069510381
3128618;1;3;1;50;2; ; ;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;989,836069510381
3128618;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;989,836069510381
3128619;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;918,549789334492
3128619;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;01;63;918,549789334492
3128619;1;3;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;918,549789334492
3128620;1;1;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;442,421036379739
3128620;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;442,421036379739
3128620;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;442,421036379739
3128620;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;442,421036379739
3128620;1;6;1;50;2;1; ;6;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;442,421036379739
3128620;1;7;1;50;2;1; ;7;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;442,421036379739
3128621;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;993,867822748734
3128621;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;8; ;2; ;2; ; ;01;63;993,867822748734
3128621;1;3;1;50;2;2; ;3;6;REALIZAR CONEXIONES ELECTRICAS EN EL HOGAR;2;2;2;1; ; ; ; ; ; ; ;1;01;63;993,867822748734
3128622;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1209,25763496222
3128622;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1209,25763496222
3128622;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1209,25763496222
3128622;1;4;1;50;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1209,25763496222
3128622;1;5;1;50;2; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1209,25763496222
3128622;1;6;1;50;2; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1209,25763496222
3128623;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;742,607458921233
3128624;1;1;1;50;2; ; ;1;6;DE VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;01;63;1112,48927003587
3128624;1;2;1;50;2; ; ;2;6;EN  VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1112,48927003587
3128625;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1432,96287125534
3128625;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;1432,96287125534
3128625;1;3;1;50;2; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1432,96287125534
3128626;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1386,40701260968
3128626;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;01;63;1386,40701260968
3128626;1;3;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1386,40701260968
3128626;1;4;1;50;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1386,40701260968
3128627;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1112,48927003587
3128627;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1112,48927003587
3128628;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1873,26637487654
3128628;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1873,26637487654
3128628;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1873,26637487654
3128628;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;1873,26637487654
3128633;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1160,88634242715
3128633;1;2;1;50;2; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;01;63;1160,88634242715
3128634;1;1;1;50;2;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;742,607458921233
3128635;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1048,02243353375
3128635;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;9; ; ; ; ; ; ;01;63;1048,02243353375
3128635;1;3;1;50;2; ; ;3;4; ;2;2;2;2;1;2; ;2; ;1;5;1;01;63;1048,02243353375
3128635;1;4;1;50;2; ; ;4;6;JUGAR FUTBOLL;2;2;2;2;1;9; ; ; ; ; ; ;01;63;1048,02243353375
3128636;1;1;1;50;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;63;726,105268005244
3128636;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;726,105268005244
3128636;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;726,105268005244
3128637;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;722,783627321862
3128637;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;722,783627321862
3128637;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;722,783627321862
3128637;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;722,783627321862
3128637;1;5;1;50;2;1; ;5;4; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;722,783627321862
3128637;1;6;1;50;2;1; ;6;3; ;2;2;2;1; ; ; ; ; ; ; ;1;01;63;722,783627321862
3128638;1;1;1;50;2; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;01;63;806,208814526111
3128638;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;806,208814526111
3128639;1;1;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;738,575705682881
3128639;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;738,575705682881
3128640;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;993,867822748734
3128640;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;01;63;993,867822748734
3128640;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;63;993,867822748734
3128641;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;530,184592864594
3128641;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;530,184592864594
3128641;1;3;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;530,184592864594
3128641;1;4;1;50;2; ; ;1;6;DE VACACIONES;1; ; ; ; ; ; ; ; ; ; ; ;01;63;530,184592864594
3128642;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;63;1054,52228020292
