Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;Area;Mes;Dpto;Fex_c_2011
3117897;1;1;1;95;1; ;2;1; ;566700; ;2;1;2;2; ; ; ; ;240000;2;1;2; ;2;73;01;73;247,787473924792
3117900;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;234,780400146907
3117900;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;360000;2;1;2; ;2;73;01;73;234,780400146907
3117901;1;1;1;95;1; ;1;2; ; ;500000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;279,448163873517
3117901;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;279,448163873517
3117901;1;4;1;95;2; ; ; ; ; ; ; ;1;2;2;18000000; ; ; ;3600000;2;1;1; ;2;73;01;73;279,448163873517
3117902;1;1;1;95;1; ;1;2; ; ;1500000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;228,129050197745
3117902;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;228,129050197745
3117903;1;1;1;95;1; ;2;1; ;566700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;263,696449134841
3117903;1;2;1;95;1; ;2;1; ;566700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;263,696449134841
3117904;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;950000; ;2;2;2; ;2;73;01;73;241,585740593385
3117905;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;218,245258735545
3117905;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;218,245258735545
3117905;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;218,245258735545
3117905;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;218,245258735545
3117906;1;1;1;95;1; ;2;1; ;1133400; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;179,046723129167
3117906;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;179,046723129167
3117906;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;179,046723129167
3117906;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;01;73;179,046723129167
3117906;1;6;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;600000;2;1;2; ;2;73;01;73;179,046723129167
