DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4928947;1;4;2;1;1;1;1;1;3;4; ; ; ;460000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;2276,73083869042;05
4928948;1;3;2;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;1243,43796120747;05
4928949;1;3;2;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;1;2;1;3;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;1145,12187653438;05
4928950;1;3;2;1;1;1;1;1;3;2; ;260000;90000000;500000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;1;2;2;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;1167,71645750591;05
4928951;1;4;2;1;1;1;1;1;3;1; ; ;150000000;700000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;4;7;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;06;05;1353,03030581248;05
4928952;1;9;4;1;1;1;1;1;3;1; ; ;300000000;1300000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;1;5;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;955,115757756642;05
4928954;1;4;3;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;3;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;06;05;1198,88416090317;05
4928955;1;5;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;2;1;2;2;2;2;1;2;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;920,54136409379;05
4928956;1;2;2;1;1;1;1;4;3;3; ; ; ; ;400000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;06;05;925,486565103292;05
4928957;1;3;2;1;1;1;1;1;3;2; ;380000;90000000;600000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;1;2;1;4;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;06;05;1015,5318115055;05
4928958;1;2;1;1;1;1;1;1;3;3; ; ; ; ;270000;1;1;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;2;1;2;1;2;1;1;1;3;1;1;01;1;06;05;1212,54841230287;05
