DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4201139;1;4;1;70;2;8;48;1; ;2;12;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;11;23;3959,27726680017
4201150;1;3;1;70;2;12;48;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;60; ; ;1;1; ;11;41;1695,95795347449
4201155;1;1;1;70;2;4;40;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;58;58;74;1;1;7492;11;41;1315,46677185025
4201160;1;1;1;70;2;8;40;4; ;2;100;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;11;41;667,306816123296
4201283;1;2;1;70;2;8;40;1; ;2;40;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;58;58;74;1;1;7492;11;41;2957,05864264145
4201301;1;3;1;70;2;16;48;4; ;2;50;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;51;39;45;1;2;4530;11;41;1350,68091610536
4201302;1;4;1;70;2;7;45;1; ;2;28;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5244;11;41;2126,16530812915
4201316;1;3;1;70;2;8;48;2; ;2;40;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;36;75;1;1;7513;11;41;1495,40121634105
4201330;1;1;1;70;2;56;70;1; ;2;56;1; ;9;2;2; ; ; ; ; ;1; ; ; ; ; ;2; ;03;03;11;1;2;1120;11;41;1630,81475253494
4201377;1;1;1;70;2;4;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;11;44;962,6717802538
4201393;1;2;1;70;2;12;40;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8041;11;44;934,624203730737
4201397;1;1;1;70;2;32;32;4; ;2;36;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;2;4521;11;44;832,200312539197
4201427;1;2;1;70;2;4;40;4; ;2;120;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;94;53;55;1;1;5521;11;44;1412,37478068153
4201449;1;4;1;70;2;52;52;4; ;2;98;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;75;1;2;7512;11;52;1581,78639064466
4201450;1;4;1;70;2;17;30;1; ;2;34;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;2;1551;11;52;1581,78639064466
4201455;1;4;1;70;2;4;40;4; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;98;62;01;1;1;0118;11;52;2882,3558018461
4201471;1;4;1;70;2;21;44;1; ;2;21;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;34;39;85;1;2;8511;11;52;1581,78639064466
4201489;1;3;1;70;2;2;84;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;98;84;50;1;1;5040;11;52;2269,64066141366
4201498;1;4;1;70;2;8;24;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;44;45;1;1;4530;11;52;3528,87290725399
4201507;1;1;1;70;2;2;40;1; ;2;2;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;920000;95;95;45;1;1;4530;11;52;1038,07890082507
4201507;1;4;1;70;2;4;48;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;95;45;1;1;4521;11;52;1038,07890082507
4201582;1;3;1;70;2;4;30;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0116;11;54;676,246094426182
4201810;1;2;1;70;2;43;50;2; ;2;2;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;1;360000;34;05;74;1;2;7414;11;73;1450,67523091197
4201831;1;2;1;70;2;4;48;1; ;2;4;8; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;1;400000;93;62;01;1;1;0111;11;73;2267,77446606812
4201875;1;3;1;70;2;2;48;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;720000;61;61;01;1;1;0111;11;73;1172,03732078771
4201982;2;3;2;70;2;3;35;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;76;1669,58864984002
4201988;1;4;1;70;2;42;48;1; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;2;1551;11;76;885,373662717679
4201998;1;1;1;70;2;60;48;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;11;76;1687,80789897483
4202000;1;2;1;70;2;39;35;1; ;2;41;4; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8011;11;76;1107,13753400374
4202017;1;2;1;70;2;8;72;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;45;52;1;1;5233;11;76;1449,81420306345
4202222;1;1;1;70;2;52;48;8; ;2;52;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0111;11;17;3408,5958161449
4202222;1;4;1;70;2;45;48;1; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;71;97;52;1;2;5211;11;17;3408,5958161449
4202224;1;2;1;70;2;4;50;3; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;11;17;874,173657095409
4202244;1;1;1;70;2;6;50;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;71;13;1;1;1320;11;17;1755,72443170929
4204796;1;3;1;70;2;52;40;1; ;2;260;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;2;9500;11;19;565,608931550497
4204800;1;2;1;70;2;10;44;3; ;2;3;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;35;60;1;1;6021;11;19;565,608931550497
4204825;1;2;1;70;2;54;48;1; ;2;54;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;50;1;2;5040;11;19;1702,76542426758
4204836;1;5;1;70;2;50;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;55;1;2;5511;11;19;565,608931550497
4204851;1;2;1;70;2;40;40;1; ;2;42;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8030;11;19;565,608931550497
4204852;1;3;1;70;2;2;48;8; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;62;62;01;1;1;0140;11;19;723,04630086178
4204856;1;2;1;70;2;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;61;61;01;1;1;0140;11;19;1605,97210468691
4204860;1;2;1;70;2;4;24;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;62;61;01;1;1;0140;11;19;1535,24636482941
4204875;1;1;1;70;2;104;40;2; ;2;104;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;05;39;75;1;2;7512;11;19;1515,84263828343
4204982;1;4;1;70;2;4;48;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;123000;39;39;75;1;1;7530;11;25;2084,61490311001
4204997;1;2;1;70;2;16;48;1; ;2;7;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;95;95;45;1;2;4530;11;25;3022,74114895164
4205000;1;3;1;70;2;8;48;1; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;62;01;1;1;0117;11;25;2365,69070186868
4205210;1;3;1;70;2;2;20;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;11;25;981,991537484013
4205409;1;3;1;70;2;3;30;4; ;2;63;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;55;1;1;5511;11;27;1830,90323949188
