DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4184296;1;1;1;90;2; ;1;1;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1423,3605372918;05
4184296;1;2;1;90;2; ;1;21;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1423,3605372918;05
4184297;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1276,443485344;05
4184297;1;2;1;90;2; ;1;42;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1276,443485344;05
4184298;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1376,60124710621;05
4184298;1;2;1;90;2; ;1;15;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1376,60124710621;05
4184299;1;1;1;90;2; ;1;14;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184299;1;2;1;90;2; ;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184299;1;3;1;90;2; ;1;11;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184299;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184299;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184299;1;6;1;90;2; ;1;2;1;2;2; ;1;1;2; ;2; ;2; ;2; ;2; ;1;11;05;975,282460396739;05
4184300;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1150,14698863712;05
4184301;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1056,89111805527;05
4184301;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1056,89111805527;05
4184302;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;794,744697426754;05
4184302;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;794,744697426754;05
4184302;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;794,744697426754;05
4184302;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;794,744697426754;05
4184303;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1394,48514801257;05
4184303;1;2;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1394,48514801257;05
4184304;1;1;1;90;2; ;2; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1107,55293529733;05
4184304;1;2;1;90;2; ;1;28;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1107,55293529733;05
4184304;1;4;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1107,55293529733;05
4184305;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1162,54703168087;05
4184305;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1162,54703168087;05
4184305;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1162,54703168087;05
4184305;1;5;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1162,54703168087;05
4184306;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1056,89111805527;05
4184306;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1056,89111805527;05
4184307;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1039,77160128138;05
4184307;1;2;1;90;2; ;1;10;2; ;2; ;2; ;1;2;2; ;2; ;2; ;2; ;1;11;05;1039,77160128138;05
4184308;1;1;1;90;2; ;1;2;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1165,99083027066;05
4184308;1;2;1;90;2; ;1;14;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1165,99083027066;05
4184309;1;1;1;90;2; ;1;20;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;11;05;1021,23679117848;05
4184309;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1021,23679117848;05
4184309;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;1021,23679117848;05
4184310;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;11;05;851,096847262065;05
