DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5159910;1;3;1;70;8;48;8; ;2;16;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;2;03;1;1;0123;01;62;62;05;1879,49071805351
5159917;1;3;1;70;16;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;03;1;2;7490;74;05;05;05;1743,93746709881
5159918;1;4;1;70;10;48;8; ;2;10;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;03;1;1;0121;01;62;62;05;1396,24504991856
5159933;1;2;1;70;4;40;3; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;5000;98;2; ;2;03;1;1;9700;97;55;55;05;2221,01368628751
5159934;1;4;1;70;30;48;1; ;2;30;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;03;1;2;3120;31;81;79;05;1481,31123105987
5159942;1;6;1;70;1;48;1; ;2;300;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;03;1;1;0125;01;62;62;05;2041,87543275935
5159969;1;4;1;70;4;48;1; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;600000;2; ;2;03;1;1;0123;01;53;62;05;1433,97035429953
5159972;1;3;1;70;8;48;8; ;2;12;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;03;1;1;0123;01;60;62;05;2096,51708206378
5159972;1;4;1;70;48;48;8; ;2;12;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;03;1;2;0123;01;62;62;05;2096,51708206378
5159984;1;1;1;70;2;48;1; ;2;52;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;2;03;1;1;0121;01;45;62;05;2346,96973608313
5160021;1;3;1;70;10;48;1; ;2;18;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;2;03;1;1;9700;97;45;54;18;729,970351256278
5160022;1;3;1;70;96;48;1; ;2;96;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;2;03;1;2;8890;88;08;32;18;606,997635396567
5160073;1;2;1;70;48;48;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;2;03;1;2;4721;47;45;45;05;1641,39951715073
5160083;1;3;1;70;5;48;1; ;2;144;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;2;03;1;1;0112;01;98;62;05;2230,61088744658
5160085;1;2;1;70;4;48;3; ;2;8;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;2;03;1;1;9700;97;54;54;05;3492,89452945791
5160099;1;2;1;70;1;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;878000;2; ;2;03;1;1;1630;16;95;95;05;1896,1391481367
5160100;1;2;1;70;2;48;2; ;2;288;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;03;1;1;8415;84;39;39;05;2158,76538417565
5160103;1;1;1;70;4;48;3; ;2;96;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;2;03;1;1;9700;97;54;54;05;2221,01368628751
5160179;1;2;1;70;3;48;1; ;2;3;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;240000;2; ;2;03;1;1;0123;01;53;53;73;2145,05777070818
5160179;1;6;1;70;5;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;03;1;1;5611;56;53;53;73;2145,05777070818
5160179;1;9;1;70;3;54;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;500000;2; ;2;03;1;1;0150;01;62;62;73;2145,05777070818
5160180;1;4;1;70;8;48;8; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;03;1;1;5611;56;62;53;73;2497,07499245522
5160183;1;2;1;70;10;40;2; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;2;03;1;1;8890;88;13;13;73;1600,23792827712
5160207;1;3;1;70;3;50;1; ;2;4;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;03;1;1;0123;01;33;62;73;1555,38809478656
5160226;1;1;1;70;4;48;1; ;2;48;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;03;1;1;8890;88;53;53;73;3144,89507021358
5160230;1;1;1;70;1;24;3; ;2;44;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;03;1;1;4792;47;54;45;73;4023,97211659437
