directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;Fex_c_2011
43;8;1;2;2;2;2;2; ;1;13; ; ; ; ; ;1;03;11;1627,35531896302
43;9;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;11;1627,35531896302
43;9;2;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;11;1627,35531896302
43;10;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;1627,35531896302
47;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;384,803411696141
48;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;141,544536872019
48;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;23;141,544536872019
48;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;23;141,544536872019
72;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;657,78999366551
84;1;1;4;2;2;2;2; ;1;3;1;2; ; ; ;1;03;54;270,652184098254
84;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;270,652184098254
84;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;270,652184098254
84;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;270,652184098254
95;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;418,419949324479
95;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;418,419949324479
96;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;877,345479800338
96;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;05;877,345479800338
101;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;54;465,297252017463
101;1;2;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;465,297252017463
102;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;112,164319931191
102;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;23;112,164319931191
102;1;3;3;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;112,164319931191
103;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;550,854992360948
105;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;583,993326205064
106;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;128,417633540534
106;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;128,417633540534
107;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;503,259324060996
112;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;574,781729460535
112;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;574,781729460535
112;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;574,781729460535
112;1;6;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;574,781729460535
115;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;487,538808075176
115;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;487,538808075176
115;1;3;3;2;2;2;1;1; ; ; ; ; ; ;1;1;03;54;487,538808075176
115;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;487,538808075176
124;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;550,854992360948
127;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;760,179638563845
127;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;760,179638563845
127;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;760,179638563845
127;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;760,179638563845
129;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;617,45084924644
130;2;1;3;2;2;2;1;6; ; ; ; ; ; ;1;1;03;17;160,985450529792
131;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;606,579166271626
131;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;606,579166271626
131;1;3;2;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;606,579166271626
131;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;606,579166271626
150;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;17;72,6438012241939
150;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;72,6438012241939
150;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;72,6438012241939
152;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;611,220579377063
152;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;611,220579377063
152;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;611,220579377063
152;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;611,220579377063
154;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;431,724951345309
154;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;431,724951345309
155;1;1;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;313,519642613742
155;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;313,519642613742
155;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;313,519642613742
161;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;901,262359372771
161;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;901,262359372771
161;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;901,262359372771
164;1;1;4;2;2;2;2; ;1;11; ; ; ; ; ;1;03;50;113,286379945533
164;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;113,286379945533
164;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;113,286379945533
165;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;861,542641353832
165;1;3;2;2;2;2;1;4; ; ; ; ; ; ;1;1;03;68;861,542641353832
168;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;23;155,090707341567
