DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2621232,1,3,1,3,1,1,1,1,4,3,,,,,150000,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,,2,2,,3,1,2,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,446.123.068.846.363
2621242,1,1,1,3,1,1,1,1,4,4,,,,80000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,1,1,2,1,2,1,2,2,1,1,2,3,1,1,2,2,63,1,410.640.940.456.581
2621243,1,3,2,3,1,1,1,1,4,3,,,,,170000,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,,5,1,2,1,2,1,2,2,1,1,1,3,1,1,2,2,63,1,403.177.805.397.895
2621244,1,3,2,3,1,1,1,1,4,4,,,,150000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,4,1,1,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,514.863.143.491.209
2621245,1,4,3,3,1,1,1,1,4,1,,,25000000,200000,,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,1,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,33.782.678.593.963
2621246,1,3,2,3,1,1,1,1,4,4,,,,150000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,,2,2,,3,1,1,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,371.361.906.431.668
2621247,1,3,1,3,1,1,1,1,4,3,,,,,160000,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,446.123.068.846.363
2624654,1,2,1,2,1,5,1,6,,4,,,,100000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,1,4,1,2,2,2,1,4,,1,1,2,2,63,1,295.141.642.558.979
2624655,1,4,2,2,1,5,1,1,4,4,,,,200000,,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,3,2,2,,3,1,1,1,2,1,2,2,2,1,2,,1,1,2,2,63,1,282.058.068.751.991
2624656,1,3,2,2,1,4,1,1,4,3,,,,,5000,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,4,1,2,1,2,2,2,1,2,,1,1,2,2,63,1,236.113.508.033.747
2624657,1,3,2,2,1,4,1,1,5,4,,,,100000,,2,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,4,2,2,,4,1,1,1,2,1,2,2,2,1,3,,1,1,2,2,63,1,363.484.757.860.017
2624658,1,4,2,3,1,4,1,1,5,4,,,,50000,,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,1,2,1,2,2,2,1,3,,1,1,2,2,63,1,282.058.068.751.991
2624662,1,5,3,2,1,4,2,1,4,1,,,35000000,400000,,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,2,2,2,1,3,,1,1,2,2,63,1,164.607.125.674.278
2624663,1,2,2,2,1,4,1,1,4,4,,,,200000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,,4,1,1,1,4,1,2,2,2,1,3,,1,1,2,2,63,1,276.229.567.582.282
2624664,1,2,2,2,1,4,1,1,4,4,,,,150000,,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,5,1,1,1,4,1,2,2,2,1,4,,1,1,2,2,63,1,345.306.975.167.473
2624665,1,3,2,3,1,4,1,1,5,4,,,,150000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,3,2,2,,3,1,1,1,2,1,2,2,2,1,4,,1,1,2,2,63,1,371.361.906.431.668
2624666,1,2,2,2,1,4,1,1,5,4,,,,60000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,,3,1,1,1,2,1,2,2,2,1,4,,1,1,2,2,63,1,164.607.125.674.278
2624667,1,3,2,3,1,4,1,1,5,4,,,,60000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,3,2,2,,4,1,1,1,2,1,2,2,2,1,3,,1,1,2,2,63,1,276.229.567.582.282
2625281,1,4,3,1,1,1,1,1,3,1,,,10000000,80000,,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,5,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,164.607.125.674.278
2625282,1,4,3,1,1,1,1,1,3,1,,,9000000,60000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,1,3,1,1,2,2,63,1,282.058.068.751.991
2625283,1,4,2,1,1,1,1,1,3,4,,,,70000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,24.359.369.726.159
2625284,1,4,2,1,1,1,1,1,3,1,,,98,75000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,3,2,2,,6,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,357.233.244.679.651
2625288,1,3,3,1,1,1,1,3,3,1,,,8000000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,7,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,63,1,475.187.150.122.488
2625289,1,3,1,1,1,1,1,1,3,1,,,10000000,70000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,1,3,1,1,2,2,63,1,260.775.973.866.893
2625290,1,3,2,1,2,1,1,1,3,1,,,8000000,70000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,1,3,1,1,2,2,63,1,257.981.775.746.005
2625290,2,1,1,1,2,1,1,6,,3,,,,,40000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,,,,,,,,,,1,1,2,2,63,1,257.981.775.746.005
2625290,3,1,1,1,2,1,1,6,,3,,,,,30000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,3,,,,,,,,,,,1,1,2,2,63,1,257.981.775.746.005
2625291,1,3,2,1,1,1,1,1,3,3,,,,,75000,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,282.058.068.751.991
2625293,1,4,3,1,1,1,1,1,3,1,,,12000000,60000,,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,31.121.731.220.874
2625294,1,3,2,1,1,1,1,1,3,3,,,,,80000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,504.389.498.113.452
2625295,1,3,1,1,1,1,1,3,3,3,,,,,60000,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,63,1,420.888.108.936.634
2626295,1,2,2,6,,4,1,5,5,4,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,1,2,2,2,2,2,1,,,1,1,2,2,13,1,189.574.449.888.249
2626296,1,3,2,2,1,4,4,4,4,1,,,98,100000,,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,,2,2,,5,1,1,1,2,1,2,2,2,2,1,,,1,2,2,13,1,153.901.006.628.783
2626297,1,3,1,6,,4,4,5,5,3,,,,,60000,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,,2,2,,2,1,1,4,2,1,2,2,2,2,1,,,1,2,2,13,1,988.978.117.761.264
2626298,1,2,1,6,,4,4,1,5,4,,,,30000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,1,2,1,2,2,2,2,0,,,1,2,2,13,1,892.130.382.327.708
