Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
239727;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;803,369115621759
239728;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;834,776014314815
239728;2;4;05;80;1;1;7; ;2; ; ; ; ; ;1;05;834,776014314815
239729;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;783,519047454811
239730;2;2;05;80;1;1;5; ;1;2;2; ;1;450000;1;05;798,817102202835
239731;2;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1287,07722901847
239732;2;2;05;80;1;1;8;ESCASES DE PRODUCCION (CONFECCIONES);1;1;1;433700;1;2448000;1;05;1693,74888708423
239734;2;1;05;80;1;1;7; ;2; ; ; ; ; ;1;05;1806,1559190812
239734;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;1806,1559190812
239737;2;2;05;80;1;2;2; ;2; ; ; ; ; ;1;05;846,874443542116
239738;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;741,608121021448
239739;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;653,270496630853
239740;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;741,608121021448
239742;2;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;738,892767522696
239742;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;738,892767522696
239743;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;797,811637019932
239743;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;797,811637019932
239748;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;605,67791074223
239749;2;2;05;80;1;2;2; ;2; ; ; ; ; ;1;05;599,996251286969
239749;2;4;05;80;1;1;7; ;2; ; ; ; ; ;1;05;599,996251286969
239749;2;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;599,996251286969
239750;2;2;05;80;1;2;6; ;2; ; ; ; ; ;1;05;681,181995588743
239750;2;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;681,181995588743
239751;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1470,38270249882
239751;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1470,38270249882
239752;2;1;05;80;1;2;5; ;3; ; ; ; ; ;1;05;1163,23280750717
239752;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1163,23280750717
239753;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1481,74602140934
239753;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1481,74602140934
239754;2;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;1597,63420440567
239754;2;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;1597,63420440567
239755;2;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1556,33517078221
239755;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1556,33517078221
239755;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1556,33517078221
239757;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;653,270496630853
239758;2;1;05;80;1;2;3; ;2; ; ; ; ; ;1;05;834,390503797958
239758;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;834,390503797958
239758;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;834,390503797958
239759;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;804,104225938539
239760;2;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;903,266012007061
239761;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;953,439393335335
239763;2;2;05;80;1;3;3; ;2; ; ; ; ; ;1;05;743,81345197179
239765;2;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;643,538614509235
239766;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;729,509691794147
239766;2;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;729,509691794147
239769;2;1;05;80;1;2;1; ;2; ; ; ; ; ;1;05;1515,35505596261
