DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5392574;1;1;1;80; ;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;76;1487,14286732626
5392574;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;1487,14286732626
5392574;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;76;1487,14286732626
5392575;1;1;1;80; ;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;76;1806,0858681761
5392580;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;76;1440,88256489862
5392581;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ;1;48;900000;2;1;03;1,2;76;2158,19249962109
5392581;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;2158,19249962109
5392582;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;76;1845,32200195929
5392582;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;1845,32200195929
5392583;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;500000;2;1;03;1,4;76;2873,35737226537
5392585;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;3649,84097421672
5392585;1;4;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;76;3649,84097421672
5392586;1;1;1;80; ;1;1;3; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;03;4;76;1791,80237505304
5392586;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ;1;40;300000;2;1;03;1,2;76;1791,80237505304
5392586;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;76;1791,80237505304
5392592;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;1973,39063613533
5392592;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;76;1973,39063613533
5392593;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;76;1954,83015932093
5392593;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;1954,83015932093
5392596;1;3;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;2647,17013210497
5392596;1;4;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;76;2647,17013210497
5392596;1;6;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;76;2647,17013210497
5392597;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;4;76;3157,20104156191
5392602;1;3;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;90,4701439237083
5392603;1;3;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;105,546341320457
5392603;1;4;1;80;15;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;105,546341320457
5392604;1;1;1;80;15;1;1;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;83,0073803375721
5392604;1;2;1;80;15;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;4;15;83,0073803375721
5392607;1;2;1;80;15;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;100,398622522541
5392613;1;1;1;80;15;1;1;9;AISLAMIENTO PREVENTIVO POR COVID 19;2; ; ;1; ;2; ;2; ;1;40;1000000;2;1;03;2;15;137,337048228209
5392613;1;3;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;137,337048228209
5392613;1;4;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;137,337048228209
5392613;1;5;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;137,337048228209
5392614;1;1;1;80;15;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;116,932738998088
5392615;1;1;1;80;15;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;4;15;103,918821708425
5392616;1;3;1;80;15;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03; ;15;144,007436566681
5392618;1;4;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;97,9609339911806
5392618;1;5;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;97,9609339911806
5392619;1;1;1;80;15;1;1;9;PANDEMIA;2; ; ;12;PANDEMIA;2; ;2; ; ; ; ;2;1;03;1,2;15;104,558950683975
5392620;1;1;1;80;15;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;1,4;15;140,437229554406
5392620;1;2;1;80;15;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03; ;15;140,437229554406
