DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;CLASE;INI;DPTO;AREA;fex_c_2011
718450;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;106.641.759.653.296
718454;1;3;80;1;3;3;;2;;2;;;;;4;2;1;1;5;5;553.306.947.674.638
718454;1;4;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;553.306.947.674.638
718454;1;5;80;1;4;3;;2;;2;;;;;4;2;1;1;5;5;553.306.947.674.638
718460;1;1;80;1;3;4;;3;;2;;;;;4;2;1;1;5;5;13.356.143.363.063
718460;1;4;80;1;1;3;;2;;2;;;;;4;2;1;1;5;5;13.356.143.363.063
718464;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;748.686.482.503.046
718464;1;3;80;1;1;7;;2;;2;;;;;7;2;1;1;5;5;748.686.482.503.046
718464;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;748.686.482.503.046
718464;1;5;80;2;;;;2;;2;;2;;.;;;1;1;5;5;748.686.482.503.046
718467;1;2;80;1;2;1;;2;;2;;;;;2;2;1;1;5;5;829.950.883.972.246
718467;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;829.950.883.972.246
718468;1;1;80;1;3;3;;2;;2;;;;;4;2;1;1;5;5;996.277.095.050.822
718470;1;1;80;1;2;2;;2;;2;;;;;9;2;1;1;5;5;872.509.427.482.956
718470;1;4;80;2;;;;2;;2;;1;1;;1;;1;1;5;5;872.509.427.482.956
718472;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;775.176.993.364.742
718472;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;775.176.993.364.742
718472;1;6;80;1;2;8;CAMBIO DE DOMICILIO;2;;2;;;1;;4;1;1;1;5;5;775.176.993.364.742
718472;1;8;80;2;;;;2;;2;;2;;.;;;1;1;5;5;775.176.993.364.742
718475;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;780.561.281.507.419
718477;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;703.843.443.973.849
718477;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;703.843.443.973.849
718478;1;3;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;100.924.597.860.325
718479;1;2;80;1;3;7;;2;;2;;;;;11;2;1;1;5;5;826.530.831.481.262
718481;1;4;80;1;1;3;;2;;2;;;;;4;2;1;1;5;5;174.386.974.835.456
718483;1;1;80;1;4;3;;2;;2;;;;;4;2;1;1;5;5;751.647.174.670.654
718483;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;751.647.174.670.654
718484;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;607.876.648.984.122
718484;1;5;80;2;;;;2;;2;;2;;.;;;1;1;5;5;607.876.648.984.122
718486;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;666.335.298.297.804
718488;1;2;80;1;4;5;;2;;2;;;;;9;2;1;1;5;5;953.943.417.262.504
718488;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;953.943.417.262.504
718490;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;660.945.723.842.446
718490;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;660.945.723.842.446
718497;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;829.781.295.661.899
718497;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;829.781.295.661.899
718499;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;746.626.853.206.949
718501;1;1;80;1;4;0;;2;;2;;;;;8;2;1;1;5;5;678.774.883.790.095
718501;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;678.774.883.790.095
718503;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;759.814.419.536.905
718506;1;2;80;1;1;4;;3;;2;;;;;10;2;1;1;5;5;92.792.151.267.669
718509;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;939.805.485.688.124
718509;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;939.805.485.688.124
718511;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;890.105.869.567.301
718513;1;1;80;1;4;7;;2;;2;;;1;;8;1;1;1;5;5;658.890.753.532.135
718513;1;6;80;1;4;7;;2;;2;;;;;4;2;1;1;5;5;658.890.753.532.135
718515;1;1;80;1;4;4;;3;;2;;;3;;4;1;1;1;5;5;924.797.305.804.142
718517;1;2;80;1;1;2;;2;;2;;;;;9;2;1;1;5;5;911.384.873.751.795
718519;1;2;80;1;4;7;;2;;2;;;;;9;2;1;1;5;5;788.960.530.995.267
718520;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;906.443.855.783.425
718523;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;787.561.928.771.885
718523;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;787.561.928.771.885
718523;1;5;80;2;;;;2;;2;;2;;.;;;1;1;5;5;787.561.928.771.885
718523;1;6;80;2;;;;2;;2;;2;;.;;;1;1;5;5;787.561.928.771.885
718526;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;872.679.015.793.303
718526;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;872.679.015.793.303
718528;1;3;80;2;;;;2;;2;;1;1;;2;;1;1;5;5;656.513.470.805.118
718528;1;5;80;2;;;;2;;2;;2;;.;;;1;1;5;5;656.513.470.805.118
718532;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;872.509.427.482.956
718534;1;1;80;1;4;4;;3;;2;;;;;10;2;1;1;5;5;667.739.734.464.765
718535;1;2;80;1;4;2;;2;;2;;;;;9;2;1;1;5;5;885.866.582.123.259
718538;1;2;80;2;;;;2;;2;;2;;.;;;1;1;5;5;665.362.451.737.748
718538;1;3;80;2;;;;2;;2;;2;;.;;;1;1;5;5;665.362.451.737.748
718539;1;1;80;1;4;6;;2;;2;;;;;11;2;1;1;5;5;102.482.937.020.745
718539;1;5;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;102.482.937.020.745
718546;1;3;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;869.087.783.906.747
718546;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;869.087.783.906.747
718548;1;4;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;710.150.212.854.901
718548;1;5;80;2;;;;2;;2;;2;;.;;;1;1;5;5;710.150.212.854.901
718548;1;6;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;710.150.212.854.901
718550;1;1;80;1;4;5;;3;;2;;;;;8;2;1;1;5;5;907.793.641.865.239
718552;1;3;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;791.020.160.291.364
718554;1;1;80;2;;;;2;;2;;2;;.;;;1;1;5;5;582.622.647.443.347
718554;1;5;80;1;1;7;;2;;2;;;;;8;2;1;1;5;5;582.622.647.443.347
718557;1;3;80;1;1;7;;2;;2;;;;;4;2;1;1;5;5;854.340.205.837.693
718557;1;4;80;2;;;;2;;2;;2;;.;;;1;1;5;5;854.340.205.837.693
718557;1;5;80;1;4;7;;2;;2;;;;;8;2;1;1;5;5;854.340.205.837.693
718562;1;1;80;2;;;;2;;2;;2;;.;;;1;1;5;5;793.973.713.559.765
718564;1;1;80;1;4;2;;3;;2;;;;;8;2;1;1;5;5;71.388.950.986.203
718566;1;4;80;1;1;7;;2;;2;;;;;1;2;1;1;5;5;90.899.072.682.079
718566;1;5;80;1;1;7;;2;;2;;;;;1;2;1;1;5;5;90.899.072.682.079
718571;1;1;80;1;4;4;;3;;2;;;;;10;2;1;1;5;5;83.341.139.326.407
718571;4;2;80;1;1;1;;2;;2;;;;;2;2;1;1;5;5;83.341.139.326.407
718571;5;1;80;1;1;3;;2;;1;100000;;;;4;2;1;1;5;5;83.341.139.326.407
718576;1;1;80;1;4;4;;3;;2;;;;;10;2;1;1;5;5;796.232.356.023.343
718577;1;1;80;1;4;7;;2;;2;;;;;8;2;1;1;5;5;611.677.225.594.244
