DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
722977;1;1;90;;1;;1;2;2;2;2;2;2;2;2;14;;42;;;;;;;;;2;25;247.391.305.656.894
722977;1;2;90;;1;;1;2;2;2;2;2;2;2;2;1;;7;;;;;;;;;2;25;247.391.305.656.894
722977;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;247.391.305.656.894
722979;1;1;90;;1;;2;2;2;2;2;2;2;2;2;6;;;;;;;;;;;2;25;218.040.744.041.456
722979;1;2;90;;1;;1;2;2;2;2;2;2;2;2;14;;14;;;;;;;;;2;25;218.040.744.041.456
722980;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;22.478.553.431.674
722980;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;25;22.478.553.431.674
722980;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;25;22.478.553.431.674
722982;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;272.894.895.044.054
722982;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;25;272.894.895.044.054
722982;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;272.894.895.044.054
722982;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;25;272.894.895.044.054
722983;1;1;90;;1;;2;2;2;2;2;2;2;2;2;30;;;;;;;;;;;2;25;486.156.872.461.679
722983;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;14;;;;;;;2;25;486.156.872.461.679
722985;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;33.880.551.777.949
722985;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;21;;;;;;;2;25;33.880.551.777.949
722985;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;33.880.551.777.949
722985;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;33.880.551.777.949
722987;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;14;;;;;;;2;25;218.040.744.041.456
722987;1;2;90;;1;;1;2;2;2;2;2;2;2;2;14;;28;;;;;;;;;2;25;218.040.744.041.456
722988;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;162.385.581.638.282
722988;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;25;162.385.581.638.282
722994;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;25;130.384.108.525.791
722994;1;2;90;;1;;1;2;2;2;2;2;2;2;2;28;;42;;;;;;;;;2;25;130.384.108.525.791
722995;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;25;377.105.599.670.904
722995;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;2;25;377.105.599.670.904
722995;1;3;90;;1;;1;2;2;2;2;2;2;2;2;14;;7;;;;;;;;;2;25;377.105.599.670.904
722995;1;4;90;;1;;1;1;2;2;2;2;2;2;2;5;;7;7;;;;;;;;2;25;377.105.599.670.904
722995;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;25;377.105.599.670.904
722997;1;1;90;;1;;1;2;2;2;2;2;2;2;2;12;;7;;;;;;;;;2;25;193.886.713.805.693
722999;1;1;90;;1;;2;2;1;2;2;2;2;2;2;14;;;;2;;;;;;;2;25;322.251.448.668.305
722999;1;2;90;;1;;1;2;1;2;2;2;2;2;2;7;;28;;42;;;;;;;2;25;322.251.448.668.305
722999;1;3;90;;1;;2;2;2;2;2;2;2;2;2;4;;;;;;;;;;;2;25;322.251.448.668.305
723001;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;25;292.099.875.652.292
723001;1;2;90;;1;;1;2;2;1;2;2;2;2;2;10;;24;;;14;;;;;;2;25;292.099.875.652.292
723001;1;3;90;;2;;1;2;2;1;2;2;2;2;2;;;14;;;7;;;;;;2;25;292.099.875.652.292
723001;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;292.099.875.652.292
723002;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;351.348.413.322.456
723002;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;49;;21;;;;;;;2;25;351.348.413.322.456
723004;1;1;90;;1;;1;2;2;2;2;2;2;2;2;12;;21;;;;;;;;;2;25;162.385.581.638.282
