DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;CLASE;DPTO;AREA;fex_c_2011
718447;1;1;50;1;4;;1;;;;;;;;;;;;;;1;5;5;750.330.453.474.274
718447;1;2;50;2;6;PASEANDO;1;;;;;;;;;;;;;;1;5;5;750.330.453.474.274
718449;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;845.315.981.724.259
718449;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;845.315.981.724.259
718450;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;106.641.759.653.296
718450;1;2;50;2;4;;2;2;2;2;;;1;7;;2;;2;;;1;5;5;106.641.759.653.296
718454;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;553.306.947.674.638
718454;1;3;50;3;4;;2;2;2;2;;;1;11;;;;;;;1;5;5;553.306.947.674.638
718454;1;4;50;3;3;;2;2;2;2;;;1;12;;;;;;;1;5;5;553.306.947.674.638
718454;1;5;50;3;4;;2;2;2;2;;;2;;;;;;;;1;5;5;553.306.947.674.638
718458;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;953.943.417.262.504
718458;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;953.943.417.262.504
718458;1;3;50;3;3;;1;;;;;;;;;;;;;;1;5;5;953.943.417.262.504
718460;1;1;50;1;4;;2;2;2;2;;;2;;;;;;;;1;5;5;13.356.143.363.063
718460;1;2;50;2;6;TRABAJO VOLUNTARIO;2;2;2;1;1;;;;;;;;;1;1;5;5;13.356.143.363.063
718460;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;13.356.143.363.063
718460;1;4;50;1;6;HOPITALIZADA;2;2;2;2;;;1;11;;;;;;;1;5;5;13.356.143.363.063
718460;1;5;50;1;1;;;;;;;;;;;;;;;;1;5;5;13.356.143.363.063
718460;1;6;50;6;1;;;;;;;;;;;;;;;;1;5;5;13.356.143.363.063
718462;1;1;50;1;4;;1;;;;;;;;;;;;;;1;5;5;117.467.241.337.041
718462;1;2;50;2;2;;1;;;;;;;;;;;;;;1;5;5;117.467.241.337.041
718462;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;117.467.241.337.041
718464;1;1;50;1;4;;1;;;;;;;;;;;;;;1;5;5;748.686.482.503.046
718464;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;748.686.482.503.046
718464;1;3;50;3;6;HACER  GIMNASIO;2;2;2;2;;;1;13;NO  ESTA  PREPARADO  PROFESIONALMENTE;;;;;;1;5;5;748.686.482.503.046
718464;1;4;50;3;3;;2;2;2;2;;;2;;;;;;;;1;5;5;748.686.482.503.046
718464;1;5;50;3;3;;2;2;2;2;;;2;;;;;;;;1;5;5;748.686.482.503.046
718467;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;829.950.883.972.246
718467;1;2;50;2;3;;2;2;2;2;;;1;12;;;;;;;1;5;5;829.950.883.972.246
718467;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;829.950.883.972.246
718467;1;5;50;5;1;;;;;;;;;;;;;;;;1;5;5;829.950.883.972.246
718468;1;1;50;1;4;;2;2;2;2;;;1;11;;;;;;;1;5;5;996.277.095.050.822
718468;1;2;50;2;2;;2;2;2;1;2;;;;;;;;;1;1;5;5;996.277.095.050.822
718468;2;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;996.277.095.050.822
718470;1;1;50;1;4;;2;2;2;2;;;2;;;;;;;;1;5;5;872.509.427.482.956
718470;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;872.509.427.482.956
718470;1;4;50;4;4;;2;2;2;2;;;1;6;;2;;2;;;1;5;5;872.509.427.482.956
718472;1;1;50;1;6;VACACIONES;2;1;;;;;;;;;;;;;1;5;5;775.176.993.364.742
718472;1;2;50;2;4;;2;2;2;2;;;1;6;;2;;2;;;1;5;5;775.176.993.364.742
718472;1;3;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;775.176.993.364.742
718472;1;6;50;6;4;;2;2;2;2;;;1;11;;;;;;;1;5;5;775.176.993.364.742
718472;1;7;50;7;1;;;;;;;;;;;;;;;;1;5;5;775.176.993.364.742
718472;1;8;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;775.176.993.364.742
718475;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;780.561.281.507.419
718475;1;2;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;780.561.281.507.419
718476;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;104.265.173.617.048
718477;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;703.843.443.973.849
718477;1;2;50;2;6;TRABAJO  VOLUNTARIO;2;2;2;2;;;1;7;;2;;2;;;1;5;5;703.843.443.973.849
718477;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;703.843.443.973.849
718477;1;4;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;703.843.443.973.849
718478;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;100.924.597.860.325
718478;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;100.924.597.860.325
718478;1;3;50;3;3;;2;2;2;2;;;2;;;;;;;;1;5;5;100.924.597.860.325
718478;1;4;50;4;1;;;;;;;;;;;;;;;;1;5;5;100.924.597.860.325
718479;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;826.530.831.481.262
718479;1;2;50;2;4;;2;2;2;2;;;1;7;;2;;2;;;1;5;5;826.530.831.481.262
718481;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;174.386.974.835.456
718481;1;2;50;2;4;;2;2;2;1;1;;;;;;;;;1;1;5;5;174.386.974.835.456
718481;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;174.386.974.835.456
718481;1;4;50;3;6;HOSPITALIZADO;2;2;2;2;;;1;11;;;;;;;1;5;5;174.386.974.835.456
718483;1;1;50;1;4;;2;2;2;2;;;1;11;;;;;;;1;5;5;751.647.174.670.654
718483;1;2;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;751.647.174.670.654
718484;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;607.876.648.984.122
718484;1;2;50;2;6;ESCUCHAR  MUSICA;2;2;2;1;2;;;;;;;;;1;1;5;5;607.876.648.984.122
718484;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;607.876.648.984.122
718484;1;4;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;607.876.648.984.122
718484;1;5;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;607.876.648.984.122
718486;1;1;50;1;4;;1;;;;;;;;;;;;;;1;5;5;666.335.298.297.804
718486;1;2;50;2;4;;2;2;2;2;;;1;10;;;;;;;1;5;5;666.335.298.297.804
718488;1;1;50;2;1;;;;;;;;;;;;;;;;1;5;5;953.943.417.262.504
718488;1;2;50;1;4;;2;2;2;2;;;1;13;PEREZA;;;;;;1;5;5;953.943.417.262.504
718488;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;953.943.417.262.504
718490;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;660.945.723.842.446
718490;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;660.945.723.842.446
718490;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;660.945.723.842.446
718493;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;760.039.285.259.296
718494;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;996.501.960.773.213
718494;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;996.501.960.773.213
718497;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;829.781.295.661.899
718497;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;829.781.295.661.899
718497;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;829.781.295.661.899
718499;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;746.626.853.206.949
718499;1;2;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;746.626.853.206.949
718500;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;872.509.427.482.956
718500;1;2;50;2;4;;2;2;2;2;;;1;2;;2;;1;4;1;1;5;5;872.509.427.482.956
718500;1;3;50;3;3;;1;;;;;;;;;;;;;;1;5;5;872.509.427.482.956
718501;1;1;50;1;6;IR  AL  MEDICO;2;2;2;2;;;2;;;;;;;;1;5;5;678.774.883.790.095
718501;1;2;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;678.774.883.790.095
718503;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;759.814.419.536.905
718503;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;759.814.419.536.905
718504;1;1;50;1;6;INCAPACITADA;2;1;;;;;;;;;;;;;1;5;5;107.315.289.159.589
718504;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;107.315.289.159.589
718506;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;92.792.151.267.669
718506;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;92.792.151.267.669
718506;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;92.792.151.267.669
718506;1;4;50;4;1;;;;;;;;;;;;;;;;1;5;5;92.792.151.267.669
718506;1;5;50;5;1;;;;;;;;;;;;;;;;1;5;5;92.792.151.267.669
718508;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;10.636.827.764.005
718508;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;10.636.827.764.005
718509;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;939.805.485.688.124
718509;1;2;50;1;1;;;;;;;;;;;;;;;;1;5;5;939.805.485.688.124
718509;1;3;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;939.805.485.688.124
718509;1;4;50;1;3;;2;2;2;2;;;2;;;;;;;;1;5;5;939.805.485.688.124
718511;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;890.105.869.567.301
718511;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;890.105.869.567.301
718511;1;3;50;3;3;;2;2;2;1;2;;;;;;;;;1;1;5;5;890.105.869.567.301
718511;1;4;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;890.105.869.567.301
718511;1;5;50;5;1;;;;;;;;;;;;;;;;1;5;5;890.105.869.567.301
718513;1;1;50;1;6;CAMINAR;2;2;2;2;;;1;11;;;;;;;1;5;5;658.890.753.532.135
718513;1;2;50;2;4;;2;1;;;;;;;;;;;;;1;5;5;658.890.753.532.135
718513;1;4;50;4;3;;1;;;;;;;;;;;;;;1;5;5;658.890.753.532.135
718513;1;5;50;5;1;;;;;;;;;;;;;;;;1;5;5;658.890.753.532.135
718513;1;6;50;6;4;;2;2;2;2;;;2;;;;;;;;1;5;5;658.890.753.532.135
718515;1;1;50;1;6;CAMINAR;2;2;2;2;;;2;;;;;;;;1;5;5;924.797.305.804.142
718515;1;2;50;2;1;;;;;;;;;;;;;;;;1;5;5;924.797.305.804.142
718515;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;924.797.305.804.142
718517;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;911.384.873.751.795
718517;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;911.384.873.751.795
718517;1;3;50;3;1;;;;;;;;;;;;;;;;1;5;5;911.384.873.751.795
718517;1;4;50;4;3;;1;;;;;;;;;;;;;;1;5;5;911.384.873.751.795
718519;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;788.960.530.995.267
718519;1;2;50;2;4;;2;2;2;2;;;2;;;;;;;;1;5;5;788.960.530.995.267
718520;1;1;50;2;1;;;;;;;;;;;;;;;;1;5;5;906.443.855.783.425
718520;1;2;50;2;4;;1;;;;;;;;;;;;;;1;5;5;906.443.855.783.425
718520;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;906.443.855.783.425
718523;1;1;50;1;1;;;;;;;;;;;;;;;;1;5;5;787.561.928.771.885
718523;1;2;50;2;4;;2;2;2;1;1;;;;;;;;;1;1;5;5;787.561.928.771.885
718523;1;3;50;2;3;;2;2;2;2;;;2;;;;;;;;1;5;5;787.561.928.771.885
