DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;CLASE;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
723039;1;1;70;2;48;1;;2;2;1;;2;1;;;;;;;;;;1;;2;;2;2;1;97;97;6042;60;25;329.260.688.001.029
739736;1;2;70;24;48;3;;2;24;3;;1;2;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;15;148.426.076.188.145
739738;1;2;70;48;48;3;;2;8;3;;1;1;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;15;301.572.808.644.267
739741;1;2;70;24;48;1;;2;24;1;;7;1;;;;;;;;;;1;;2;;2;2;1;55;55;6512;65;15;235.262.061.914.831
739741;1;4;70;16;48;1;;2;16;1;;2;1;;;;;;;;;;1;;2;;2;2;1;45;45;5233;52;15;235.262.061.914.831
739766;1;3;70;12;48;1;;2;12;1;;9;1;;;;;;;;;;1;;2;;2;2;1;83;83;2731;27;15;871.293.799.688.346
739766;1;4;70;15;48;1;;2;15;1;;3;1;;;;;;;;;;1;;2;;2;2;1;45;45;5241;52;15;871.293.799.688.346
740452;1;3;70;1;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;39;;;;23;186.500.156.395.497
740462;1;2;70;1;24;3;;2;260;3;;4;1;;;;;;;;;;1;;2;;2;2;1;54;55;9500;95;23;202.660.993.401.517
742589;1;3;70;8;48;1;;2;8;1;;2;1;;;;;;;;;;1;;2;;2;2;1;45;38;6421;64;25;389.553.697.197.431
742617;1;5;70;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;53;;;;25;249.092.240.313.409
742617;1;6;70;4;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;45;;;;25;249.092.240.313.409
742676;1;2;70;56;48;4;;2;72;3;;1;1;;;;;;;;;;1;;2;;2;2;1;56;54;9500;95;25;193.491.186.768.686
742706;1;7;70;28;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;59;;;;25;193.491.186.768.686
742724;1;6;70;52;48;1;;2;52;1;;3;4;;;;;;;;;;1;;2;;2;2;1;62;62;123;1;25;193.491.186.768.686
742727;1;2;70;2;40;1;;2;108;1;;9;1;;;;;;;;;;1;;2;;2;2;1;62;62;112;1;25;687.226.752.803.641
742738;1;1;70;2;48;8;;2;2;4;;1;1;;;;;;;;;;1;;1;30000;2;2;1;62;62;116;1;25;238.539.563.924.748
742745;1;2;70;4;36;3;;2;2;4;;1;7;;;;;;;;;;1;;2;;2;2;1;54;45;5155;51;25;40.744.975.722.199
742756;1;3;70;24;48;1;;2;96;1;;7;1;;;;;;;;;;1;;2;;2;2;1;32;32;7010;70;25;503.062.317.077.981
742804;2;1;70;72;48;3;;2;228;1;;9;1;;;;;;;;;;1;;2;;2;2;1;54;62;112;1;25;205.335.336.824.827
742864;1;2;70;12;48;2;;2;12;2;;9;2;;;;;;;;;;1;;2;;2;2;1;32;32;7512;75;25;281.912.332.282.268
742900;1;2;70;3;48;8;;2;3;8;;3;1;;;;;;;1;;;;;2;;2;2;1;62;62;121;1;25;280.102.989.067.046
745977;1;1;70;4;48;3;;2;3;3;;1;1;;;;;;;;;;1;;1;200000;2;2;1;54;54;9500;95;66;788.561.712.272.402
745980;1;3;70;88;48;2;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;59;;;;66;142.904.870.729.379
745984;1;1;70;4;60;3;;2;4;3;;1;1;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;66;124.925.590.267.847
745988;1;4;70;3;54;3;;2;3;3;;1;1;;;;;;;;;;1;;1;120000;2;2;1;54;54;9500;95;66;943.011.194.537.808
746007;2;2;70;48;54;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;45;;;;66;188.630.107.720.092
746010;1;2;70;5;50;3;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;54;;;;66;190.325.004.679.369
746010;1;3;70;9;54;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;97;;;;66;190.325.004.679.369
746012;1;2;70;16;54;8;;2;16;8;;3;1;;;;;;;;;;1;;2;;2;2;1;62;62;117;1;66;138.703.305.413.072
746018;1;2;70;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;45;;;;66;128.793.302.707.332
746046;1;1;70;1;54;1;;2;1;1;;2;1;;;;;;;;;;1;;1;300000;2;2;1;95;95;4521;45;66;164.475.415.913.341
746046;1;3;70;3;54;8;;2;3;8;;4;1;;;;;;;;;;1;;1;300000;2;2;1;62;62;121;1;66;164.475.415.913.341
746046;1;5;70;52;54;3;;2;28;3;;1;1;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;66;164.475.415.913.341
746079;1;3;70;8;20;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;45;;;;73;240.167.338.118.098
746093;1;2;70;10;40;4;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;79;;;;73;156.364.671.720.121
746093;1;3;70;20;40;1;;2;20;1;;9;2;;;;;;;;;;1;;2;;2;2;1;32;3;8532;85;73;156.364.671.720.121
746093;1;4;70;12;50;3;;2;12;3;;1;2;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;73;156.364.671.720.121
746118;1;2;70;24;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;2;1;54;;;;73;222.360.231.089.586
746120;1;2;70;8;40;3;;2;8;3;;1;1;;;;;;;;;;1;;2;;2;2;1;54;54;9500;95;73;167.093.746.712.029
