DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
718783;1;1;5;80;1;4;3;;3;;2;;;;;4;2;1;5;71.366.464.413.964
718783;1;2;5;80;1;4;2;;2;;2;;;;;9;2;1;5;71.366.464.413.964
718788;1;1;5;80;1;3;4;;3;;2;;;;;10;2;1;5;104.152.269.885.039
718788;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;104.152.269.885.039
718789;1;2;5;80;1;4;6;;2;;2;;;4;;5;1;1;5;849.647.375.039.423
718792;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;953.943.417.262.504
718795;1;4;5;80;2;;;;2;;2;;1;4;;9;;1;5;106.761.064.444.171
718798;1;1;5;80;1;4;7;;2;;2;;;3;;5;1;1;5;707.920.995.248.457
718803;1;3;5;80;1;3;1;;2;;2;;;;;2;2;1;5;661.771.219.851.192
718805;1;1;5;80;1;4;3;;2;;2;;;;;4;2;1;5;684.743.398.403.668
718805;1;2;5;80;1;1;6;;3;;2;;;;;8;2;1;5;684.743.398.403.668
718806;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;743.915.052.845.023
718806;1;7;5;80;2;;;;2;;2;;2;;.;;;1;5;743.915.052.845.023
718811;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;119.519.440.961.853
718815;1;1;5;80;1;4;8;POR SEGURIDAD;3;;2;;;;;8;2;1;5;121.798.477.166.236
718815;1;2;5;80;1;4;3;;2;;2;;;;;4;2;1;5;121.798.477.166.236
718815;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;121.798.477.166.236
718815;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;121.798.477.166.236
718815;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;121.798.477.166.236
718818;1;2;5;80;1;4;3;;3;;2;;;;;4;2;1;5;950.352.185.375.948
718820;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;872.509.427.482.956
718821;1;5;5;80;2;;;;2;;2;;2;;.;;;1;5;649.069.553.366.344
718822;1;5;5;80;2;;;;2;;2;;2;;.;;;1;5;667.422.081.033.844
718822;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;667.422.081.033.844
718822;1;7;5;80;2;;;;2;;2;;2;;.;;;1;5;667.422.081.033.844
718826;1;2;5;80;1;4;7;;2;;2;;;;;11;2;1;5;136.857.654.537.361
718831;1;2;5;80;1;1;6;;2;;1;240000;;1;;4;1;1;5;124.996.830.022.603
718832;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;953.943.417.262.504
718835;1;1;5;80;1;4;3;;2;;2;;;;;4;2;1;5;953.718.551.540.113
718835;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;953.718.551.540.113
718835;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;953.718.551.540.113
718837;1;1;5;80;1;4;3;;3;;2;;;;;4;2;1;5;678.550.018.067.704
718837;1;2;5;80;1;4;8;SE CASO;2;;2;;;;;9;2;1;5;678.550.018.067.704
718839;1;1;5;80;1;3;4;;3;;2;;;;;10;2;1;5;87.505.629.852.032
718843;1;2;5;80;1;1;7;;2;;1;230000;;;;9;2;1;5;833.973.157.834.811
718843;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;833.973.157.834.811
718843;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;833.973.157.834.811
718844;1;1;5;80;1;4;4;;3;;2;;;;;10;2;1;5;878.253.076.374.138
718844;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;878.253.076.374.138
718850;1;1;5;80;1;4;2;;2;;2;;;;;8;2;1;5;684.743.398.403.668
718850;1;2;5;80;1;4;4;;2;;2;;;;;10;2;1;5;684.743.398.403.668
718853;1;1;5;80;1;4;6;;2;;2;;;;;9;2;1;5;7.478.239.381.625
718854;1;2;5;80;1;4;7;;2;;2;;;4;;11;1;1;5;953.943.417.262.504
718859;1;1;5;80;1;4;4;;3;;2;;;;;10;2;1;5;678.550.018.067.704
718859;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;678.550.018.067.704
718859;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;678.550.018.067.704
718860;1;1;5;80;1;4;4;;2;;2;;;;;10;2;1;5;760.039.285.259.296
718861;1;1;5;80;1;4;4;;3;;2;;;;;10;2;1;5;760.039.285.259.296
718862;1;2;5;80;1;1;7;;2;;2;;;;;9;2;1;5;661.546.354.128.801
718862;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;661.546.354.128.801
718866;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;911.384.873.751.795
718868;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;953.943.417.262.504
718871;1;3;5;80;1;1;1;;2;;2;;;;;2;2;1;5;791.245.026.013.754
718871;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;791.245.026.013.754
718875;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;746.626.853.206.949
718877;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;96.713.098.359.246
718881;1;2;5;80;1;4;2;;2;;2;;;;;9;2;1;5;10.216.426.855.531
718888;1;3;5;80;1;1;1;;2;;2;;;;;2;2;1;5;665.362.451.737.748
718889;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;995.321.763.001.746
718893;1;1;5;80;1;4;4;;3;;2;;;;;10;2;1;5;759.814.419.536.905
718893;1;2;5;80;1;1;7;;2;;2;;;;;9;2;1;5;759.814.419.536.905
718894;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;872.679.015.793.303
718894;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;872.679.015.793.303
718896;1;1;5;80;1;4;8;SE CASO;2;;2;;;;;9;2;1;5;87.746.733.263.541
718896;1;4;5;80;2;;;;2;;2;;1;2;;2;;1;5;87.746.733.263.541
718899;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;872.454.150.070.912
718899;1;5;5;80;1;2;1;;2;;2;;;;;2;2;1;5;872.454.150.070.912
718901;1;2;5;80;1;1;8;CUIDAR ALA ABUELA ANCIANA;2;;2;;;;;9;2;1;5;892.059.962.459.223
718901;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;892.059.962.459.223
718902;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;782.226.456.770.777
718902;1;4;5;80;1;1;0;;2;;2;;;;;6;2;1;5;782.226.456.770.777
718902;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;782.226.456.770.777
718904;1;1;5;80;1;4;8;SE CASO;3;;2;;;;;9;2;1;5;760.039.285.259.296
718906;1;2;5;80;1;3;6;;2;;2;;;;;9;2;1;5;658.628.377.513.258
718906;1;5;5;80;2;;;;2;;2;;2;;.;;;1;5;658.628.377.513.258
718908;1;1;5;80;1;4;3;;2;;2;;;;;9;2;1;5;707.920.995.248.457
718908;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;707.920.995.248.457
718909;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;981.763.892.767.466
718909;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;981.763.892.767.466
718911;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;102.511.719.612.163
718915;1;1;5;80;1;1;3;;2;;2;;;;;4;2;1;5;759.814.419.536.905
718915;1;2;5;80;1;4;3;;2;;2;;;;;4;2;1;5;759.814.419.536.905
718924;1;1;5;80;2;;;;3;;2;;2;;.;;;1;5;625.011.602.643.709
718926;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;872.679.015.793.303
718926;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;872.679.015.793.303
718927;1;2;5;80;1;4;2;;2;;2;;;;;9;2;1;5;120.359.365.910.638
718933;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;103.341.476.247.558
718936;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;128.731.214.390.441
718936;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;128.731.214.390.441
718936;1;6;5;80;1;4;3;;2;;2;;;4;;4;1;1;5;128.731.214.390.441
718941;1;2;5;80;1;2;8;CAMBIO  DE CIUDAD;2;;2;;;;;9;2;1;5;98.652.805.948.116
718943;1;1;5;80;1;4;5;;2;;2;;;;;9;2;1;5;822.337.378.223.126
718943;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;822.337.378.223.126
718945;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;95.259.363.118.069
718947;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;661.170.589.564.836
718950;1;2;5;80;1;4;2;;2;;2;;;4;;9;1;1;5;103.043.638.907.368
718952;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;921.206.073.917.585
718954;1;2;5;80;2;;;;2;;1;30000;2;;.;;;1;5;622.409.454.194.301
718956;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;911.384.873.751.795
718958;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;868.487.153.620.391
718960;1;2;5;80;1;2;1;;2;;2;;;;;2;2;1;5;843.363.316.024.593
718960;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;843.363.316.024.593
