Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
186334;2;1;80;1;4;8;POR LA EDAD;2; ; ; ; ; ;2;63;1574,76751881934
186335;2;2;80;2; ; ; ; ; ; ; ; ; ;2;63;1251,84501976389
186336;2;1;80;2; ; ; ; ; ; ; ; ; ;2;63;969,272583233253
186336;2;2;80;1;1;1; ;2; ; ; ; ; ;2;63;969,272583233253
186336;2;3;80;2; ; ; ; ; ; ; ; ; ;2;63;969,272583233253
186336;3;1;80;2; ; ; ; ; ; ; ; ; ;2;63;969,272583233253
186337;2;1;80;2; ; ; ; ; ; ; ; ; ;2;63;1280,9686883325
186337;2;4;80;2; ; ; ; ; ; ; ; ; ;2;63;1280,9686883325
186338;2;3;80;2; ; ; ; ; ; ; ; ; ;2;63;1202,72841969034
186339;2;1;80;1;4;3; ;2; ; ; ; ; ;2;63;1305,34762456253
186340;2;3;80;2; ; ; ; ; ; ; ; ; ;2;63;1267,48434036981
186341;2;2;80;1;4;2; ;2; ; ; ; ; ;2;63;1510,91950734336
186574;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;937,728393887051
186575;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;399,42419609961
186575;2;3;80;1;1;7; ;2; ; ; ; ; ;2;50;399,42419609961
186577;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;966,191658174478
186578;2;2;80;1;4;2; ;2; ; ; ; ; ;2;50;368,585741437763
186580;2;1;80;1;4;3; ;2; ; ; ; ; ;2;50;1095,27229153194
186581;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;560,995767278231
186581;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;560,995767278231
186582;2;2;80;1;1;2; ;2; ; ; ; ; ;2;50;677,524169060198
186583;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186583;2;5;80;2; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186584;2;1;80;2; ; ; ; ; ; ; ; ; ;2;50;774,234541299397
186584;2;3;80;1;2;2; ;2; ; ; ; ; ;2;50;774,234541299397
186585;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;609,037296701308
186585;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;609,037296701308
186585;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;609,037296701308
186587;2;1;80;1;4;3; ;2; ; ; ; ; ;2;50;931,778438944284
186588;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;643,280732880753
186589;2;5;80;2; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186590;2;2;80;1;1;1; ;2; ; ; ; ; ;2;50;764,102273091836
186590;2;3;80;1;1;1; ;2; ; ; ; ; ;2;50;764,102273091836
186591;2;1;80;1;4;2; ;2; ; ; ; ; ;2;50;460,147588532327
186592;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;643,280732880753
186592;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;643,280732880753
186593;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;782,431200433008
186594;2;2;80;1;4;2; ;2; ; ; ; ; ;2;50;1112,06874480199
186595;2;2;80;1;2;2; ;2; ; ; ; ; ;2;50;466,223072851676
186596;2;2;80;1;1;2; ;2; ; ; ; ; ;2;50;772,296863486753
186596;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;772,296863486753
186597;2;2;80;1;1;7; ;2; ; ; ; ; ;2;50;368,585741437763
186597;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
186597;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
186597;2;8;80;2; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
186597;2;9;80;2; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
187445;2;2;80;2; ; ; ; ; ; ; ; ; ;2;63;1225,36901432016
187445;2;3;80;2; ; ; ; ; ; ; ; ; ;2;63;1225,36901432016
187445;2;4;80;2; ; ; ; ; ; ; ; ; ;2;63;1225,36901432016
187880;2;3;80;2; ; ; ; ; ; ; ; ; ;2;17;1279,22893441111
187881;2;2;80;1;4;7; ;2; ; ; ; ; ;2;17;1328,28212015163
187881;2;3;80;2; ; ; ; ; ; ; ; ; ;2;17;1328,28212015163
187881;2;4;80;2; ; ; ; ; ; ; ; ; ;2;17;1328,28212015163
187882;2;2;80;2; ; ; ; ; ; ; ; ; ;2;17;1601,79578552184
187882;2;3;80;2; ; ; ; ; ; ; ; ; ;2;17;1601,79578552184
187882;2;4;80;2; ; ; ; ; ; ; ; ; ;2;17;1601,79578552184
187882;3;2;80;2; ; ; ; ; ; ; ; ; ;2;17;1601,79578552184
187883;2;1;80;2; ; ; ; ; ; ; ; ; ;2;17;1520,90759872839
187884;2;3;80;2; ; ; ; ; ; ; ; ; ;2;17;1240,7475743443
187885;2;1;80;1;4;3; ;2; ; ; ; ; ;2;17;1413,5815662472
187885;2;2;80;1;1;3; ;2; ; ; ; ; ;2;17;1413,5815662472
187886;2;1;80;2; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;5;80;2; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;8;80;1;4;3; ;2; ; ; ; ; ;2;17;778,903396362328
187887;2;3;80;2; ; ; ; ; ; ; ; ; ;2;17;1155,41498787122
189173;3;2;80;1;1;2; ;2; ; ; ; ; ;2;54;1048,11270654064
189175;2;1;80;1;1;2; ;2; ; ; ; ; ;2;54;858,441788310953
189175;2;2;80;2; ; ; ; ; ; ; ; ; ;2;54;858,441788310953
189178;2;2;80;1;4;3; ;2; ; ; ; ; ;2;54;724,255334063676
189179;2;2;80;1;1;2; ;2; ; ; ; ; ;2;54;902,623358512353
189179;2;3;80;2; ; ; ; ; ; ; ; ; ;2;54;902,623358512353
189179;2;4;80;2; ; ; ; ; ; ; ; ; ;2;54;902,623358512353
189180;2;1;80;1;4;2; ;2; ; ; ; ; ;2;54;656,196881692602
189183;2;3;80;2; ; ; ; ; ; ; ; ; ;2;54;1134,25763136484
189184;2;2;80;1;4;2; ;2; ; ; ; ; ;2;54;640,04808705212
189184;2;3;80;2; ; ; ; ; ; ; ; ; ;2;54;640,04808705212
189185;2;1;80;1;4;2; ;2; ; ; ; ; ;2;54;887,348339217816
189185;2;6;80;2; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;7;80;2; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;8;80;2; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189187;2;3;80;1;4;3; ;2; ; ; ; ; ;2;54;888,478813174667
189188;2;1;80;1;4;2; ;2; ; ; ; ; ;2;54;815,80755881229
189188;2;2;80;1;2;6; ;2; ; ; ; ; ;2;54;815,80755881229
189188;2;5;80;2; ; ; ; ; ; ; ; ; ;2;54;815,80755881229
189569;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1177,35147053992
189569;2;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1177,35147053992
