Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
176764;2;3;13;70;12;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;13;481,080445529663
176775;2;2;23;70;1;44;1; ;1;1;2;28;1; ;5;2;2; ;2; ;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;1;200000;1;32;39;5511;55;23;112,388277947538
176776;2;5;23;70;6;40;3; ;1;1;2;22;3; ;2;2;7; ;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;54;54;9500;95;23;110,53498081736
176777;2;3;23;70;4;48;1; ;1;1;2;8;1; ;6;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4200000;1;45;45;5233;52;23;134,224311956818
176780;2;5;23;70;1;30;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;23;153,378829570059
176786;2;2;23;70;3;40;1; ;1;1;2;4;4; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;1;13;17;9214;92;23;136,066046973379
176851;2;2;52;70;12;40;1; ;1;1;2;312;2; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;32;7512;75;52;123,318037036812
176856;2;1;52;70;8;48;1; ;1;1;2;8;1; ;4;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4488000;1;45;45;5051;50;52;118,755777592525
176881;2;1;68;70;2;50;4; ;1;1;2;2;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;51000;1;80000;1;56;56;9500;95;68;382,345955621433
176881;2;2;68;70;24;48;1; ;1;1;2;24;1; ;2;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;45;5233;52;68;382,345955621433
176881;2;4;68;70;1;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;44; ; ; ;68;382,345955621433
176883;2;3;68;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;03; ; ; ;68;470,071360293011
176895;2;2;05;70;16;55;1; ;1;1;2;16;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3264000;1;45;45;5225;52;05;811,302384152841
176896;2;2;05;70;4;48;1; ;1;1;2;4;1; ;9;1; ;.;9;MEDICO DE LA UNIVERSIDAD;1; ;.; ; ; ; ; ; ; ; ;1; ;1;650000;1;7150000;1;37;37;9241;92;05;874,286614445681
176896;2;3;05;70;4;17;2; ;1;1;2;208;1; ;7;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;18;72;2731;27;05;874,286614445681
176897;2;3;05;70;36;48;1; ;1;1;2;36;1; ;7;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;5225;52;05;666,86172617981
176904;2;1;05;70;4;48;1; ;1;1;2;240;1; ;6;1; ;.;9;ES PENSIONADO POR LO CUAL TIENE SALUD.;1; ;.; ; ; ; ; ; ; ;1; ;SIN INFORMACION;2; ;2; ;1;58;58;5233;52;05;742,36520231135
176904;2;2;05;70;2;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;742,36520231135
176913;2;5;05;70;28;48;1; ;1;1;2;20;1; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;57;57;9302;93;05;666,272976424661
176916;2;2;05;70;4;48;1; ;2;2;2;6;1; ;9;1; ;.;2; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;7280000;1;13;13;8041;80;05;674,53471298093
176921;2;3;05;70;12;24;4; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;05;799,773363339676
176929;2;1;05;70;2;48;1; ;1;1;2;2;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;180000;1;1000000;1;95;95;4521;45;05;826,168118444849
176937;2;1;05;70;24;70;1; ;1;1;2;24;1; ;6;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;1;95;95;4521;45;05;778,618177145411
176939;2;2;05;70;36;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;683,522894438688
176942;2;2;05;70;4;56;1; ;1;1;2;4;1; ;3;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;3500000;1;79;78;1810;18;05;952,618574127667
176943;2;1;05;70;4;48;3; ;1;1;2;52;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;869,580737216259
