Directorio;Secuencia_p;Orden;Area;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Dpto;Fex_c_2011
176759;2;1;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;440,309161336011
176759;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;440,309161336011
176759;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;440,309161336011
176759;2;5;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;440,309161336011
176760;2;1;13;95;1; ;1;2; ; ;70000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;13;438,732796123095
176761;2;1;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;566,348694311882
176761;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;566,348694311882
176761;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;566,348694311882
176762;2;1;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;521,587904947997
176762;2;2;13;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;60000;2;1;2;13;521,587904947997
176762;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;521,587904947997
176762;2;4;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;521,587904947997
176763;2;1;13;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;50000;2;1;2;13;408,658927953436
176763;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;408,658927953436
176763;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;408,658927953436
176763;3;1;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;408,658927953436
176764;2;1;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;481,080445529663
176764;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;481,080445529663
176764;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;481,080445529663
176764;2;4;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;481,080445529663
176764;2;5;13;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;50000;2;1;2;13;481,080445529663
176766;2;1;13;95;1; ;2;1; ;98; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;13;233,710755540159
176766;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;233,710755540159
176766;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;233,710755540159
176767;2;1;13;95;1; ;2;1; ;98; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;13;200,108480902446
176767;2;2;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;200,108480902446
176767;2;3;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;200,108480902446
176767;2;4;13;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;13;200,108480902446
