DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4126417;1;2;1;70;2;20;48;1; ;2;40;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8012;08;05;4955,015754113
4126419;1;2;1;70;2;20;48;1; ;2;250;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8011;08;05;4813,0835528737
4126449;1;2;1;70;2;4;48;1; ;2;28;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5242;08;05;4975,42903398294
4126452;1;1;1;70;2;24;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;94;36;1;2;3699;08;05;3448,89466869776
4126454;1;5;1;70;2;8;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;95;45;1;1;4522;08;05;5485,86528150953
4126601;1;2;1;70;2;8;25;4; ;2;8;4; ;1;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;61;99;93;1;1;9309;08;63;1127,18829621273
4126612;1;3;1;70;2;10;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;08;63;851,023261670926
4126613;1;2;1;70;2;4;50;4; ;2;104;4; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;21;21;75;1;1;7512;08;63;636,531360079726
4126613;1;3;1;70;2;52;84;4; ;2;62;4; ;9;2;1; ; ; ; ; ; ; ; ;1;DE LA PENSION; ;2; ;98;98;75;1;2;7512;08;63;636,531360079726
4126634;1;2;1;70;2;4;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;34;1;1;3420;08;66;1195,1136662133
4126639;1;3;1;70;2;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;53;53;55;1;1;5522;08;66;1175,1097544956
4126640;1;5;1;70;2;5;50;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;95;95;45;1;1;4521;08;66;911,357829085695
4126646;1;2;1;70;2;8;40;3; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;1;5529;08;66;1195,1136662133
4126650;1;5;1;70;2;4;48;1; ;2;32;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;34;59;18;1;1;1810;08;66;1095,65973989279
4126656;1;1;1;70;2;4;50;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;60;60;01;1;1;0113;08;66;2053,26506999942
4126668;1;3;1;70;2;40;48;1; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;54;95;1;2;9500;08;05;1065,96601524981
