DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4126402;1;1;1;60;2;5;1;2;1; ;1; ; ;1;1;2;1;192; ;1; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;1;118000;2;2; ; ;2; ; ;2; ; ;1;1000000;1;125000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;50; ;.;50; ; ;7;8; ;1; ;1;1;1;16;1;1; ; ; ; ; ; ; ; ;1;1;1;0;240;4; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;1;1;2;2;2;2;1;2;2; ;2;1;2;1;1;1;1;1;1; ;62;01;1;8;0113; ; ;1000000;08;05;5106,71833654408
4126403;1;1;1;60;2;5;1;1; ; ;1; ; ;1;2;2;2;24; ;1; ;2;100000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;60;4; ;1;5;10;6; ; ;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;54;95;1;3;9500; ; ;100000;08;05;4157,14180987061
4126403;1;2;1;60;2;5;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1;2100000;3; ;12;60; ;.;60; ; ;2;1; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;24;12;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;53;55;1;4;5529; ; ;300000;08;05;4157,14180987061
4126404;1;1;1;60;2;5;1;2;2;2;1; ; ;1;1;2;1;6; ;1; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;1;60000;2;2; ; ;2; ; ;2; ; ;1;400000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;58; ;.;58; ; ;8;8; ;1; ;1;2;1;7;1;1; ; ; ; ; ; ; ; ;1;1;1;0;72;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;62;01;1;8;0113; ; ;1000000;08;05;7255,65197290689
4126404;2;1;2;60;2;5;1;2;2;3;1; ; ;1;1;2;1;72; ;1; ;2;700000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;1;60000;2;2; ; ;2; ; ;2; ; ;1;700000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;60; ;.;60; ; ;9;8; ;1; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;1;2;42;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;62;01;1;8;0113; ; ;700000;08;05;7255,65197290689
4126416;1;2;1;60;2;5;1;2;1; ;1; ; ;1;1;2;1;12; ;2; ;2;900000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;77700;2;1;60000;2;2; ; ;2; ; ;2; ; ;1;900000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;9;7; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;1;2;48;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;32;01;1;1;0113; ; ;900000;08;05;3834,98803474174
4126416;1;3;1;60;2;5;1;2;2;3;1; ; ;2;1;2;1;5; ;1; ;2;1400000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;1;61000;2;2; ; ;2; ; ;2; ; ;2; ;1;230000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;9;8; ;1; ;1;1;1;12;1;1; ; ; ; ; ; ; ; ;1;1;1;0;36;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;5; ;62;01;1;8;0113; ; ;1400000;08;05;3834,98803474174
4126418;1;1;1;60;2;5;1;2;1; ;1; ; ;1;1;2;1;72; ;1; ;2;1100000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;77700;2;1;97000;2;2; ; ;2; ; ;2; ; ;1;1100000;1;136000;2; ;2; ;1;294000;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;5;7; ;1; ;1;1;1;14;1;1; ; ; ; ; ; ; ; ;1;1;1;0;24;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;97;01;1;1;0113; ; ;1100000;08;05;5151,72695609416
4126418;1;2;1;60;2;5;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;3;80000;1;960000;3; ;12;12;2; ;12; ; ;1;5; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;52;1;4;5261; ; ;80000;08;05;5151,72695609416
4126419;1;1;1;60;2;5;1;2;1; ;1; ; ;1;1;2;1;24; ;1; ;2;800000;2; ; ;2; ;2; ;1;78000;2; ;2; ; ;2; ; ;1;29000;2;2; ; ;2; ; ;2; ; ;1;800000;2; ;1;400000;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;9;7; ;1; ;1;1;1;18;1;1; ; ; ; ; ; ; ; ;1;1;1;0;48;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;97;01;1;1;0113; ; ;800000;08;05;4813,0835528737
