DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011;AREA
4116584;1;2;1;80;1;1;3;3; ;2; ; ;9; ;1;4;2; ;1;08;05;1146,75945888007;05
4116585;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1127,1294312855;05
4116586;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1131,86284877179;05
4116587;1;1;1;80;1;1;2;4; ;2; ; ;4; ;1;2;2; ;1;08;05;1096,40612220317;05
4116587;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1096,40612220317;05
4116588;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1067,8793096311;05
4116588;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;08;05;1067,8793096311;05
4116590;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;1150,90584156462;05
4116591;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;08;05;1126,85479445911;05
4116592;1;1;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ;1;08;05;1093,97867943212;05
4116592;1;2;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;08;05;1093,97867943212;05
4116593;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ;1;08;05;1088,13548498533;05
4116594;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;08;05;1118,86486667174;05
4116594;1;3;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;08;05;1118,86486667174;05
4116595;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;967,07826439199;05
4116595;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;08;05;967,07826439199;05
4116596;1;2;1;80;1;2; ; ; ; ;1;4;9; ;2; ;2; ;1;08;05;1106,14152139807;05
