DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4251170;1;1;1;70;05;108;48;4; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;02;05;1028,81964647171
4251178;1;5;1;70;05;5;48;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;02;05;1173,36395087257
4251183;1;2;1;70;05;24;48;1; ;2;50;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;38;77;55;1;2;5529;02;05;1156,15626085862
4251193;1;4;1;70;05;8;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;02;05;1045,41638196313
4251205;1;2;1;70;05;4;48;1; ;2;4;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5234;02;05;886,234264183219
4251208;1;1;1;70;05;4;48;1; ;2;8;1; ;6;2;3; ; ; ; ; ;1; ; ; ; ; ;2; ;21;45;52;1;1;5241;02;05;1230,58029324275
4251211;1;3;1;70;05;20;48;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;45;1;2;4543;02;05;1222,15294202627
4251212;1;1;1;70;05;52;48;5; ;2;52;5; ;9;2;1; ; ;1; ;1; ; ; ; ; ; ;2; ;02;02;45;1;2;4530;02;05;1243,69894705026
4251214;1;4;1;70;05;24;48;4; ;2;156;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;92;1;2;9231;02;05;1348,97636475504
4251219;1;1;1;70;05;1;48;1; ;2;1;1; ;9;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;735000;39;53;55;1;1;5521;02;05;830,580613563851
