DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4256539;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;02;68;780,263335663505
4256540;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;02;68;1194,5117272775
4256542;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;02;68;1065,39795834561
4256543;1;2;1;80;2;1;1;9;POR EMBARAZO;2; ; ;12;POR EMBARAZO;2; ;2; ;1;02;68;870,776780122315
4256544;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;02;68;1638,24414651971
4256545;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;68;1326,44318970547
4256546;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;02;68;651,029407574309
4256547;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;02;68;847,044083390374
4256547;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;68;847,044083390374
4256549;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;68;1041,76052618279
4256549;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;68;1041,76052618279
4256551;1;2;1;80;2;1;4;4; ;2; ; ;9; ;2; ;2; ;1;02;68;1577,54097492119
4256551;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;68;1577,54097492119
4257863;1;4;1;80;2;1;3;8; ;2; ; ;9; ;2; ;2; ;1;02;76;3756,91921555573
4257864;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;3255,15624335997
4257864;1;3;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;02;76;3255,15624335997
4257866;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;76;7315,65218440895
4257866;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;7315,65218440895
4257867;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;6131,01033915231
4257867;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;6131,01033915231
4257870;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;6778,24361708109
4257870;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;6778,24361708109
4257874;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;76;5415,71485973818
4257875;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;7985,87509387312
4257876;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;02;76;6272,25249185085
4257877;2;2;2;80;2;1;1;6; ;2; ; ;9; ;2; ;2; ;1;02;76;7767,71885568033
4257879;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;13;1382,4201319651
4257880;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;13;1647,03508864576
4257881;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;13;1523,73197039511
4257882;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;02;13;989,100837262873
4257882;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;13;989,100837262873
4257883;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;02;13;1288,71545401665
4257883;1;3;1;80;2;1;3;2; ;2; ; ;2; ;2; ;2; ;1;02;13;1288,71545401665
4257884;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;02;13;1382,4201319651
4261172;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;02;76;2026,46930180436
4261173;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;02;76;1954,94774099466
4261174;1;1;1;80;2;1;4;4; ;2; ; ;4; ;3; ;2; ;1;02;76;1954,94774099466
