DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4741410;1;1;1;70;2;12;48;1; ;2;12;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;95;95;45;1;1;10;4521;76;1405,65247159029
4741415;1;1;1;70;2;157;54;1; ;2;156;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;53;55;1;2;10;5521;76;5903,74038067921
4741418;1;2;1;70;2;104;60;2; ;2;156;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;55;80;1;2;10;8042;76;1405,65247159029
4742263;1;3;1;70;2;10;48;1; ;2;10;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;39;36;1;1;10;3699;05;902,205143555435
4742302;1;2;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;97; ; ;1;1;10; ;05;2765,92127082076
4742307;1;1;1;70;2;99;48;1; ;2;99;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;95;95;45;1;2;10;4521;05;3432,33146727692
4742307;1;2;1;70;2;50;48;1; ;2;50;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2200000;2; ;39;45;52;1;2;10;5211;05;3432,33146727692
4742308;1;2;1;70;2;12;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;39;01;1;1;10;0113;05;4936,32261326682
4742310;1;2;1;70;2;12;48;3; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;53;55;1;1;10;5529;05;5507,10534863273
4742311;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;30; ; ;1;1;10; ;05;4964,26447837618
4742319;1;3;1;70;2;144;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;13; ; ;1;2;10; ;05;1582,80404692434
4742319;1;5;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;45; ; ;1;1;10; ;05;1582,80404692434
4742331;1;3;1;70;2;3;40;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;70000;500000;2; ;62;62;01;1;1;10;0121;05;2428,3736101917
4742342;1;1;1;70;2;40;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2;10; ;05;4314,74047854004
4742357;1;4;1;70;2;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;10;5233;66;2223,3147557649
4742400;1;2;1;70;2;1;40;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;62; ; ;1;1;10; ;66;1534,40303628256
4742409;1;4;1;70;2;40;50;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;38;64;1;2;10;6422;66;675,600251942088
4742541;1;1;1;70;2;2;40;3; ;2;40;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;1;10;9500;73;3767,57101945031
4742543;1;2;1;70;2;4;36;1; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;54;95;1;1;10;9500;73;1801,50107800541
4742544;1;2;1;70;2;5;24;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;45;45;52;1;1;10;5233;73;2881,79008652867
4742548;1;3;1;70;2;40;48;1; ;2;40;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;869453;2; ;33;61;01;1;2;10;0119;73;3755,51253365666
4742551;1;2;1;70;2;1;48;1; ;2;52;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;45;45;52;1;1;10;5211;73;2761,3101140603
4742579;1;3;1;70;2;8;60;8; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;62;62;01;1;1;10;0130;73;1523,60494561959
4742581;1;2;1;70;2;3;40;4; ;2;12;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;54;95;1;1;10;9500;73;2112,17517362431
4742582;1;3;1;70;2;88;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2;10; ;73;2298,50809737174
4742623;1;1;1;70;2;3;48;1; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;598000;781242;2; ;95;62;01;1;1;10;0121;05;2915,06191844235
4743997;1;5;1;70;2;14;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;250000; ; ;54; ; ;1;2;10; ;23;1232,09683609967
4746793;1;3;1;70;2;13;44;4; ;2;13;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;32;54;95;1;1;10;9500;52;1384,73317418813
4746808;1;4;1;70;2;4;48;3; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;54;62;01;1;1;10;0130;52;1384,73317418813
4746811;1;1;1;70;2;2;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;61;61;01;1;1;10;0140;52;1384,73317418813
4746821;1;3;1;70;2;16;40;3; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;59;59;95;1;2;10;9500;52;1384,73317418813
4746839;1;3;1;70;2;8;40;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;33;53;55;1;1;10;5521;52;1493,46156003123
4746921;1;2;1;70;2;12;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;700000;2; ;55;55;74;1;1;10;7493;54;873,505777768029
4747024;1;3;1;70;2;4;45;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;54; ; ;1;1;10; ;54;512,555786883562
4747051;1;1;1;70;2;2;54;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;500000;2; ;61;61;01;1;1;10;0116;54;1485,98402634166
4747226;1;3;1;70;2;52;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;13;13;80;1;2;10;8060;63;3432,33146727692
4747226;1;4;1;70;2;6;16;4; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;240000;2; ;59;59;63;1;1;10;6340;63;3432,33146727692
4747241;1;1;1;70;2;1;50;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;180000;800000;2; ;99;99;90;1;1;10;9000;63;3638,04958095386
4747241;1;2;1;70;2;1;40;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;180000;800000;2; ;99;99;90;1;1;10;9000;63;3638,04958095386
4747245;1;2;1;70;2;1;20;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;57; ; ;1;1;10; ;63;3308,44536319649
4747247;1;1;1;70;2;3;48;3; ;2;3;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;400000;2; ;54;53;01;1;1;10;0117;63;2587,22383209169
4747254;1;1;1;70;2;5;40;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;97;97;63;1;1;10;6310;63;3188,84215701232
4747270;1;1;1;70;2;2;40;8; ;2;2;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;400000;2; ;62;62;01;1;1;10;0111;63;2098,76939243433
4747342;1;2;1;70;2;6;30;4; ;2;28;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;79;54;95;1;1;10;9500;70;1033,27518949053
4747357;1;2;1;70;2;12;40;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;85;1;1;10;8512;70;1260,70626050715
