DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4731515;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;2004,16783013152
4731515;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;2004,16783013152
4731516;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;10;2;1;76;3210,93597502504
4731516;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3210,93597502504
4731517;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3091,34493810294
4731517;1;2;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;3091,34493810294
4731517;1;4;1;50; ;1; ; ;4;6;OCIO;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;3091,34493810294
4731518;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;1712,71390888675
4731518;1;2;1;50; ;1; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;1712,71390888675
4731522;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3441,92052825641
4731522;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3441,92052825641
4731522;1;3;1;50; ;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;10; ;1;76;3441,92052825641
4731522;1;4;1;50; ;1;2; ;4;4; ;2;2;2;1; ; ; ; ; ; ; ;1;10; ;1;76;3441,92052825641
4731523;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;10;2;1;76;2706,51791982139
4731523;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;2706,51791982139
4731523;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;10;2;1;76;2706,51791982139
4731523;1;4;1;50; ;1; ; ;4;3; ;2;2;2;2;1;6; ;2; ;2; ; ;10;1;1;76;2706,51791982139
4731523;1;5;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;2706,51791982139
4731523;1;6;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;2706,51791982139
4731523;1;7;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;2706,51791982139
4731526;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3579,20641240547
4731526;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;10;2;1;76;3579,20641240547
4731527;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3568,21309489757
4731527;1;2;1;50; ;1; ; ;2;6;OCIO;2;2;2;2;1;4; ;1;2; ; ; ;10;1;1;76;3568,21309489757
4731527;1;3;1;50; ;1; ; ;3;6;OCIO;2;2;2;2;1;4; ;1;2; ; ; ;10;1;1;76;3568,21309489757
4731528;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3381,46858498381
4731528;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3381,46858498381
4731529;1;1;1;50; ;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;2670,59371847578
4731529;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;10; ;1;76;2670,59371847578
4731530;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;3132,24487421714
4731530;1;2;1;50; ;1; ; ;2;6;OCIO;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;76;3132,24487421714
4731530;1;3;1;50; ;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;76;3132,24487421714
4731531;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1304,33229495322
4731531;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1304,33229495322
4731532;1;1;1;50;05;1; ; ;1;6;AUTOCONSTRUCCION DE LA VIVIENDA;2;2;2;2;1;11; ; ; ; ; ; ;10;2;1;05;1129,36575724287
4731532;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1129,36575724287
4731532;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1129,36575724287
4731533;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1299,60469665687
4731533;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;5; ;2; ;2; ; ;10;1;1;05;1299,60469665687
4731533;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1299,60469665687
4731533;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1299,60469665687
4731533;1;5;1;50;05;1; ; ;5;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1299,60469665687
4731534;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1166,2437044988
4731534;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1166,2437044988
4731535;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1043,01242815539
4731535;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1043,01242815539
4731535;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1043,01242815539
4731535;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1043,01242815539
4731535;1;5;1;50;05;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1043,01242815539
4731536;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;10;2;1;05;857,640285051725
4731536;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;857,640285051725
4731536;1;3;1;50;05;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;10; ;1;05;857,640285051725
4731536;1;4;1;50;05;1;2; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;10; ;1;05;857,640285051725
4731536;1;5;1;50;05;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;857,640285051725
4731537;1;1;1;50;05;1; ; ;1;6;DORMIR;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1173,8774068508
4731537;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1173,8774068508
4731537;1;3;1;50;05;1; ; ;3;6;LICENCIA DE MATERNIDAD;2;1; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1173,8774068508
4731538;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1108,91255392405
4731538;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;1;05;1108,91255392405
4731539;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1097,15527026815
4731539;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10; ;1;05;1097,15527026815
