DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1;P750S1A1;P750S2;P750S2A1;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;P750S3;P750S3A1;P750S4;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;MES;DPTO;fex_c_2011
5544837;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1285.9819082
5544838;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;880.2585807
5544838;1;2;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1755606;05;09;05;880.2585807
5544838;1;3;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1755606;05;09;05;880.2585807
5544839;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1049.1852244
5544839;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;100000;2;;05;09;05;1049.1852244
5544840;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1445.3325747
5544840;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1445.3325747
5544840;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1445.3325747
5544841;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1185.0157658
5544841;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1185.0157658
5544841;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1185.0157658
5544841;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1185.0157658
5544841;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1185.0157658
5544842;1;1;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1755606;05;09;05;1049.1852244
5544842;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1049.1852244
5544843;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;80000;2;;05;09;05;1194.591743
5544843;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1800000;05;09;05;1194.591743
5544844;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;964.39337898
5544844;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;964.39337898
5544845;1;1;1;95;2;;;;;;;1;2;;2;;1;1160000;;;1;1160000;;;;;;;1;"MEDELLIN;TE;CUIDA";1160000;;;;2;;2;;2;;05;09;05;2862.2013931
5544845;1;2;1;95;2;;;;;;;1;2;;1;450000;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;2862.2013931
5544845;1;4;1;95;2;;;;;;;1;2;;1;500000;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;2862.2013931
5544845;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2862.2013931
5544845;1;6;1;95;2;;;;;;;1;2;;1;600000;2;;;;;;;;;;;;;;;;;;1;300000;2;;2;;05;09;05;2862.2013931
5544846;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;100000;2;;05;09;05;1071.3788705
5544846;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1071.3788705
5544846;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1071.3788705
5544847;1;1;1;95;2;;;;;;;1;2;;1;1200000;1;1480000;;;1;1480000;;;;;;;1;"INGRESO;SOLIDARIO";1480000;;;;2;;2;;2;;05;09;05;1183.979828
5544847;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1183.979828
5544847;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1183.979828
5544847;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1183.979828
5544848;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2663.4002175
5544848;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2663.4002175
5544849;1;1;1;95;2;;;;;;;1;1;2300000;2;;1;1760000;;;1;1760000;;;;;;;1;"FONDO;DE;SOLIDARIDAD";1760000;;;;2;;1;400000;2;;05;09;05;1531.114122
5544850;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1399.1903717
5544850;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109800;2;;05;09;05;1399.1903717
5544851;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;979.94689872
5544851;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;979.94689872
5544852;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1468.8084746
5544852;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1468.8084746
5544853;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;1100000;2;;05;09;05;1256.5260471
5544855;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1268.1146263
5544855;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1268.1146263
5544855;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1268.1146263
5544856;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2051.3301986
5544856;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;;1;1920000;;;;;;;1;"EL;BONO;SOLIDARIO";1920000;;;;2;;2;;2;;05;09;05;2051.3301986
5544856;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2051.3301986
5544857;1;1;1;95;2;;;;;;;1;2;;2;;1;240000;;;1;240000;1;240000;;;;;;;;;;;2;;2;;2;;05;09;05;1216.7853891
5544857;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;90000;2;;05;09;05;1216.7853891
5544857;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1216.7853891
5544858;1;1;1;95;2;;;;;;;1;2;;1;36000000;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;979.94689872
5544858;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;979.94689872
5544859;1;1;1;95;2;;;;;;;1;2;;2;;1;960000;;;1;960000;;;;;1;960000;;;;;;;2;;2;;2;;05;09;05;2222.239057
5544860;1;1;1;95;1;2;;1;1260000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2800000;05;09;05;680.71817887
5544860;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;680.71817887
5544861;1;1;1;95;2;;;;;;;1;2;;2;;1;120000;;;1;120000;1;120000;;;;;;;;;;;2;;2;;2;;05;09;05;2385.9647423
5544861;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;200000;05;09;05;2385.9647423
5544861;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2385.9647423
5544861;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2385.9647423
5544862;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2000000;05;09;05;2663.4002175
5544862;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2500000;05;09;05;2663.4002175
5544863;1;1;1;95;2;;;;;;;1;2;;2;;1;800000;;;1;800000;;;;;;;1;"INGRESO;SOLIDARIO";800000;;;;2;;2;;2;;05;09;05;2313.6754581
5544863;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2313.6754581
5544864;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109023;2;;05;09;05;2342.134377
5544864;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2342.134377
5544865;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2126.2676034
5544865;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2126.2676034
5544865;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109023;2;;05;09;05;2126.2676034
5544865;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2126.2676034
5544865;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2126.2676034
5544866;1;1;1;95;2;;;;;;;1;2;;2;;1;400000;;;1;400000;;;;;;;1;"INGRESO;SOLIDARIO";400000;;;;2;;2;;2;;05;09;05;2341.4801409
5544866;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1000000;05;09;05;2341.4801409
5544867;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;547.45171249
5544867;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;547.45171249
5544867;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;547.45171249
5544868;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;726.43637944
5544868;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;726.43637944
5544868;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;726.43637944
5544868;1;4;1;95;2;;;;;;;1;1;2500000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;726.43637944
5544869;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;489.97344936
5544869;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;489.97344936
5544870;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;699.80718707
5544870;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;699.80718707
5544871;1;1;1;95;1;2;;1;1000000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1407.1545583
5544871;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1407.1545583
5544871;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1407.1545583
5544872;1;1;1;95;1;2;;1;855000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1980000;05;09;05;2722.8727155
5544872;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2722.8727155
5544873;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;485.84870028
5544873;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;485.84870028
5544873;1;3;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908526;05;09;05;485.84870028
5544874;1;1;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1785000;05;09;05;528.57470553
5544874;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;528.57470553
5544874;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;1300000;2;;05;09;05;528.57470553
5544875;1;1;1;95;2;;;;;;;1;1;200000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;1285.9819082
5544876;1;1;1;95;1;1;600000;1;1620000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;3600000;05;09;05;603.23035503
5544876;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;603.23035503
5544876;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;603.23035503
5544876;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;603.23035503
5544878;1;1;1;95;1;2;;1;1000000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1156.8377291
5544878;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1156.8377291
5544879;1;1;1;95;2;;;;;;;1;2;;2;;1;1600000;;;1;1600000;;;;;;;1;"INGRESO;SOLIDARIO";1600000;;;;2;;2;;2;;05;09;05;3013.20859
5544879;1;2;1;95;2;;;;;;;1;2;;2;;1;1600000;;;1;1600000;;;;;;;1;"EL;BONO;SOLIDARIO";1600000;;;;2;;1;144000;2;;05;09;05;3013.20859
5544879;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;3013.20859
5544879;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;3013.20859
5544880;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1522.8203985
5544880;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1522.8203985
5544881;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1100000;05;09;05;1025.6650993
5544881;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1025.6650993
5544881;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1025.6650993
5544882;1;1;1;95;2;;;;;;;1;2;;2;;1;720000;;;1;720000;;;;;1;720000;;;;;;;2;;2;;2;;05;09;05;2722.8727155
5544882;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2722.8727155
5544883;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1256.5260471
5544884;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;98;2;;05;09;05;1156.8377291
5544884;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1156.8377291
5544885;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1347.9580188
5544885;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1347.9580188
5544886;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1100000;05;09;05;1385.7120328
5544886;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;100000;2;;05;09;05;1385.7120328
5544887;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;100000;2;;05;09;05;1399.1903717
5544887;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;100000;2;;05;09;05;1399.1903717
5544888;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1087.5994034
5544888;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1087.5994034
5544889;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2600000;05;09;05;1896.3545509
5544889;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;132000;2;;05;09;05;1896.3545509
5544889;1;3;1;95;2;;;;;;;1;2;;2;;1;1600000;;;1;1600000;;;;;;;1;"BONO;SOLIDARIO";1600000;;;;2;;2;;2;;05;09;05;1896.3545509
5544889;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1896.3545509
5544890;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1339.9938322
5544891;1;1;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1656000;05;09;05;1049.1852244
5544891;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1049.1852244
5544892;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1202.5559296
5544892;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1202.5559296
5544892;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1202.5559296
5544893;1;1;1;95;2;;;;;;;1;2;;2;;1;1000000;;;1;1000000;;;;;;;1;"AYUDAS;POR;SER;MADRE;SUSTITUTA(ICBF)";1000000;;;;2;;2;;2;;05;09;05;1558.4923835
5544893;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;98;2;;05;09;05;1558.4923835
5544893;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1558.4923835
5544894;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;150000;2;;05;09;05;979.94689872
5544894;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;979.94689872
5544895;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1487.8845788
5544895;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1487.8845788
5544895;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1487.8845788
5544895;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1487.8845788
5544895;1;5;1;95;2;;;;;;;1;2;;1;98;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;1487.8845788
5544896;1;1;1;95;1;2;;1;835844;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;918823;05;09;05;2599.0041073
5544896;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2599.0041073
5544896;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;122400;2;;05;09;05;2599.0041073
5544897;1;1;1;95;1;2;;1;1300000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1300000;05;09;05;1267.7324304
5544897;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1267.7324304
5544897;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1267.7324304
5544897;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1267.7324304
5544897;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1267.7324304
5544898;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2357.9791372
5544899;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2358.0764465
5544899;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;2358.0764465
5544900;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1117.1039191
5544900;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1117.1039191
5544900;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1117.1039191
5544901;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;400000;1;5000000;05;09;05;1148.8735424
5544902;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1361.4363577
5544902;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1361.4363577
5544903;1;1;1;95;1;1;98;1;98;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;98;05;09;05;1071.3832999
5544903;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1071.3832999
5544903;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;98;05;09;05;1071.3832999
5544903;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1071.3832999
5544904;1;1;1;95;2;;;;;;;1;1;3600000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;1339.9938322
5544905;1;1;1;95;1;1;877000;2;;2;;1;1;2400000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;1006.7068017
5544905;1;2;1;95;2;;;;;;;1;1;1200000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;09;05;1006.7068017
5544905;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;98;2;;05;09;05;1006.7068017
5544905;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1006.7068017
5544905;1;5;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2000000;05;09;05;1006.7068017
5544905;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;09;05;1006.7068017
5544906;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;120000;2;;05;09;05;1194.591743
